From_zone,To_zone,from_bus,to_bus,X,Capacity (MW),Loss (%)
Amprion,Amprion,B443,B473,1.5931890581717452e-05,1698.103,0.0
TransnetBW,TransnetBW,B504,B583,7.002768005540167e-05,1698.103,0.0
Amprion,Amprion,B494,B435,1.642123268698061e-05,1698.103,0.0
TransnetBW,TransnetBW,B381,B363,3.129615702479339e-05,491.556,0.0
Amprion,TransnetBW,B639,B680,8.301644736842106e-05,1698.103,0.0
TransnetBW,TransnetBW,B21,B22,9.6693326446281e-05,491.556,0.0
Amprion,Amprion,B494,B428,5.814063711911357e-05,1698.103,0.0
TransnetBW,TransnetBW,B322,B633,2.157200138504155e-05,1698.103,0.0
TransnetBW,TransnetBW,B633,B365,6.993843490304709e-06,1698.103,0.0
TransnetBW,TransnetBW,B583,B582,3.138155817174515e-05,1698.103,0.0
TransnetBW,TransnetBW,B653,B511,1.0762042936288088e-05,3396.205,0.0
50Hertz,50Hertz,B321,B291,5.62945867768595e-05,491.556,0.0
TransnetBW,TransnetBW,B37,B38,0.0006511504958677686,491.556,0.0
TransnetBW,TenneT,B410,B516,7.498001385041552e-05,1698.103,0.0
Amprion,Amprion,B195,B693,4.588718836565096e-06,3396.205,0.0
Amprion,Amprion,B147,B280,5.376382231404958e-05,491.556,0.0
Amprion,Amprion,B343,B281,1.1347908587257618e-05,1698.103,0.0
Amprion,Amprion,B47,B556,5.417580578512397e-05,983.112,0.0
Amprion,Amprion,B47,B147,2.1537045454545453e-05,983.112,0.0
Amprion,Amprion,B623,B195,1.61804432132964e-05,1698.103,0.0
Amprion,Amprion,B48,B474,8.0850826446281e-06,983.112,0.0
Amprion,Amprion,B49,B262,2.1974861495844876e-06,3396.205,0.0
Amprion,Amprion,B74,B101,1.340507617728532e-05,1698.103,0.0
TenneT,TenneT,B278,B767,3.303722991689751e-05,3396.205,0.0
Amprion,Amprion,B470,B137,6.861146694214876e-05,491.556,0.0
TransnetBW,TransnetBW,B722,B634,0.00012093601239669422,491.556,0.0
Amprion,Amprion,B493,B188,2.3504421487603304e-05,491.556,0.0
Amprion,Amprion,B454,B195,1.8407105263157896e-05,3396.205,0.0
50Hertz,50Hertz,B159,B672,0.0002471046487603306,491.556,0.0
50Hertz,50Hertz,B686,B72,6.499512465373961e-05,1698.103,0.0
Amprion,Amprion,B55,B229,1.8979111570247933e-05,491.556,0.0
Amprion,Amprion,B229,B213,2.6656838842975208e-05,491.556,0.0
TransnetBW,TransnetBW,B379,B378,3.438508310249308e-05,3396.205,0.0
Amprion,Amprion,B492,B247,7.057454545454546e-05,983.112,0.0
TransnetBW,TransnetBW,B287,B737,1.7793192520775625e-05,3396.205,0.0
Amprion,Amprion,B491,B60,1.698742382271468e-05,3396.205,0.0
Amprion,Amprion,B235,B61,4.298805785123967e-05,983.112,0.0
Amprion,Amprion,B62,B428,1.7451405817174515e-05,3396.205,0.0
Amprion,Amprion,B649,B176,0.0002613255165289256,491.556,0.0
Amprion,Amprion,B175,B64,2.246634349030471e-05,3396.205,0.0
Amprion,Amprion,B787,B267,1.315245867768595e-05,983.112,0.0
Amprion,Amprion,B788,B141,4.7093559556786705e-06,3396.205,0.0
Amprion,Amprion,B66,B384,8.1602216066482e-06,3396.205,0.0
Amprion,Amprion,B67,B619,0.00010505006198347108,491.556,0.0
Amprion,Amprion,B782,B620,3.1579993074792244e-05,1698.103,0.0
TenneT,TenneT,B668,B313,0.00017266103305785125,983.112,0.0
TenneT,TenneT,B119,B609,1.780193213296399e-05,3396.205,0.0
TenneT,TenneT,B551,B539,0.00013861475206611572,983.112,0.0
Amprion,Amprion,B146,B217,1.9296239612188363e-05,3396.205,0.0
TenneT,TenneT,B786,B181,4.905018698060942e-05,3396.205,0.0
Amprion,Amprion,B216,B175,1.0104217451523546e-05,3396.205,0.0
TransnetBW,TransnetBW,B219,B605,1.1883718836565096e-05,3396.205,0.0
Amprion,Amprion,B423,B86,0.00017814842975206612,983.112,0.0
Amprion,Amprion,B55,B213,4.589330578512397e-05,491.556,0.0
TransnetBW,TransnetBW,B106,B417,3.784590909090909e-05,983.112,0.0
TenneT,TenneT,B30,B71,6.585560941828255e-06,3396.205,0.0
TenneT,TenneT,B76,B554,4.380983379501385e-06,3396.205,0.0
Amprion,Amprion,B791,B775,3.0660872576177284e-06,3396.205,0.0
TenneT,TenneT,B299,B476,2.4382825484764543e-05,3396.205,0.0
50Hertz,50Hertz,B437,B88,5.487090720221606e-05,3396.205,0.0
TransnetBW,TransnetBW,B204,B653,1.5504570637119113e-05,3396.205,0.0
TransnetBW,TransnetBW,B225,B739,1.1522210743801654e-05,983.112,0.0
TransnetBW,TransnetBW,B739,B225,2.3309276859504133e-05,491.556,0.0
TenneT,50Hertz,B284,B391,3.64580540166205e-05,3396.205,0.0
TenneT,TenneT,B77,B143,2.6543351800554017e-06,3396.205,0.0
Amprion,Amprion,B86,B323,0.00016279413223140496,983.112,0.0
TransnetBW,TransnetBW,B702,B79,7.000304709141275e-06,1698.103,0.0
Amprion,Amprion,B190,B112,2.887597645429363e-05,3396.205,0.0
TransnetBW,TransnetBW,B679,B377,6.33807438016529e-05,983.112,0.0
TransnetBW,TransnetBW,B680,B378,1.6707583102493073e-05,3396.205,0.0
Amprion,Amprion,B266,B247,0.00010150907024793389,491.556,0.0
50Hertz,50Hertz,B391,B88,1.7977493074792245e-06,3396.205,0.0
