Bus_id,Zone_id,LoadZone,State,Latitude,Longitude,Load_share,Demand (MW)
B1,TransnetBW,TransnetBW,DE,49.44494142,8.50191528,0.006242945102627847,60.61119326513811
B2,Amprion,Amprion,DE,51.62896995,7.36795125,0.0002934810157966849,7.9884798797318135
B3,Amprion,Amprion,DE,51.586949,7.3699008,0.0007420224678664171,20.19766606970691
B4,Amprion,Amprion,DE,51.446657,6.8730102,0.004613463071466408,125.57731143954777
B5,50Hertz,50Hertz,DE,52.56056824,13.69468231,0.0017908080566863976,30.104969803585398
B6,50Hertz,50Hertz,DE,52.5846884,13.6798066,0.0020338358053525515,34.19046797169484
B7,50Hertz,50Hertz,DE,51.40012245,11.9490965,0.01575812731892618,264.90719947682385
B8,Amprion,Amprion,DE,51.5201853,6.8125294,0.0033331359610435734,90.72712757561581
B9,50Hertz,50Hertz,DE,53.09798135,14.26893339,0.0017502629730980913,29.423373296046588
B10,TenneT,TenneT,DE,52.756857,7.1836184,0.0016395743610346048,37.56068112206955
B11,Amprion,Amprion,DE,51.42891032,7.42771352,0.0016017827595780111,43.600126270023566
B12,50Hertz,50Hertz,DE,52.1241478,11.5632769,0.020185299329492798,339.33163552721743
B13,TenneT,TenneT,DE,52.26891834,11.63726956,0.0034315163563389504,78.61192190409774
B14,Amprion,Amprion,DE,52.28894431,7.74846539,0.0011279696031416043,30.703050605113685
B15,50Hertz,50Hertz,DE,54.7830701,14.0307483,2.8387454400956533e-05,0.4772166700672322
B16,50Hertz,50Hertz,DE,53.58818422,12.61320012,0.004522436126786349,76.02590491326377
B17,50Hertz,50Hertz,DE,54.1408596,12.1304799,0.0050433277924216485,84.78252615267563
B18,TransnetBW,TransnetBW,DE,49.02857195,8.27249404,0.0015837818845430196,15.376542371557042
B19,Amprion,Amprion,DE,50.05917248,8.43914966,0.012249941041699726,333.4403326698061
B20,Amprion,Amprion,DE,50.0960913,8.5426775,0.010274820046371036,279.678032957208
B21,TransnetBW,TransnetBW,DE,49.24502648,8.49096373,0.0022470700349084645,21.816241201417554
B22,TransnetBW,TransnetBW,DE,49.33322945,8.6286686,0.0005561341281482091,5.399367216658924
B23,50Hertz,50Hertz,DE,51.07854346,12.56535948,0.00488918373193303,82.19123655629174
B24,50Hertz,50Hertz,DE,51.41848163,14.57554127,0.003962621842419119,66.6149621471946
B25,Amprion,Amprion,DE,51.6138251,7.4758498,0.001588683162764853,43.24355851966861
B26,TransnetBW,TransnetBW,DE,48.9457539,9.0757491,0.0022295699713248533,21.64633745910017
B27,TransnetBW,TransnetBW,DE,48.953202,9.0844334,0.0017455103942492147,16.946724040167062
B28,TransnetBW,TransnetBW,DE,48.09974042,7.75406679,0.008931580747215416,86.71448457952766
B29,TenneT,TenneT,DE,54.85084914,9.19758039,0.0006332436610688324,14.506852382693667
B30,TenneT,TenneT,DE,50.1960303,11.6734418,0.005969249835553163,136.7483506327203
B31,50Hertz,50Hertz,DE,54.180593,12.14101355,0.0039748889305190336,66.82118207983729
B32,TenneT,TenneT,DE,50.0280152,10.1967491,0.008143858034611635,186.56601494331102
B33,TenneT,TenneT,DE,52.1697448,10.9761229,0.004182410287584816,95.81400079622304
B34,Amprion,Amprion,DE,51.9945209,8.6290784,0.007202729053585998,196.05648415634747
B35,Amprion,Amprion,DE,51.73638097,8.70217726,0.004797333125178367,130.58220833407384
B36,Amprion,Amprion,DE,51.7005574,8.7391058,0.00511079078123819,139.11444736760822
B37,TransnetBW,TransnetBW,DE,49.14402177,9.15231218,0.006177861899480225,59.97931671657864
B38,TransnetBW,TransnetBW,DE,48.8971347,10.11694164,0.010516180031914811,102.09896288485292
B39,TenneT,TenneT,DE,53.824291,8.178985,0.0013240786564743486,30.33305312543956
B40,TenneT,TenneT,DE,53.0859141,8.5985415,0.00374543893073785,85.80351137648725
B41,TenneT,TenneT,DE,53.3146739,9.3837797,0.0030330340723185283,69.4831709559307
B42,TenneT,TenneT,DE,53.3384205,9.3886907,0.002189130090171985,50.15034340973197
B43,TransnetBW,TransnetBW,DE,47.60099226,7.87368242,0.0017394485212010858,16.887870830211043
B44,TransnetBW,TransnetBW,DE,49.29073024,6.77304675,0.002715637800933196,26.365448499810167
B45,50Hertz,50Hertz,DE,54.3407327,10.2041312,0.010471271168981302,176.03075950564596
B46,Amprion,Amprion,DE,49.72478897,6.81357002,0.0014640644429512815,39.851468121023146
B47,Amprion,Amprion,DE,51.56033591,7.14001556,0.0023341771686469876,63.535718986278845
B48,Amprion,Amprion,DE,51.55830038,6.70376059,0.0009597176714154779,26.123275086511455
B49,Amprion,Amprion,DE,51.55849942,6.70405241,0.0007316813608102984,19.91618372091612
B50,Amprion,Amprion,DE,51.60701721,6.64624066,0.0002841269323074322,7.7338640656752276
B51,Amprion,Amprion,DE,51.60721639,6.64653254,0.00018236024096362558,4.963800168969647
B52,Amprion,Amprion,DE,51.59944832,6.65948816,0.00022838043344522316,6.216458303270613
B53,Amprion,Amprion,DE,51.59964748,6.65978005,0.00015917397941237708,4.332675926110051
B54,TransnetBW,TransnetBW,DE,48.2726348,10.0649229,0.0032525473998359675,31.57816956815745
B55,Amprion,Amprion,DE,51.62877256,7.36765611,0.0005172302097858216,14.078877002817617
B56,50Hertz,50Hertz,DE,51.83403499,14.45775273,0.006116235567711289,102.81899636874797
B57,TransnetBW,TransnetBW,DE,48.43494745,10.2343267,0.0029236728557811556,28.385208838565294
B58,TransnetBW,TransnetBW,DE,48.863235,9.2403641,0.009661924480068015,93.80520929586035
B59,Amprion,Amprion,DE,50.99133438,6.67221471,0.0008547818034428034,23.26694699426225
B60,Amprion,Amprion,DE,51.09104325,6.70987244,0.00041621129431826956,11.329167378519719
B61,Amprion,Amprion,DE,50.93510032,6.82097206,0.0010976309750770478,29.877240733853473
B62,Amprion,Amprion,DE,50.93529908,6.82126055,0.0007085563357793743,19.286726320830624
B63,Amprion,Amprion,DE,51.03414772,6.63428121,8.501613883484763e-05,2.314118045049844
B64,Amprion,Amprion,DE,52.1687339,7.3986181,0.0029806105197590386,81.13147319521109
B65,Amprion,Amprion,DE,50.08406587,8.49220934,0.0067044054931086694,182.4922414210447
B66,Amprion,Amprion,DE,50.8189066,7.9295009,0.0014057469307107763,38.26408001721465
B67,Amprion,Amprion,DE,52.265688,7.8807455,0.002144764096371566,58.37994251220994
