From_zone,To_zone,from_bus,to_bus,X,Capacity (MW),Loss (%)
Amprion,Amprion,B443,B473,2.300565,1698.103,0.0
TransnetBW,TransnetBW,B504,B583,10.111997,1698.103,0.0
Amprion,Amprion,B494,B435,2.371226,1698.103,0.0
TransnetBW,TransnetBW,B381,B363,1.514734,491.556,0.0
Amprion,TransnetBW,B639,B680,11.987575,1698.103,0.0
TransnetBW,TransnetBW,B21,B22,4.679957,491.556,0.0
Amprion,Amprion,B494,B428,8.395508,1698.103,0.0
TransnetBW,TransnetBW,B322,B633,3.114997,1698.103,0.0
TransnetBW,TransnetBW,B633,B365,1.009911,1698.103,0.0
TransnetBW,TransnetBW,B583,B582,4.531497,1698.103,0.0
TransnetBW,TransnetBW,B653,B511,1.554039,3396.205,0.0
50Hertz,50Hertz,B321,B291,2.724658,491.556,0.0
TransnetBW,TransnetBW,B37,B38,31.515684,491.556,0.0
TransnetBW,TenneT,B410,B516,10.827114,1698.103,0.0
Amprion,Amprion,B195,B693,0.662611,3396.205,0.0
Amprion,Amprion,B147,B280,2.602169,491.556,0.0
Amprion,Amprion,B343,B281,1.638638,1698.103,0.0
Amprion,Amprion,B47,B556,2.622109,983.112,0.0
Amprion,Amprion,B47,B147,1.042393,983.112,0.0
Amprion,Amprion,B623,B195,2.336456,1698.103,0.0
Amprion,Amprion,B48,B474,0.391318,983.112,0.0
Amprion,Amprion,B49,B262,0.317317,3396.205,0.0
Amprion,Amprion,B74,B101,1.935693,1698.103,0.0
TenneT,TenneT,B278,B767,4.770576,3396.205,0.0
Amprion,Amprion,B470,B137,3.320795,491.556,0.0
TransnetBW,TransnetBW,B722,B634,5.853303,491.556,0.0
Amprion,Amprion,B493,B188,1.137614,491.556,0.0
Amprion,Amprion,B454,B195,2.657986,3396.205,0.0
50Hertz,50Hertz,B159,B672,11.959865,491.556,0.0
50Hertz,50Hertz,B686,B72,9.385296,1698.103,0.0
Amprion,Amprion,B55,B229,0.918589,491.556,0.0
Amprion,Amprion,B229,B213,1.290191,491.556,0.0
TransnetBW,TransnetBW,B379,B378,4.965206,3396.205,0.0
Amprion,Amprion,B492,B247,3.415808,983.112,0.0
TransnetBW,TransnetBW,B287,B737,2.569337,3396.205,0.0
Amprion,Amprion,B491,B60,2.452984,3396.205,0.0
Amprion,Amprion,B235,B61,2.080622,983.112,0.0
Amprion,Amprion,B62,B428,2.519983,3396.205,0.0
Amprion,Amprion,B649,B176,12.648155,491.556,0.0
Amprion,Amprion,B175,B64,3.24414,3396.205,0.0
Amprion,Amprion,B787,B267,0.636579,983.112,0.0
Amprion,Amprion,B788,B141,0.680031,3396.205,0.0
Amprion,Amprion,B66,B384,1.178336,3396.205,0.0
Amprion,Amprion,B67,B619,5.084423,491.556,0.0
Amprion,Amprion,B782,B620,4.560151,1698.103,0.0
TenneT,TenneT,B668,B313,8.356794,983.112,0.0
TenneT,TenneT,B119,B609,2.570599,3396.205,0.0
TenneT,TenneT,B551,B539,6.708954,983.112,0.0
Amprion,Amprion,B146,B217,2.786377,3396.205,0.0
TenneT,TenneT,B786,B181,7.082847,3396.205,0.0
Amprion,Amprion,B216,B175,1.459049,3396.205,0.0
TransnetBW,TransnetBW,B219,B605,1.716009,3396.205,0.0
Amprion,Amprion,B423,B86,8.622384,983.112,0.0
Amprion,Amprion,B55,B213,2.221236,491.556,0.0
TransnetBW,TransnetBW,B106,B417,1.831742,983.112,0.0
TenneT,TenneT,B30,B71,0.950955,3396.205,0.0
TenneT,TenneT,B76,B554,0.632614,3396.205,0.0
Amprion,Amprion,B791,B775,0.442743,3396.205,0.0
TenneT,TenneT,B299,B476,3.52088,3396.205,0.0
50Hertz,50Hertz,B437,B88,7.923359,3396.205,0.0
TransnetBW,TransnetBW,B204,B653,2.23886,3396.205,0.0
TransnetBW,TransnetBW,B225,B739,0.557675,983.112,0.0
TransnetBW,TransnetBW,B739,B225,1.128169,491.556,0.0
TenneT,50Hertz,B284,B391,5.264543,3396.205,0.0
TenneT,TenneT,B77,B143,0.383286,3396.205,0.0
Amprion,Amprion,B86,B323,7.879236,983.112,0.0
TransnetBW,TransnetBW,B702,B79,1.010844,1698.103,0.0
Amprion,Amprion,B190,B112,4.169691,3396.205,0.0
TransnetBW,TransnetBW,B679,B377,3.067628,983.112,0.0
TransnetBW,TransnetBW,B680,B378,2.412575,3396.205,0.0
Amprion,Amprion,B266,B247,4.913039,491.556,0.0
50Hertz,50Hertz,B391,B88,0.259595,3396.205,0.0
TransnetBW,TransnetBW,B106,B90,4.924748,491.556,0.0
TransnetBW,TransnetBW,B89,B330,0.754715,491.556,0.0
Amprion,TransnetBW,B641,B268,10.934483,983.112,0.0
TransnetBW,TransnetBW,B462,B108,7.304105,983.112,0.0
TransnetBW,TransnetBW,B120,B330,7.683383,491.556,0.0
TransnetBW,TransnetBW,B331,B269,7.836421,1698.103,0.0
TenneT,TenneT,B273,B460,1.312596,3396.205,0.0
Amprion,TransnetBW,B113,B440,8.271793,491.556,0.0
TransnetBW,TransnetBW,B22,B659,2.053428,491.556,0.0
Amprion,Amprion,B451,B641,0.929585,1474.668,0.0
TransnetBW,TransnetBW,B507,B220,0.639889,3396.205,0.0
50Hertz,TenneT,B88,B284,5.355105,3396.205,0.0
Amprion,Amprion,B99,B648,0.39322,3396.205,0.0
Amprion,Amprion,B376,B46,5.896488,491.556,0.0
TransnetBW,TransnetBW,B105,B388,13.65021,983.112,0.0
TransnetBW,TransnetBW,B689,B379,6.087216,3396.205,0.0
Amprion,Amprion,B401,B95,9.779073,1698.103,0.0
TransnetBW,TransnetBW,B197,B385,5.933023,491.556,0.0
TransnetBW,TransnetBW,B513,B200,4.853782,1698.103,0.0
TransnetBW,TransnetBW,B105,B104,1.3763,983.112,0.0
TransnetBW,TransnetBW,B689,B370,2.07076,3396.205,0.0
TransnetBW,TransnetBW,B417,B22,0.849013,491.556,0.0
TransnetBW,TransnetBW,B94,B418,0.34415,3396.205,0.0
TransnetBW,TransnetBW,B106,B402,2.083197,983.112,0.0
Amprion,Amprion,B47,B548,1.50734,983.112,0.0
Amprion,Amprion,B614,B472,0.887483,983.112,0.0
TransnetBW,TransnetBW,B168,B517,0.974009,3396.205,0.0
50Hertz,50Hertz,B754,B749,7.612331,3396.205,0.0
TenneT,Amprion,B533,B407,6.967113,983.112,0.0
TenneT,TenneT,B534,B656,5.539662,3396.205,0.0
TenneT,TenneT,B313,B592,9.538302,491.556,0.0
TenneT,TenneT,B314,B593,7.798633,1698.103,0.0
Amprion,Amprion,B695,B241,2.12206,1698.103,0.0
Amprion,Amprion,B174,B740,0.869773,983.112,0.0
Amprion,Amprion,B122,B626,10.034106,491.556,0.0
