Time Period,Month,Day,Hours,50Hertz,Amprion,TenneT,TransnetBW
1,1,15,1,0.0001726378585232,0.0001726378585232,0.0001726378585232,0.0001726378585232
1,1,15,2,0.0001678423624531,0.0001678423624531,0.0001678423624531,0.0001678423624531
1,1,15,3,0.000163046866383,0.000163046866383,0.000163046866383,0.000163046866383
1,1,15,4,0.0001726378585232,0.0001726378585232,0.0001726378585232,0.0001726378585232
1,1,15,5,0.0001534558742429,0.0001534558742429,0.0001534558742429,0.0001534558742429
1,1,15,6,0.000158251370313,0.000158251370313,0.000158251370313,0.000158251370313
1,1,15,7,0.000163046866383,0.000163046866383,0.000163046866383,0.000163046866383
1,1,15,8,0.000268547779925,0.000268547779925,0.000268547779925,0.000268547779925
1,1,15,9,0.0035774400682878,0.0035774400682878,0.0035774400682878,0.0035774400682878
1,1,15,10,0.0253537877225709,0.0253537877225709,0.0253537877225709,0.0253537877225709
1,1,15,11,0.0577329771878252,0.0577329771878252,0.0577329771878252,0.0577329771878252
1,1,15,12,0.0855900138589836,0.0855900138589836,0.0855900138589836,0.0855900138589836
1,1,15,13,0.0949700041720815,0.0949700041720815,0.0949700041720815,0.0949700041720815
1,1,15,14,0.082923718044013,0.082923718044013,0.082923718044013,0.082923718044013
1,1,15,15,0.0560161895947326,0.0560161895947326,0.0560161895947326,0.0560161895947326
1,1,15,16,0.0246680317845479,0.0246680317845479,0.0246680317845479,0.0246680317845479
1,1,15,17,0.0033184832805029,0.0033184832805029,0.0033184832805029,0.0033184832805029
1,1,15,18,0.000474754110939,0.000474754110939,0.000474754110939,0.000474754110939
1,1,15,19,0.0006425964733921,0.0006425964733921,0.0006425964733921,0.0006425964733921
1,1,15,20,0.0004076171659577,0.0004076171659577,0.0004076171659577,0.0004076171659577
1,1,15,21,0.0001822288506634,0.0001822288506634,0.0001822288506634,0.0001822288506634
1,1,15,22,0.0001294783938924,0.0001294783938924,0.0001294783938924,0.0001294783938924
1,1,15,23,0.0001294783938924,0.0001294783938924,0.0001294783938924,0.0001294783938924
1,1,15,24,0.0001294783938924,0.0001294783938924,0.0001294783938924,0.0001294783938924
1,1,16,1,0.0001150919056821,0.0001150919056821,0.0001150919056821,0.0001150919056821
1,1,16,2,0.000105500913542,0.000105500913542,0.000105500913542,0.000105500913542
1,1,16,3,9.59099214018194e-05,9.59099214018194e-05,9.59099214018194e-05,9.59099214018194e-05
1,1,16,4,9.59099214018194e-05,9.59099214018194e-05,9.59099214018194e-05,9.59099214018194e-05
1,1,16,5,9.59099214018194e-05,9.59099214018194e-05,9.59099214018194e-05,9.59099214018194e-05
1,1,16,6,0.000105500913542,0.000105500913542,0.000105500913542,0.000105500913542
1,1,16,7,0.0001294783938924,0.0001294783938924,0.0001294783938924,0.0001294783938924
1,1,16,8,0.0002397748035045,0.0002397748035045,0.0002397748035045,0.0002397748035045
1,1,16,9,0.0064067827496415,0.0064067827496415,0.0064067827496415,0.0064067827496415
1,1,16,10,0.0472452272825362,0.0472452272825362,0.0472452272825362,0.0472452272825362
1,1,16,11,0.1086755319404015,0.1086755319404015,0.1086755319404015,0.1086755319404015
1,1,16,12,0.1603422065995617,0.1603422065995617,0.1603422065995617,0.1603422065995617
1,1,16,13,0.1785411141855569,0.1785411141855569,0.1785411141855569,0.1785411141855569
1,1,16,14,0.1673484263579646,0.1673484263579646,0.1673484263579646,0.1673484263579646
1,1,16,15,0.1305957444767874,0.1305957444767874,0.1305957444767874,0.1305957444767874
1,1,16,16,0.0648159248833495,0.0648159248833495,0.0648159248833495,0.0648159248833495
1,1,16,17,0.0093608083288175,0.0093608083288175,0.0093608083288175,0.0093608083288175
1,1,16,18,0.0002781387720652,0.0002781387720652,0.0002781387720652,0.0002781387720652
