Time Period,Month,Day,Hours,50Hertz,Amprion,TenneT,TransnetBW
1,1,15,1,0.3944728139352217,0.3944728139352217,0.3944728139352217,0.3944728139352217
1,1,15,2,0.3877248307514484,0.3877248307514484,0.3877248307514484,0.3877248307514484
1,1,15,3,0.3644299571976738,0.3644299571976738,0.3644299571976738,0.3644299571976738
1,1,15,4,0.3324729857197324,0.3324729857197324,0.3324729857197324,0.3324729857197324
1,1,15,5,0.3042713713339844,0.3042713713339844,0.3042713713339844,0.3042713713339844
1,1,15,6,0.2763952536172882,0.2763952536172882,0.2763952536172882,0.2763952536172882
1,1,15,7,0.224077736766277,0.224077736766277,0.224077736766277,0.224077736766277
1,1,15,8,0.1764677762184166,0.1764677762184166,0.1764677762184166,0.1764677762184166
1,1,15,9,0.1451860888747764,0.1451860888747764,0.1451860888747764,0.1451860888747764
1,1,15,10,0.1213130943714921,0.1213130943714921,0.1213130943714921,0.1213130943714921
1,1,15,11,0.0993299238124035,0.0993299238124035,0.0993299238124035,0.0993299238124035
1,1,15,12,0.0777111151962832,0.0777111151962832,0.0777111151962832,0.0777111151962832
1,1,15,13,0.0658134832185577,0.0658134832185577,0.0658134832185577,0.0658134832185577
1,1,15,14,0.0592258192896904,0.0592258192896904,0.0592258192896904,0.0592258192896904
1,1,15,15,0.0538041135783218,0.0538041135783218,0.0538041135783218,0.0538041135783218
1,1,15,16,0.0494512028996603,0.0494512028996603,0.0494512028996603,0.0494512028996603
1,1,15,17,0.0481637907011722,0.0481637907011722,0.0481637907011722,0.0481637907011722
1,1,15,18,0.0476731166179749,0.0476731166179749,0.0476731166179749,0.0476731166179749
1,1,15,19,0.0449816963992489,0.0449816963992489,0.0449816963992489,0.0449816963992489
1,1,15,20,0.0406433601983061,0.0406433601983061,0.0406433601983061,0.0406433601983061
1,1,15,21,0.0422125456326897,0.0422125456326897,0.0422125456326897,0.0422125456326897
1,1,15,22,0.0460942148651122,0.0460942148651122,0.0460942148651122,0.0460942148651122
1,1,15,23,0.0555530509045698,0.0555530509045698,0.0555530509045698,0.0555530509045698
1,1,15,24,0.0652402204282875,0.0652402204282875,0.0652402204282875,0.0652402204282875
1,1,16,1,0.0701469612602609,0.0701469612602609,0.0701469612602609,0.0701469612602609
1,1,16,2,0.0802422161601031,0.0802422161601031,0.0802422161601031,0.0802422161601031
1,1,16,3,0.0910710531051216,0.0910710531051216,0.0910710531051216,0.0910710531051216
1,1,16,4,0.1026043231398788,0.1026043231398788,0.1026043231398788,0.1026043231398788
1,1,16,5,0.1176743331010485,0.1176743331010485,0.1176743331010485,0.1176743331010485
1,1,16,6,0.1260789485855178,0.1260789485855178,0.1260789485855178,0.1260789485855178
1,1,16,7,0.1471050617744096,0.1471050617744096,0.1471050617744096,0.1471050617744096
1,1,16,8,0.1714590140424121,0.1714590140424121,0.1714590140424121,0.1714590140424121
1,1,16,9,0.1994225786254207,0.1994225786254207,0.1994225786254207,0.1994225786254207
