Zone,Bus_id,Type,Capacity (MWh),Max Power (MW),Charging efficiency,Discharging efficiency,Cost ($/MWh),EF,CC,Charging Rate,Discharging Rate
50Hertz,B110,BES,9.6,4.8,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B12,BES,0.704,0.352,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B158,BES,0.32,0.16,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B16,BES,51.32,25.66,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B165,BES,1.2,0.6,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B17,BES,1.1280000000000001,0.5640000000000001,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B178,BES,13.8,6.9,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B186,BES,0.6,0.3,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B228,BES,0.26,0.13,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B23,BES,1.6,0.8,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B24,BES,200.0,100.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B242,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B257,BES,0.4,0.2,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B277,BES,25.0,12.5,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B282,BES,32.168,16.084,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B288,BES,1.6,0.8,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B289,BES,52.164,26.082,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B290,BES,48.7,24.35,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B292,BES,7.6,3.8,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B305,BES,14.799999999999999,7.3999999999999995,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B306,BES,20.136,10.068,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B321,BES,33.03,16.515,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B366,BES,2.3,1.15,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B395,BES,32.4096,16.2048,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B395,PHS,638.4,79.8,0.84,0.84,0.5,0.0,0.95,1.0,1.0
50Hertz,B396,BES,23.0,11.5,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B403,PHS,8361.599999999999,1045.1999999999998,0.84,0.84,0.5,0.0,0.95,1.0,1.0
50Hertz,B406,BES,0.252,0.126,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B408,BES,1.04,0.52,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B432,BES,29.68,14.84,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B436,BES,1.3,0.65,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B439,BES,147.038,73.519,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B444,BES,29.06,14.53,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B45,BES,6.8,3.4,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B529,BES,83.488,41.744,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B530,BES,1.472,0.736,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B538,BES,13.6,6.8,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B56,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B566,BES,37.92,18.96,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B568,BES,18.84,9.42,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B569,BES,95.0,47.5,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B574,BES,4.74,2.37,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B575,BES,0.22,0.11,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B580,BES,1.28,0.64,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B597,BES,40.89,20.445,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B6,BES,7.5,3.75,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B601,BES,2.992,1.496,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B607,BES,10.95,5.475,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B610,BES,13.8,6.9,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B611,BES,16.0,8.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B629,BES,116.77,58.385,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B630,BES,74.028,37.014,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B636,BES,40.196,20.098,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B654,BES,117.51400000000001,58.757000000000005,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B657,BES,9.6,4.8,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B658,BES,0.4,0.2,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B672,BES,35.8,17.9,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B673,BES,13.32196,6.66098,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B676,BES,28.36,14.18,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B684,BES,176.5272,88.2636,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B685,BES,1.2,0.6,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B686,BES,8.0,4.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B7,BES,48.540000000000006,24.270000000000003,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B72,BES,17.0,8.5,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B721,BES,6.543,3.2715,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B749,BES,0.24,0.12,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B753,BES,3.0,1.5,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B754,BES,41.6,20.8,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B756,BES,2.944,1.472,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B757,BES,9.806000000000001,4.9030000000000005,0.9,0.9,1.0,0.0,0.95,0.5,1.0
50Hertz,B760,BES,29.200000000000003,14.600000000000001,0.9,0.9,1.0,0.0,0.95,0.5,1.0
