PlantCode,PlantName,SourceTechnology,State,LoadZone,Latitude,Longitude,Pmax (MW),Pmin (MW),Zone,Bus_id,Type,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW),RM_REG_UP,RM_REG_DN,RM_NSPIN
1,Bga Klein Muckrow,Biogas | Combustion Engine,DE,50Hertz,52.16851058704875,14.27717961282318,12.493,0.0,50Hertz,B110,Bio,1,1,0,0,39.0,0.1,0.9,0.9,0.08,0.06,0.4,0.4,1,6,6,6.0,0.05,0.05,0.06
2,Sonae Arauco Beeskow Gmbh,Waste | Steam Turbine,DE,50Hertz,52.182234,14.256328,15.8,0.0,50Hertz,B110,MSW,1,1,0,0,32.0,0.08,0.9,0.92,0.08,0.06,0.35,0.35,1,6,6,5.0,0.05,0.05,0.06
3,Bhkw,Natural Gas | Combustion Engine,DE,50Hertz,52.312886235294116,14.487187823529409,0.8500000000000001,0.0,50Hertz,B110,NGCT,1,0,0,0,68.0,0.58,0.86,1.0,0.08,0.12,1.0,1.0,1,1,1,8.0,0.08,0.08,0.1
4,Abr,Solar | PP,DE,50Hertz,52.211235883255625,14.374971860064564,85.17035,0.0,50Hertz,B110,SolarPV,0,1,1,0,2.0,0.0,0.15,1.0,0.03,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0
5,Abo Wind Wp Schierenberg,Wind | Onshore,DE,50Hertz,52.15162521382289,14.331027310946004,578.75,0.0,50Hertz,B110,WindOn,0,1,1,0,3.0,0.0,0.18,1.0,0.05,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0
6,Agrar Energie Kleinalsleben Gmbh,Biogas | Combustion Engine,DE,50Hertz,52.11177158071959,11.48636135592692,16.037,0.0,50Hertz,B12,Bio,1,1,0,0,39.0,0.1,0.9,0.9,0.08,0.06,0.4,0.4,1,6,6,6.0,0.05,0.05,0.06
7,Wasserkraftanlage Bode,Hydro | Run-Of-River,DE,50Hertz,51.999,11.309,0.22,0.0,50Hertz,B12,Hydro,0,1,0,0,7.5,0.0,0.7,0.65,0.04,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0
8,Bhkw Magdeburg,Natural Gas | CCGT,DE,50Hertz,52.07303658645413,11.387831561781553,24.967,0.0,50Hertz,B12,NGCC,1,0,0,0,42.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
9,Bhkw,Natural Gas | Combustion Engine,DE,50Hertz,52.13379124250786,11.620490831226338,15.583,0.0,50Hertz,B12,NGCT,1,0,0,0,68.0,0.58,0.86,1.0,0.08,0.12,1.0,1.0,1,1,1,8.0,0.08,0.08,0.1
10,Bhkw,Oil | Combustion Engine,DE,50Hertz,52.11218200381548,11.623947882232343,21.072000000000003,0.0,50Hertz,B12,Oil,1,0,0,0,110.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1,1,10.0,0.06,0.06,0.08
11,Dampfturbine,Other | Steam Turbine,DE,50Hertz,52.05966366666666,11.572841999999998,4.800000000000001,0.0,50Hertz,B12,Other,1,0,0,0,55.0,0.25,0.85,0.9,0.08,0.05,0.4,0.4,1,4,4,5.0,0.04,0.04,0.05
12,Agravis Landtechnik Oschersleben,Solar | PP,DE,50Hertz,52.09895577338955,11.571897090903065,118.919975,0.0,50Hertz,B12,SolarPV,0,1,1,0,2.0,0.0,0.15,1.0,0.03,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0
13,Bornstedt,Wind | Onshore,DE,50Hertz,52.13496265338439,11.460940012212792,386.48,0.0,50Hertz,B12,WindOn,0,1,1,0,3.0,0.0,0.18,1.0,0.05,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0
14,Buch Motormodul,Biogas | Combustion Engine,DE,50Hertz,52.634728,13.509710000000002,1.38,0.0,50Hertz,B130,Bio,1,1,0,0,39.0,0.1,0.9,0.9,0.08,0.06,0.4,0.4,1,6,6,6.0,0.05,0.05,0.06
