PlantCode,PlantName,SourceTechnology,State,LoadZone,Latitude,Longitude,Pmax (MW),Pmin (MW),Zone,Bus_id,Type,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW),RM_REG_UP,RM_REG_DN,RM_NSPIN,SourceCount,AggregationLevel,Notes
DE_50Hertz_Bio,50Hertz Bio,Bio,DE,50Hertz,52.56174108387083,12.62922938745058,2013.226396,0.0,50Hertz,50Hertz,Bio,1,1,0,0,39.0,0.1,0.9,0.9,0.08,0.06,0.4,0.4,1,6.0,6.0,6.0,0.05,0.05,0.06,114,zone_type,Aggregated from Germany nodal first-pass generator table
DE_50Hertz_Coal,50Hertz Coal,Coal,DE,50Hertz,52.56174108387083,12.62922938745058,12184.874,0.0,50Hertz,50Hertz,Coal,1,0,0,0,36.0,0.95,0.9,0.92,0.08,0.08,0.25,0.25,1,8.0,8.0,9.0,0.04,0.04,0.05,23,zone_type,Aggregated from Germany nodal first-pass generator table
DE_50Hertz_Hydro,50Hertz Hydro,Hydro,DE,50Hertz,52.56174108387083,12.62922938745058,169.0515,0.0,50Hertz,50Hertz,Hydro,0,1,0,0,7.5,0.0,0.7,0.65,0.04,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48,zone_type,Aggregated from Germany nodal first-pass generator table
DE_50Hertz_MSW,50Hertz MSW,MSW,DE,50Hertz,52.56174108387083,12.62922938745058,648.004,0.0,50Hertz,50Hertz,MSW,1,1,0,0,32.0,0.08,0.9,0.92,0.08,0.06,0.35,0.35,1,6.0,6.0,5.0,0.05,0.05,0.06,39,zone_type,Aggregated from Germany nodal first-pass generator table
DE_50Hertz_NGCC,50Hertz NGCC,NGCC,DE,50Hertz,52.56174108387083,12.62922938745058,7495.91599,0.0,50Hertz,50Hertz,NGCC,1,0,0,0,42.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4.0,4.0,6.0,0.05,0.05,0.075,59,zone_type,Aggregated from Germany nodal first-pass generator table
DE_50Hertz_NGCT,50Hertz NGCT,NGCT,DE,50Hertz,52.56174108387083,12.62922938745058,1381.307917,0.0,50Hertz,50Hertz,NGCT,1,0,0,0,68.0,0.58,0.86,1.0,0.08,0.12,1.0,1.0,1,1.0,1.0,8.0,0.08,0.08,0.1,111,zone_type,Aggregated from Germany nodal first-pass generator table
DE_50Hertz_NuC,50Hertz NuC,NuC,DE,50Hertz,52.56174108387083,12.62922938745058,2270.0,0.0,50Hertz,50Hertz,NuC,1,0,0,0,12.0,0.0,0.95,0.95,0.06,0.1,0.12,0.12,1,24.0,24.0,4.0,0.05,0.05,0.075,2,zone_type,Aggregated from Germany nodal first-pass generator table
DE_50Hertz_Oil,50Hertz Oil,Oil,DE,50Hertz,52.56174108387083,12.62922938745058,1873.4878,0.0,50Hertz,50Hertz,Oil,1,0,0,0,110.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1.0,1.0,10.0,0.06,0.06,0.08,80,zone_type,Aggregated from Germany nodal first-pass generator table
DE_50Hertz_Other,50Hertz Other,Other,DE,50Hertz,52.56174108387083,12.62922938745058,613.33,0.0,50Hertz,50Hertz,Other,1,0,0,0,55.0,0.25,0.85,0.9,0.08,0.05,0.4,0.4,1,4.0,4.0,5.0,0.04,0.04,0.05,23,zone_type,Aggregated from Germany nodal first-pass generator table
DE_50Hertz_SolarPV,50Hertz SolarPV,SolarPV,DE,50Hertz,52.56174108387083,12.62922938745058,18944.883629,0.0,50Hertz,50Hertz,SolarPV,0,1,1,0,2.0,0.0,0.15,1.0,0.03,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,122,zone_type,Aggregated from Germany nodal first-pass generator table
