Zone_id,Demand (MW),State
B1,51.0,TS
B2,20.0,TS
B3,39.0,TS
B4,39.0,TS
B5,0.0,TS
B6,52.0,TS
B7,19.0,TS
B8,28.0,TS
B9,0.0,TS
B10,0.0,TS
B11,70.0,TS
B12,47.0,TS
B13,34.0,TS
B14,14.0,TS
B15,90.0,TS
B16,25.0,TS
B17,11.0,TS
B18,60.0,TS
B19,45.0,TS
B20,18.0,TS
B21,14.0,TS
B22,10.0,TS
B23,7.0,TS
B24,13.0,TS
B25,0.0,TS
B26,0.0,TS
B27,71.0,TS
B28,17.0,TS
B29,24.0,TS
B30,0.0,TS
B31,43.0,TS
B32,59.0,TS
B33,23.0,TS
B34,59.0,TS
B35,33.0,TS
B36,31.0,TS
B37,0.0,TS
B38,0.0,TS
B39,27.0,TS
B40,66.0,TS
B41,37.0,TS
B42,96.0,TS
B43,18.0,TS
B44,16.0,TS
B45,53.0,TS
B46,28.0,TS
B47,34.0,TS
B48,20.0,TS
B49,87.0,TS
B50,17.0,TS
B51,17.0,TS
B52,18.0,TS
B53,23.0,TS
B54,113.0,TS
B55,63.0,TS
B56,84.0,TS
B57,12.0,TS
B58,12.0,TS
B59,277.0,TS
B60,78.0,TS
B61,0.0,TS
B62,77.0,TS
B63,0.0,TS
B64,0.0,TS
B65,0.0,TS
B66,39.0,TS
B67,28.0,TS
B68,0.0,TS
B69,0.0,TS
B70,66.0,TS
B71,0.0,TS
B72,12.0,TS
B73,6.0,TS
B74,68.0,TS
B75,47.0,TS
B76,68.0,TS
B77,61.0,TS
B78,71.0,TS
B79,39.0,TS
B80,130.0,TS
B81,0.0,TS
B82,54.0,TS
B83,20.0,TS
B84,11.0,TS
B85,24.0,TS
B86,21.0,TS
B87,0.0,TS
B88,48.0,TS
B89,0.0,TS
B90,163.0,TS
B91,10.0,TS
B92,65.0,TS
B93,12.0,TS
B94,30.0,TS
B95,42.0,TS
B96,38.0,TS
B97,15.0,TS
B98,34.0,TS
B99,42.0,TS
B100,37.0,TS
B101,22.0,TS
B102,5.0,TS
B103,23.0,TS
B104,38.0,TS
B105,31.0,TS
B106,43.0,TS
B107,50.0,TS
B108,2.0,TS
B109,8.0,TS
B110,39.0,TS
B111,0.0,TS
B112,68.0,TS
B113,6.0,TS
B114,8.0,TS
B115,22.0,TS
B116,184.0,TS
B117,20.0,TS
B118,33.0,TS
