Zone,State,Emissions_ton
B1,TS,0.0
B2,TS,0
B3,TS,0
B4,TS,0.0
B5,TS,0
B6,TS,0.0
B7,TS,0
B8,TS,0.0
B9,TS,0
B10,TS,0.0
B11,TS,0
B12,TS,31283.5
B13,TS,0
B14,TS,0
B15,TS,0.0
B16,TS,0
B17,TS,0
B18,TS,0.0
B19,TS,0.0
B20,TS,0
B21,TS,0
B22,TS,0
B23,TS,0
B24,TS,0.0
B25,TS,90470.40000000001
B26,TS,32879.88000000013
B27,TS,0.0
B28,TS,0
B29,TS,0
B30,TS,0
B31,TS,21793.760000000202
B32,TS,0.0
B33,TS,0
B34,TS,0.0
B35,TS,0
B36,TS,0.0
B37,TS,0
B38,TS,0
B39,TS,0
B40,TS,0.0
B41,TS,0
B42,TS,0.0
B43,TS,0
B44,TS,0
B45,TS,0
B46,TS,33598.46000000047
B47,TS,0
B48,TS,0
B49,TS,61803.19999999999
B50,TS,0
B51,TS,0
B52,TS,0
B53,TS,0
B54,TS,40099.12000000039
B55,TS,0.0
B56,TS,0.0
B57,TS,0
B58,TS,0
B59,TS,44477.100000000006
B60,TS,0
B61,TS,45448.0
B62,TS,0.0
B63,TS,0
B64,TS,0
B65,TS,15859.299999999997
B66,TS,119467.43999999981
B67,TS,0
B68,TS,0
B69,TS,70101.04558331287
B70,TS,0.0
B71,TS,0
B72,TS,0.0
B73,TS,0.0
B74,TS,0.0
B75,TS,0
B76,TS,0.0
B77,TS,0.0
B78,TS,0
B79,TS,0
B80,TS,115368.52280171878
B81,TS,0
B82,TS,0
B83,TS,0
B84,TS,0
B85,TS,0.0
B86,TS,0
B87,TS,29402.880000000412
B88,TS,0
B89,TS,167295.33420985803
B90,TS,0.0
B91,TS,0.0
B92,TS,0.0
B93,TS,0
B94,TS,0
B95,TS,0
B96,TS,0
B97,TS,0
B98,TS,0
B99,TS,0.0
B100,TS,85540.9804401116
B101,TS,0
B102,TS,0
B103,TS,37059.06141239105
B104,TS,0.0
B105,TS,0.0
B106,TS,0
B107,TS,0.0
B108,TS,0
B109,TS,0
B110,TS,0.0
B111,TS,37247.375023646186
B112,TS,0.0
B113,TS,0.0
B114,TS,0
B115,TS,0
B116,TS,0.0
B117,TS,0
B118,TS,0
