Bus,Zone,State,Hour,LMP,Energy,Congestion,Loss
1,B1,TS,1,20.0,20.0,0.0,0.0
1,B1,TS,2,20.0,20.0,0.0,0.0
1,B1,TS,3,20.0,20.0,0.0,0.0
1,B1,TS,4,20.0,20.0,0.0,0.0
1,B1,TS,5,20.0,20.0,0.0,0.0
1,B1,TS,6,20.0,20.0,0.0,0.0
1,B1,TS,7,20.0,20.0,0.0,0.0
1,B1,TS,8,20.0,20.0,0.0,0.0
1,B1,TS,9,20.0,20.0,0.0,0.0
1,B1,TS,10,20.0,20.0,0.0,0.0
1,B1,TS,11,20.0,20.0,0.0,0.0
1,B1,TS,12,20.0,20.0,0.0,0.0
1,B1,TS,13,20.0,20.0,0.0,0.0
1,B1,TS,14,20.0,20.0,0.0,0.0
1,B1,TS,15,20.0,20.0,0.0,0.0
1,B1,TS,16,20.0,20.0,0.0,0.0
1,B1,TS,17,20.0,20.0,0.0,0.0
1,B1,TS,18,20.0,20.0,0.0,0.0
1,B1,TS,19,20.0,20.0,0.0,0.0
1,B1,TS,20,20.0,20.0,0.0,0.0
1,B1,TS,21,20.0,20.0,0.0,0.0
1,B1,TS,22,20.0,20.0,0.0,0.0
1,B1,TS,23,20.0,20.0,0.0,0.0
1,B1,TS,24,20.0,20.0,0.0,0.0
1,B1,TS,25,20.0,20.0,0.0,0.0
1,B1,TS,26,20.0,20.0,0.0,0.0
1,B1,TS,27,20.0,20.0,0.0,0.0
1,B1,TS,28,20.0,20.0,0.0,0.0
1,B1,TS,29,20.0,20.0,0.0,0.0
1,B1,TS,30,20.0,20.0,0.0,0.0
1,B1,TS,31,20.0,20.0,0.0,0.0
1,B1,TS,32,20.0,20.0,0.0,0.0
1,B1,TS,33,20.0,20.0,0.0,0.0
1,B1,TS,34,20.0,20.0,0.0,0.0
1,B1,TS,35,20.0,20.0,0.0,0.0
1,B1,TS,36,20.0,20.0,0.0,0.0
1,B1,TS,37,20.0,20.0,0.0,0.0
1,B1,TS,38,20.0,20.0,0.0,0.0
1,B1,TS,39,20.0,20.0,0.0,0.0
1,B1,TS,40,20.0,20.0,0.0,0.0
1,B1,TS,41,20.0,20.0,0.0,0.0
1,B1,TS,42,20.0,20.0,0.0,0.0
1,B1,TS,43,20.0,20.0,0.0,0.0
1,B1,TS,44,20.0,20.0,0.0,0.0
1,B1,TS,45,20.0,20.0,0.0,0.0
1,B1,TS,46,20.0,20.0,0.0,0.0
1,B1,TS,47,20.0,20.0,0.0,0.0
1,B1,TS,48,20.0,20.0,0.0,0.0
1,B1,TS,49,20.0,20.0,0.0,0.0
1,B1,TS,50,20.0,20.0,0.0,0.0
1,B1,TS,51,20.0,20.0,0.0,0.0
1,B1,TS,52,20.0,20.0,0.0,0.0
1,B1,TS,53,20.0,20.0,0.0,0.0
1,B1,TS,54,20.0,20.0,0.0,0.0
1,B1,TS,55,20.0,20.0,0.0,0.0
1,B1,TS,56,20.0,20.0,0.0,0.0
1,B1,TS,57,20.0,20.0,0.0,0.0
1,B1,TS,58,20.0,20.0,0.0,0.0
1,B1,TS,59,20.0,20.0,0.0,0.0
1,B1,TS,60,20.0,20.0,0.0,0.0
1,B1,TS,61,20.0,20.0,0.0,0.0
1,B1,TS,62,20.0,20.0,0.0,0.0
1,B1,TS,63,20.0,20.0,0.0,0.0
1,B1,TS,64,20.0,20.0,0.0,0.0
1,B1,TS,65,20.0,20.0,0.0,0.0
1,B1,TS,66,20.0,20.0,0.0,0.0
1,B1,TS,67,20.0,20.0,0.0,0.0
1,B1,TS,68,20.0,20.0,0.0,0.0
1,B1,TS,69,20.0,20.0,0.0,0.0
1,B1,TS,70,20.0,20.0,0.0,0.0
1,B1,TS,71,20.0,20.0,0.0,0.0
1,B1,TS,72,20.0,20.0,0.0,0.0
1,B1,TS,73,20.0,20.0,0.0,0.0
1,B1,TS,74,20.0,20.0,0.0,0.0
1,B1,TS,75,20.0,20.0,0.0,0.0
1,B1,TS,76,20.0,20.0,0.0,0.0
1,B1,TS,77,20.0,20.0,0.0,0.0
1,B1,TS,78,20.0,20.0,0.0,0.0
1,B1,TS,79,20.0,20.0,0.0,0.0
1,B1,TS,80,20.0,20.0,0.0,0.0
1,B1,TS,81,20.0,20.0,0.0,0.0
1,B1,TS,82,20.0,20.0,0.0,0.0
1,B1,TS,83,20.0,20.0,0.0,0.0
1,B1,TS,84,20.0,20.0,0.0,0.0
1,B1,TS,85,20.0,20.0,0.0,0.0
1,B1,TS,86,20.0,20.0,0.0,0.0
1,B1,TS,87,20.0,20.0,0.0,0.0
1,B1,TS,88,20.0,20.0,0.0,0.0
1,B1,TS,89,20.0,20.0,0.0,0.0
1,B1,TS,90,20.0,20.0,0.0,0.0
1,B1,TS,91,20.0,20.0,0.0,0.0
1,B1,TS,92,20.0,20.0,0.0,0.0
1,B1,TS,93,20.0,20.0,0.0,0.0
1,B1,TS,94,20.0,20.0,0.0,0.0
1,B1,TS,95,20.0,20.0,0.0,0.0
1,B1,TS,96,20.0,20.0,0.0,0.0
1,B1,TS,97,20.0,20.0,0.0,0.0
1,B1,TS,98,20.0,20.0,0.0,0.0
1,B1,TS,99,20.0,20.0,0.0,0.0
1,B1,TS,100,20.0,20.0,0.0,0.0
1,B1,TS,101,20.0,20.0,0.0,0.0
1,B1,TS,102,20.0,20.0,0.0,0.0
1,B1,TS,103,20.0,20.0,0.0,0.0
1,B1,TS,104,20.0,20.0,0.0,0.0
1,B1,TS,105,20.0,20.0,0.0,0.0
1,B1,TS,106,20.0,20.0,0.0,0.0
1,B1,TS,107,20.0,20.0,0.0,0.0
1,B1,TS,108,20.0,20.0,0.0,0.0
1,B1,TS,109,20.0,20.0,0.0,0.0
1,B1,TS,110,20.0,20.0,0.0,0.0
1,B1,TS,111,20.0,20.0,0.0,0.0
1,B1,TS,112,20.0,20.0,0.0,0.0
1,B1,TS,113,20.0,20.0,0.0,0.0
1,B1,TS,114,20.0,20.0,0.0,0.0
1,B1,TS,115,20.0,20.0,0.0,0.0
1,B1,TS,116,20.0,20.0,0.0,0.0
1,B1,TS,117,20.0,20.0,0.0,0.0
1,B1,TS,118,20.0,20.0,0.0,0.0
1,B1,TS,119,20.0,20.0,0.0,0.0
1,B1,TS,120,20.0,20.0,0.0,0.0
1,B1,TS,121,20.0,20.0,0.0,0.0
1,B1,TS,122,20.0,20.0,0.0,0.0
1,B1,TS,123,20.0,20.0,0.0,0.0
1,B1,TS,124,20.0,20.0,0.0,0.0
1,B1,TS,125,20.0,20.0,0.0,0.0
1,B1,TS,126,20.0,20.0,0.0,0.0
1,B1,TS,127,20.0,20.0,0.0,0.0
1,B1,TS,128,20.0,20.0,0.0,0.0
1,B1,TS,129,20.0,20.0,0.0,0.0
1,B1,TS,130,20.0,20.0,0.0,0.0
1,B1,TS,131,20.0,20.0,0.0,0.0
1,B1,TS,132,20.0,20.0,0.0,0.0
1,B1,TS,133,20.0,20.0,0.0,0.0
1,B1,TS,134,20.0,20.0,0.0,0.0
1,B1,TS,135,20.0,20.0,0.0,0.0
1,B1,TS,136,20.0,20.0,0.0,0.0
1,B1,TS,137,20.0,20.0,0.0,0.0
1,B1,TS,138,20.0,20.0,0.0,0.0
1,B1,TS,139,20.0,20.0,0.0,0.0
1,B1,TS,140,20.0,20.0,0.0,0.0
1,B1,TS,141,20.0,20.0,0.0,0.0
1,B1,TS,142,20.0,20.0,0.0,0.0
1,B1,TS,143,20.0,20.0,0.0,0.0
1,B1,TS,144,20.0,20.0,0.0,0.0
1,B1,TS,145,20.0,20.0,0.0,0.0
1,B1,TS,146,20.0,20.0,0.0,0.0
1,B1,TS,147,20.0,20.0,0.0,0.0
1,B1,TS,148,20.0,20.0,0.0,0.0
1,B1,TS,149,20.0,20.0,0.0,0.0
1,B1,TS,150,20.0,20.0,0.0,0.0
1,B1,TS,151,20.0,20.0,0.0,0.0
1,B1,TS,152,20.0,20.0,0.0,0.0
1,B1,TS,153,20.0,20.0,0.0,0.0
1,B1,TS,154,20.0,20.0,0.0,0.0
1,B1,TS,155,20.0,20.0,0.0,0.0
1,B1,TS,156,20.0,20.0,0.0,0.0
1,B1,TS,157,20.0,20.0,0.0,0.0
1,B1,TS,158,20.0,20.0,0.0,0.0
1,B1,TS,159,20.0,20.0,0.0,0.0
1,B1,TS,160,20.0,20.0,0.0,0.0
1,B1,TS,161,20.0,20.0,0.0,0.0
1,B1,TS,162,20.0,20.0,0.0,0.0
1,B1,TS,163,20.0,20.0,0.0,0.0
1,B1,TS,164,20.0,20.0,0.0,0.0
1,B1,TS,165,20.0,20.0,0.0,0.0
1,B1,TS,166,20.0,20.0,0.0,0.0
1,B1,TS,167,20.0,20.0,0.0,0.0
1,B1,TS,168,20.0,20.0,0.0,0.0
1,B1,TS,169,20.0,20.0,0.0,0.0
1,B1,TS,170,20.0,20.0,0.0,0.0
1,B1,TS,171,20.0,20.0,0.0,0.0
1,B1,TS,172,20.0,20.0,0.0,0.0
1,B1,TS,173,20.0,20.0,0.0,0.0
1,B1,TS,174,20.0,20.0,0.0,0.0
1,B1,TS,175,20.0,20.0,0.0,0.0
1,B1,TS,176,20.0,20.0,0.0,0.0
1,B1,TS,177,20.0,20.0,0.0,0.0
1,B1,TS,178,20.0,20.0,0.0,0.0
1,B1,TS,179,20.0,20.0,0.0,0.0
1,B1,TS,180,20.0,20.0,0.0,0.0
1,B1,TS,181,20.0,20.0,0.0,0.0
1,B1,TS,182,20.0,20.0,0.0,0.0
1,B1,TS,183,20.0,20.0,0.0,0.0
1,B1,TS,184,20.0,20.0,0.0,0.0
1,B1,TS,185,20.0,20.0,0.0,0.0
1,B1,TS,186,20.0,20.0,0.0,0.0
1,B1,TS,187,20.0,20.0,0.0,0.0
1,B1,TS,188,20.0,20.0,0.0,0.0
1,B1,TS,189,20.0,20.0,0.0,0.0
1,B1,TS,190,20.0,20.0,0.0,0.0
1,B1,TS,191,20.0,20.0,0.0,0.0
1,B1,TS,192,20.0,20.0,0.0,0.0
1,B1,TS,193,20.0,20.0,0.0,0.0
1,B1,TS,194,20.0,20.0,0.0,0.0
1,B1,TS,195,20.0,20.0,0.0,0.0
1,B1,TS,196,20.0,20.0,0.0,0.0
1,B1,TS,197,20.0,20.0,0.0,0.0
1,B1,TS,198,20.0,20.0,0.0,0.0
1,B1,TS,199,20.0,20.0,0.0,0.0
1,B1,TS,200,20.0,20.0,0.0,0.0
1,B1,TS,201,20.0,20.0,0.0,0.0
1,B1,TS,202,20.0,20.0,0.0,0.0
1,B1,TS,203,20.0,20.0,0.0,0.0
1,B1,TS,204,20.0,20.0,0.0,0.0
1,B1,TS,205,20.0,20.0,0.0,0.0
1,B1,TS,206,20.0,20.0,0.0,0.0
1,B1,TS,207,20.0,20.0,0.0,0.0
1,B1,TS,208,20.0,20.0,0.0,0.0
1,B1,TS,209,20.0,20.0,0.0,0.0
1,B1,TS,210,20.0,20.0,0.0,0.0
1,B1,TS,211,20.0,20.0,0.0,0.0
1,B1,TS,212,20.0,20.0,0.0,0.0
1,B1,TS,213,20.0,20.0,0.0,0.0
1,B1,TS,214,20.0,20.0,0.0,0.0
1,B1,TS,215,20.0,20.0,0.0,0.0
1,B1,TS,216,20.0,20.0,0.0,0.0
1,B1,TS,217,20.0,20.0,0.0,0.0
1,B1,TS,218,20.0,20.0,0.0,0.0
1,B1,TS,219,20.0,20.0,0.0,0.0
1,B1,TS,220,20.0,20.0,0.0,0.0
1,B1,TS,221,20.0,20.0,0.0,0.0
1,B1,TS,222,20.0,20.0,0.0,0.0
1,B1,TS,223,20.0,20.0,0.0,0.0
1,B1,TS,224,20.0,20.0,0.0,0.0
1,B1,TS,225,20.0,20.0,0.0,0.0
1,B1,TS,226,20.0,20.0,0.0,0.0
1,B1,TS,227,20.0,20.0,0.0,0.0
1,B1,TS,228,20.0,20.0,0.0,0.0
1,B1,TS,229,20.0,20.0,0.0,0.0
1,B1,TS,230,20.0,20.0,0.0,0.0
1,B1,TS,231,20.0,20.0,0.0,0.0
1,B1,TS,232,20.0,20.0,0.0,0.0
1,B1,TS,233,20.0,20.0,0.0,0.0
1,B1,TS,234,20.0,20.0,0.0,0.0
1,B1,TS,235,20.0,20.0,0.0,0.0
1,B1,TS,236,20.0,20.0,0.0,0.0
1,B1,TS,237,20.0,20.0,0.0,0.0
1,B1,TS,238,20.0,20.0,0.0,0.0
1,B1,TS,239,20.0,20.0,0.0,0.0
1,B1,TS,240,20.0,20.0,0.0,0.0
1,B1,TS,241,20.0,20.0,0.0,0.0
1,B1,TS,242,20.0,20.0,0.0,0.0
1,B1,TS,243,20.0,20.0,0.0,0.0
1,B1,TS,244,20.0,20.0,0.0,0.0
1,B1,TS,245,20.0,20.0,0.0,0.0
1,B1,TS,246,20.0,20.0,0.0,0.0
1,B1,TS,247,20.0,20.0,0.0,0.0
1,B1,TS,248,20.0,20.0,0.0,0.0
1,B1,TS,249,20.0,20.0,0.0,0.0
1,B1,TS,250,20.0,20.0,0.0,0.0
1,B1,TS,251,20.0,20.0,0.0,0.0
1,B1,TS,252,20.0,20.0,0.0,0.0
1,B1,TS,253,20.0,20.0,0.0,0.0
1,B1,TS,254,20.0,20.0,0.0,0.0
1,B1,TS,255,20.0,20.0,0.0,0.0
1,B1,TS,256,20.0,20.0,0.0,0.0
1,B1,TS,257,20.0,20.0,0.0,0.0
1,B1,TS,258,20.0,20.0,0.0,0.0
1,B1,TS,259,20.0,20.0,0.0,0.0
1,B1,TS,260,20.0,20.0,0.0,0.0
1,B1,TS,261,20.0,20.0,0.0,0.0
1,B1,TS,262,20.0,20.0,0.0,0.0
1,B1,TS,263,20.0,20.0,0.0,0.0
1,B1,TS,264,20.0,20.0,0.0,0.0
1,B1,TS,265,20.0,20.0,0.0,0.0
1,B1,TS,266,20.0,20.0,0.0,0.0
1,B1,TS,267,20.0,20.0,0.0,0.0
1,B1,TS,268,20.0,20.0,0.0,0.0
1,B1,TS,269,20.0,20.0,0.0,0.0
1,B1,TS,270,20.0,20.0,0.0,0.0
1,B1,TS,271,20.0,20.0,0.0,0.0
1,B1,TS,272,20.0,20.0,0.0,0.0
1,B1,TS,273,20.0,20.0,0.0,0.0
1,B1,TS,274,20.0,20.0,0.0,0.0
1,B1,TS,275,20.0,20.0,0.0,0.0
1,B1,TS,276,20.0,20.0,0.0,0.0
1,B1,TS,277,20.0,20.0,0.0,0.0
1,B1,TS,278,20.0,20.0,0.0,0.0
1,B1,TS,279,20.0,20.0,0.0,0.0
1,B1,TS,280,20.0,20.0,0.0,0.0
1,B1,TS,281,20.0,20.0,0.0,0.0
1,B1,TS,282,20.0,20.0,0.0,0.0
1,B1,TS,283,20.0,20.0,0.0,0.0
1,B1,TS,284,20.0,20.0,0.0,0.0
1,B1,TS,285,20.0,20.0,0.0,0.0
1,B1,TS,286,20.0,20.0,0.0,0.0
1,B1,TS,287,20.0,20.0,0.0,0.0
1,B1,TS,288,20.0,20.0,0.0,0.0
1,B1,TS,289,20.0,20.0,0.0,0.0
1,B1,TS,290,20.0,20.0,0.0,0.0
1,B1,TS,291,20.0,20.0,0.0,0.0
1,B1,TS,292,20.0,20.0,0.0,0.0
1,B1,TS,293,20.0,20.0,0.0,0.0
1,B1,TS,294,20.0,20.0,0.0,0.0
1,B1,TS,295,20.0,20.0,0.0,0.0
1,B1,TS,296,20.0,20.0,0.0,0.0
1,B1,TS,297,20.0,20.0,0.0,0.0
1,B1,TS,298,20.0,20.0,0.0,0.0
1,B1,TS,299,20.0,20.0,0.0,0.0
1,B1,TS,300,20.0,20.0,0.0,0.0
1,B1,TS,301,20.0,20.0,0.0,0.0
1,B1,TS,302,20.0,20.0,0.0,0.0
1,B1,TS,303,20.0,20.0,0.0,0.0
1,B1,TS,304,20.0,20.0,0.0,0.0
1,B1,TS,305,20.0,20.0,0.0,0.0
1,B1,TS,306,20.0,20.0,0.0,0.0
1,B1,TS,307,20.0,20.0,0.0,0.0
1,B1,TS,308,20.0,20.0,0.0,0.0
1,B1,TS,309,20.0,20.0,0.0,0.0
1,B1,TS,310,20.0,20.0,0.0,0.0
1,B1,TS,311,20.0,20.0,0.0,0.0
1,B1,TS,312,20.0,20.0,0.0,0.0
1,B1,TS,313,20.0,20.0,0.0,0.0
1,B1,TS,314,20.0,20.0,0.0,0.0
