Zone,Hour,LMP,Energy,Congestion,Loss
B1,1,20.0,20.0,0.0,0.0
B1,2,20.0,20.0,0.0,0.0
B1,3,20.0,20.0,0.0,0.0
B1,4,20.0,20.0,0.0,0.0
B1,5,20.0,20.0,0.0,0.0
B1,6,20.0,20.0,0.0,0.0
B1,7,20.0,20.0,0.0,0.0
B1,8,20.0,20.0,0.0,0.0
B1,9,20.0,20.0,0.0,0.0
B1,10,20.0,20.0,0.0,0.0
B1,11,20.0,20.0,0.0,0.0
B1,12,20.0,20.0,0.0,0.0
B1,13,20.0,20.0,0.0,0.0
B1,14,20.0,20.0,0.0,0.0
B1,15,20.0,20.0,0.0,0.0
B1,16,20.0,20.0,0.0,0.0
B1,17,20.0,20.0,0.0,0.0
B1,18,20.0,20.0,0.0,0.0
B1,19,20.0,20.0,0.0,0.0
B1,20,20.0,20.0,0.0,0.0
B1,21,20.0,20.0,0.0,0.0
B1,22,20.0,20.0,0.0,0.0
B1,23,20.0,20.0,0.0,0.0
B1,24,20.0,20.0,0.0,0.0
B1,25,20.0,20.0,0.0,0.0
B1,26,20.0,20.0,0.0,0.0
B1,27,20.0,20.0,0.0,0.0
B1,28,20.0,20.0,0.0,0.0
B1,29,20.0,20.0,0.0,0.0
B1,30,20.0,20.0,0.0,0.0
B1,31,20.0,20.0,0.0,0.0
B1,32,20.0,20.0,0.0,0.0
B1,33,20.0,20.0,0.0,0.0
B1,34,20.0,20.0,0.0,0.0
B1,35,20.0,20.0,0.0,0.0
B1,36,20.0,20.0,0.0,0.0
B1,37,20.0,20.0,0.0,0.0
B1,38,20.0,20.0,0.0,0.0
B1,39,20.0,20.0,0.0,0.0
B1,40,20.0,20.0,0.0,0.0
B1,41,20.0,20.0,0.0,0.0
B1,42,20.0,20.0,0.0,0.0
B1,43,20.0,20.0,0.0,0.0
B1,44,20.0,20.0,0.0,0.0
B1,45,20.0,20.0,0.0,0.0
B1,46,20.0,20.0,0.0,0.0
B1,47,20.0,20.0,0.0,0.0
B1,48,20.0,20.0,0.0,0.0
B1,49,20.0,20.0,0.0,0.0
B1,50,20.0,20.0,0.0,0.0
B1,51,20.0,20.0,0.0,0.0
B1,52,20.0,20.0,0.0,0.0
B1,53,20.0,20.0,0.0,0.0
B1,54,20.0,20.0,0.0,0.0
B1,55,20.0,20.0,0.0,0.0
B1,56,20.0,20.0,0.0,0.0
B1,57,20.0,20.0,0.0,0.0
B1,58,20.0,20.0,0.0,0.0
B1,59,20.0,20.0,0.0,0.0
B1,60,20.0,20.0,0.0,0.0
B1,61,20.0,20.0,0.0,0.0
B1,62,20.0,20.0,0.0,0.0
B1,63,20.0,20.0,0.0,0.0
B1,64,20.0,20.0,0.0,0.0
B1,65,20.0,20.0,0.0,0.0
B1,66,20.0,20.0,0.0,0.0
B1,67,20.0,20.0,0.0,0.0
B1,68,20.0,20.0,0.0,0.0
B1,69,20.0,20.0,0.0,0.0
B1,70,20.0,20.0,0.0,0.0
B1,71,20.0,20.0,0.0,0.0
B1,72,20.0,20.0,0.0,0.0
B1,73,20.0,20.0,0.0,0.0
B1,74,20.0,20.0,0.0,0.0
B1,75,20.0,20.0,0.0,0.0
B1,76,20.0,20.0,0.0,0.0
B1,77,20.0,20.0,0.0,0.0
B1,78,20.0,20.0,0.0,0.0
B1,79,20.0,20.0,0.0,0.0
B1,80,20.0,20.0,0.0,0.0
B1,81,20.0,20.0,0.0,0.0
B1,82,20.0,20.0,0.0,0.0
B1,83,20.0,20.0,0.0,0.0
B1,84,20.0,20.0,0.0,0.0
B1,85,20.0,20.0,0.0,0.0
B1,86,20.0,20.0,0.0,0.0
B1,87,20.0,20.0,0.0,0.0
B1,88,20.0,20.0,0.0,0.0
B1,89,20.0,20.0,0.0,0.0
B1,90,20.0,20.0,0.0,0.0
B1,91,20.0,20.0,0.0,0.0
B1,92,20.0,20.0,0.0,0.0
B1,93,20.0,20.0,0.0,0.0
B1,94,20.0,20.0,0.0,0.0
B1,95,20.0,20.0,0.0,0.0
B1,96,20.0,20.0,0.0,0.0
B1,97,20.0,20.0,0.0,0.0
B1,98,20.0,20.0,0.0,0.0
B1,99,20.0,20.0,0.0,0.0
B1,100,20.0,20.0,0.0,0.0
B1,101,20.0,20.0,0.0,0.0
B1,102,20.0,20.0,0.0,0.0
B1,103,20.0,20.0,0.0,0.0
B1,104,20.0,20.0,0.0,0.0
