Zone,Opr_cost ($),LoL_plt ($),Total_cost ($)
B1,53.025000000000006,0.0,53.025000000000006
B2,0.0,0.0,0.0
B3,0.0,0.0,0.0
B4,0.0,0.0,0.0
B5,0.0,0.0,0.0
B6,0.0,0.0,0.0
B7,0.0,0.0,0.0
B8,0.0,0.0,0.0
B9,0.0,0.0,0.0
B10,0.0,0.0,0.0
B11,0.0,0.0,0.0
B12,1.564175e6,0.0,1.564175e6
B13,0.0,0.0,0.0
B14,0.0,0.0,0.0
B15,0.0,0.0,0.0
B16,0.0,0.0,0.0
B17,0.0,0.0,0.0
B18,0.0,0.0,0.0
B19,0.0,0.0,0.0
B20,0.0,0.0,0.0
B21,0.0,0.0,0.0
B22,0.0,0.0,0.0
B23,0.0,0.0,0.0
B24,0.0,0.0,0.0
B25,4.52352e6,0.0,4.52352e6
B26,1.6439940000000063e6,0.0,1.6439940000000063e6
B27,0.0,0.0,0.0
B28,0.0,0.0,0.0
B29,0.0,0.0,0.0
B30,0.0,0.0,0.0
B31,1.08968800000001e6,0.0,1.08968800000001e6
B32,0.0,0.0,0.0
B33,0.0,0.0,0.0
B34,0.0,0.0,0.0
B35,0.0,0.0,0.0
B36,0.0,0.0,0.0
B37,0.0,0.0,0.0
B38,0.0,0.0,0.0
B39,0.0,0.0,0.0
B40,0.0,0.0,0.0
B41,0.0,0.0,0.0
B42,0.0,0.0,0.0
B43,0.0,0.0,0.0
B44,0.0,0.0,0.0
B45,0.0,0.0,0.0
B46,1.6799230000000235e6,0.0,1.6799230000000235e6
B47,0.0,0.0,0.0
B48,0.0,0.0,0.0
B49,3.0901599999999995e6,0.0,3.0901599999999995e6
B50,0.0,0.0,0.0
B51,0.0,0.0,0.0
B52,0.0,0.0,0.0
B53,0.0,0.0,0.0
B54,2.0049560000000193e6,0.0,2.0049560000000193e6
B55,0.0,0.0,0.0
B56,0.0,0.0,0.0
B57,0.0,0.0,0.0
B58,0.0,0.0,0.0
B59,2.223855e6,0.0,2.223855e6
B60,0.0,0.0,0.0
B61,2.2724e6,0.0,2.2724e6
B62,0.0,0.0,0.0
B63,0.0,0.0,0.0
B64,0.0,0.0,0.0
B65,792964.9999999999,0.0,792964.9999999999
B66,5.973371999999991e6,0.0,5.973371999999991e6
B67,0.0,0.0,0.0
B68,0.0,0.0,0.0
B69,3.5050522791656433e6,0.0,3.5050522791656433e6
B70,0.0,0.0,0.0
B71,0.0,0.0,0.0
B72,0.0,0.0,0.0
B73,0.0,0.0,0.0
B74,0.0,0.0,0.0
B75,0.0,0.0,0.0
B76,0.0,0.0,0.0
B77,0.0,0.0,0.0
B78,0.0,0.0,0.0
B79,0.0,0.0,0.0
B80,5.768426140085938e6,0.0,5.768426140085938e6
B81,0.0,0.0,0.0
B82,0.0,0.0,0.0
B83,0.0,0.0,0.0
B84,0.0,0.0,0.0
B85,0.0,0.0,0.0
B86,0.0,0.0,0.0
B87,1.4701440000000205e6,0.0,1.4701440000000205e6
B88,0.0,0.0,0.0
B89,8.3647667104929015e6,0.0,8.3647667104929015e6
B90,0.0,0.0,0.0
B91,0.0,0.0,0.0
B92,0.0,0.0,0.0
B93,0.0,0.0,0.0
B94,0.0,0.0,0.0
B95,0.0,0.0,0.0
B96,0.0,0.0,0.0
B97,0.0,0.0,0.0
B98,0.0,0.0,0.0
B99,0.0,0.0,0.0
B100,4.277049022005579e6,0.0,4.277049022005579e6
B101,0.0,0.0,0.0
B102,0.0,0.0,0.0
B103,1.8529530706195524e6,0.0,1.8529530706195524e6
B104,0.0,0.0,0.0
B105,0.0,0.0,0.0
B106,0.0,0.0,0.0
B107,0.0,0.0,0.0
B108,0.0,0.0,0.0
B109,0.0,0.0,0.0
B110,0.0,0.0,0.0
B111,1.8623687511823091e6,0.0,1.8623687511823091e6
B112,0.0,0.0,0.0
B113,0.0,0.0,0.0
B114,0.0,0.0,0.0
B115,0.0,0.0,0.0
B116,0.0,0.0,0.0
B117,0.0,0.0,0.0
B118,0.0,0.0,0.0
