Bus_id,Zone_id,Load_share,Demand (MW)
1,B1,1.0,51.0
2,B2,1.0,20.0
3,B3,1.0,39.0
4,B4,1.0,39.0
5,B5,1.0,0.0
6,B6,1.0,52.0
7,B7,1.0,19.0
8,B8,1.0,28.0
9,B9,1.0,0.0
10,B10,1.0,0.0
11,B11,1.0,70.0
12,B12,1.0,47.0
13,B13,1.0,34.0
14,B14,1.0,14.0
15,B15,1.0,90.0
16,B16,1.0,25.0
17,B17,1.0,11.0
18,B18,1.0,60.0
19,B19,1.0,45.0
20,B20,1.0,18.0
21,B21,1.0,14.0
22,B22,1.0,10.0
23,B23,1.0,7.0
24,B24,1.0,13.0
25,B25,1.0,0.0
26,B26,1.0,0.0
27,B27,1.0,71.0
28,B28,1.0,17.0
29,B29,1.0,24.0
30,B30,1.0,0.0
31,B31,1.0,43.0
32,B32,1.0,59.0
33,B33,1.0,23.0
34,B34,1.0,59.0
35,B35,1.0,33.0
36,B36,1.0,31.0
37,B37,1.0,0.0
38,B38,1.0,0.0
39,B39,1.0,27.0
40,B40,1.0,66.0
41,B41,1.0,37.0
42,B42,1.0,96.0
43,B43,1.0,18.0
44,B44,1.0,16.0
45,B45,1.0,53.0
46,B46,1.0,28.0
47,B47,1.0,34.0
48,B48,1.0,20.0
49,B49,1.0,87.0
50,B50,1.0,17.0
51,B51,1.0,17.0
52,B52,1.0,18.0
53,B53,1.0,23.0
54,B54,1.0,113.0
55,B55,1.0,63.0
56,B56,1.0,84.0
57,B57,1.0,12.0
58,B58,1.0,12.0
59,B59,1.0,277.0
60,B60,1.0,78.0
61,B61,1.0,0.0
62,B62,1.0,77.0
63,B63,1.0,0.0
64,B64,1.0,0.0
65,B65,1.0,0.0
66,B66,1.0,39.0
67,B67,1.0,28.0
68,B68,1.0,0.0
69,B69,1.0,0.0
70,B70,1.0,66.0
71,B71,1.0,0.0
72,B72,1.0,12.0
73,B73,1.0,6.0
74,B74,1.0,68.0
75,B75,1.0,47.0
76,B76,1.0,68.0
77,B77,1.0,61.0
78,B78,1.0,71.0
79,B79,1.0,39.0
80,B80,1.0,130.0
81,B81,1.0,0.0
82,B82,1.0,54.0
83,B83,1.0,20.0
84,B84,1.0,11.0
85,B85,1.0,24.0
86,B86,1.0,21.0
87,B87,1.0,0.0
88,B88,1.0,48.0
89,B89,1.0,0.0
90,B90,1.0,163.0
91,B91,1.0,10.0
92,B92,1.0,65.0
93,B93,1.0,12.0
94,B94,1.0,30.0
95,B95,1.0,42.0
96,B96,1.0,38.0
97,B97,1.0,15.0
98,B98,1.0,34.0
99,B99,1.0,42.0
100,B100,1.0,37.0
101,B101,1.0,22.0
102,B102,1.0,5.0
103,B103,1.0,23.0
104,B104,1.0,38.0
105,B105,1.0,31.0
106,B106,1.0,43.0
107,B107,1.0,50.0
108,B108,1.0,2.0
109,B109,1.0,8.0
110,B110,1.0,39.0
111,B111,1.0,0.0
112,B112,1.0,68.0
113,B113,1.0,6.0
114,B114,1.0,8.0
115,B115,1.0,22.0
116,B116,1.0,184.0
117,B117,1.0,20.0
118,B118,1.0,33.0
