Pmax (MW),Pmin (MW),Zone,Bus_id,Type,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW)
100.0,0.0,B1,1,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B4,4,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B6,6,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B8,8,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
550.0,0.0,B10,10,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
185.0,0.0,B12,12,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B15,15,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B18,18,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B19,19,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B24,24,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
320.0,0.0,B25,25,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
414.0,0.0,B26,26,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B27,27,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
107.0,0.0,B31,31,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B32,32,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B34,34,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B36,36,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
