From_zone,To_zone,from_bus,to_bus,X,Capacity (MW),Loss (%)
B1,B2,1,2,0.0999,4242.0,0
B1,B3,1,3,0.0424,4242.0,0
B4,B5,4,5,0.00798,4242.0,0
B3,B5,3,5,0.108,4242.0,0
B5,B6,5,6,0.054,4242.0,0
B6,B7,6,7,0.0208,4242.0,0
B8,B9,8,9,0.0305,4242.0,0
B8,B5,8,5,0.0267,4242.0,0
B9,B10,9,10,0.0322,4242.0,0
B4,B11,4,11,0.0688,4242.0,0
B5,B11,5,11,0.0682,4242.0,0
B11,B12,11,12,0.0196,4242.0,0
B2,B12,2,12,0.0616,4242.0,0
B3,B12,3,12,0.16,4242.0,0
B7,B12,7,12,0.034,4242.0,0
B11,B13,11,13,0.0731,4242.0,0
B12,B14,12,14,0.0707,4242.0,0
B13,B15,13,15,0.2444,4242.0,0
B14,B15,14,15,0.195,4242.0,0
B12,B16,12,16,0.0834,4242.0,0
B15,B17,15,17,0.0437,4242.0,0
B16,B17,16,17,0.1801,4242.0,0
B17,B18,17,18,0.0505,4242.0,0
B18,B19,18,19,0.0493,4242.0,0
B19,B20,19,20,0.117,4242.0,0
B15,B19,15,19,0.0394,4242.0,0
B20,B21,20,21,0.0849,4242.0,0
B21,B22,21,22,0.097,4242.0,0
B22,B23,22,23,0.159,4242.0,0
B23,B24,23,24,0.0492,4242.0,0
B23,B25,23,25,0.08,4242.0,0
B26,B25,26,25,0.0382,4242.0,0
B25,B27,25,27,0.163,4242.0,0
B27,B28,27,28,0.0855,4242.0,0
B28,B29,28,29,0.0943,4242.0,0
B30,B17,30,17,0.0388,4242.0,0
B8,B30,8,30,0.0504,4242.0,0
B26,B30,26,30,0.086,4242.0,0
B17,B31,17,31,0.1563,4242.0,0
B29,B31,29,31,0.0331,4242.0,0
B23,B32,23,32,0.1153,4242.0,0
B31,B32,31,32,0.0985,4242.0,0
B27,B32,27,32,0.0755,4242.0,0
B15,B33,15,33,0.1244,4242.0,0
B19,B34,19,34,0.247,4242.0,0
B35,B36,35,36,0.0102,4242.0,0
B35,B37,35,37,0.0497,4242.0,0
B33,B37,33,37,0.142,4242.0,0
B34,B36,34,36,0.0268,4242.0,0
B34,B37,34,37,0.0094,4242.0,0
