From_zone,To_zone,from_bus,to_bus,X,Capacity (MW)
B1,B2,1,2,0.05917,258.99999999999994
B1,B5,1,5,0.22304,258.99999999999994
B2,B3,2,3,0.19797,258.99999999999994
B2,B4,2,4,0.17632,258.99999999999994
B2,B5,2,5,0.17388,258.99999999999994
B3,B4,3,4,0.17103,258.99999999999994
B4,B5,4,5,0.04211,258.99999999999994
B4,B7,4,7,0.20912,258.99999999999994
B4,B9,4,9,0.55618,258.99999999999994
B5,B6,5,6,0.25202,258.99999999999994
B6,B11,6,11,0.1989,258.99999999999994
B6,B12,6,12,0.25581,258.99999999999994
B6,B13,6,13,0.13027,258.99999999999994
B7,B8,7,8,0.17615,258.99999999999994
B7,B9,7,9,0.11001,258.99999999999994
B9,B10,9,10,0.0845,258.99999999999994
B9,B14,9,14,0.27038,258.99999999999994
B10,B11,10,11,0.19207,258.99999999999994
B12,B13,12,13,0.19988,258.99999999999994
B13,B14,13,14,0.34802,258.99999999999994
