From_zone,To_zone,from_bus,to_bus,X,Capacity (MW),Loss (%)
NNE,NNE,1,2,0.120624,414.51,0.0
NNE,NNE,2,30,0.0181,1000.0,0.0
NNE,NNE,2,39,0.060198,530.03,0.0
NNE,NNE,2,139,0.023178,530.03,0.0
NNE,NNE,2,181,0.052755,530.03,0.0
NNE,NNE,2,201,0.018748,530.03,0.0
NNE,NNE,3,18,0.158129,316.2,0.0
NNE,NNE,3,181,0.03,400.0,0.0
Maine,Maine,4,75,0.038117,107.32,0.0
Maine,Maine,4,182,0.04,300.0,0.0
Maine,Maine,5,8,0.039331,578.83,0.0
Maine,Maine,5,183,0.046667,150.0,0.0
Maine,Maine,5,184,0.111012,178.87,0.0
Maine,Maine,5,207,0.013276,541.39,0.0
Maine,Maine,6,7,0.14575,107.32,0.0
Maine,Maine,6,31,0.025,1100.0,0.0
Maine,Maine,6,70,0.077688,107.32,0.0
Maine,Maine,6,184,0.014545,550.0,0.0
Maine,Maine,6,185,0.026667,450.0,0.0
Maine,Maine,7,186,0.017143,700.0,0.0
Maine,Maine,8,54,0.00508,665.28,0.0
Maine,Maine,8,187,0.01,700.0,0.0
Maine,Maine,10,11,0.008557,566.01,0.0
Maine,Maine,10,32,0.02,1000.0,0.0
Maine,Maine,10,70,0.067267,324.83,0.0
Maine,Maine,10,188,0.00375,3200.0,0.0
Maine,Maine,11,173,0.124076,237.35,0.0
Maine,Maine,11,189,0.06,200.0,0.0
Maine,Maine,12,11,0.0435,100.0,0.0
Maine,Maine,12,13,0.12,100.0,0.0
Maine,Maine,13,190,0.017908,1060.07,0.0
Maine,Maine,14,15,0.08904,178.87,0.0
Maine,Maine,14,177,0.067761,229.46,0.0
Maine,Maine,14,190,0.011667,600.0,0.0
Maine,Maine,15,61,0.027504,353.36,0.0
Maine,Maine,15,191,0.07,100.0,0.0
Maine,Maine,16,149,0.04695,137.68,0.0
Maine,Maine,16,192,0.04,200.0,0.0
Maine,Maine,16,193,0.048,250.0,0.0
Maine,NNE,17,18,0.194499,137.68,0.0
Maine,Maine,17,145,0.104525,107.32,0.0
Maine,Maine,17,194,0.08,150.0,0.0
ROP,ROP,19,20,0.02,400.0,0.0
ROP,ROP,19,33,0.0142,1000.0,0.0
ROP,ROP,19,96,0.129519,107.32,0.0
ROP,ROP,19,105,0.012761,522.03,0.0
ROP,ROP,19,110,0.023707,350.0,0.0
ROP,ROP,19,118,0.013449,474.7,0.0
ROP,ROP,19,175,0.251624,173.53,0.0
ROP,ROP,19,195,0.08,100.0,0.0
ROP,ROP,19,196,0.12,100.0,0.0
ROP,ROP,20,34,0.018,600.0,0.0
NNE,NNE,21,129,0.035005,187.39,0.0
NNE,NNE,21,130,0.060698,261.01,0.0
NNE,NNE,21,197,0.053333,150.0,0.0
NNE,ROP,21,198,0.06,200.0,0.0
NNE,ROP,21,250,0.003105527691822014,868.25,0.0
ROP,ROP,22,23,0.034482,178.87,0.0
ROP,ROP,22,35,0.0143,1950.0,0.0
ROP,ROP,22,199,0.006667,1050.0,0.0
ROP,ROP,23,24,0.106048,178.87,0.0
ROP,ROP,23,36,0.0272,1000.0,0.0
ROP,ROP,23,90,0.020365,206.75,0.0
ROP,ROP,23,91,0.054395,262.53,0.0
ROP,NNE,24,135,0.004659545097357953,353.36,0.0
ROP,ROP,24,200,0.0175,400.0,0.0
NNE,NNE,25,37,0.0232,1000.0,0.0
NNE,NNE,25,133,0.048676,395.58,0.0
NNE,Maine,25,141,0.01928528771649355,1496.37,0.0
NNE,NNE,25,168,0.045274,178.87,0.0
NNE,NNE,25,201,0.046667,150.0,0.0
SENE,SENE,26,42,0.04949,530.03,0.0
SENE,NNE,26,43,0.009112,896.9481381000412,0.0
SENE,NNE,26,135,0.02994490810303859,530.03,0.0
SENE,NNE,27,135,0.00956056907676532,300.0,0.0
SENE,SENE,27,160,0.054676,178.87,0.0
SENE,SENE,28,77,0.156472,250.0,0.0
SENE,SENE,28,88,0.018601,418.29,0.0
SENE,SENE,28,203,0.16,250.0,0.0
SENE,SENE,28,204,0.12,250.0,0.0
SENE,SENE,29,38,0.0156,1200.0,0.0
SENE,SENE,29,84,0.091679,283.0,0.0
SENE,SENE,29,205,0.010667,750.0,0.0
NNE,NNE,39,43,0.040026,530.03,0.0
NNE,NNE,40,43,0.02314,530.03,0.0
SENE,SENE,42,167,0.049342,530.03,0.0
Maine,Maine,44,55,0.027027,229.46,0.0
Maine,Maine,44,206,0.0175,400.0,0.0
Maine,Maine,45,52,0.008362,652.53,0.0
Maine,Maine,45,212,0.009761,652.53,0.0
Maine,Maine,46,47,0.106284,212.01,0.0
Maine,Maine,46,207,0.017778,450.0,0.0
Maine,Maine,47,63,0.089565,107.32,0.0
Maine,Maine,48,150,0.024436,530.03,0.0
Maine,Maine,49,65,0.037712,474.7,0.0
Maine,Maine,49,208,0.04,200.0,0.0
Maine,Maine,49,209,0.06,200.0,0.0
Maine,Maine,50,65,0.037515,237.35,0.0
Maine,Maine,50,210,0.12,100.0,0.0
Maine,Maine,51,68,0.037344,283.0,0.0
Maine,Maine,51,72,0.007194,304.04,0.0
Maine,Maine,53,57,0.059124,261.01,0.0
Maine,Maine,53,73,0.033438,261.01,0.0
Maine,Maine,53,211,0.018462,650.0,0.0
Maine,Maine,55,61,0.120369,229.46,0.0
Maine,Maine,55,212,0.046667,150.0,0.0
Maine,Maine,57,60,0.042258,107.32,0.0
Maine,Maine,58,62,0.014851,530.03,0.0
Maine,Maine,58,66,0.010038,530.03,0.0
Maine,Maine,59,213,0.006172,530.03,0.0
Maine,Maine,60,63,0.040671,107.32,0.0
Maine,Maine,60,64,0.040347,237.35,0.0
Maine,Maine,61,143,0.016137,395.58,0.0
Maine,Maine,61,213,0.023333,300.0,0.0
Maine,Maine,63,75,0.046454,261.01,0.0
Maine,Maine,64,214,0.017143,700.0,0.0
Maine,Maine,66,71,0.008811,530.03,0.0
Maine,Maine,67,68,0.026509,283.0,0.0
Maine,Maine,68,215,0.017143,700.0,0.0
Maine,Maine,69,247,0.020317,530.03,0.0
Maine,NNE,71,76,0.009863,530.03,0.0
Maine,Maine,72,73,0.004586,424.03,0.0
Maine,Maine,74,216,0.004357,530.03,0.0
Maine,Maine,75,216,0.03,400.0,0.0
NNE,NNE,76,238,0.047034,868.25,0.0
SENE,SENE,77,84,0.069744,304.04,0.0
SENE,SENE,77,89,0.099621,212.01,0.0
SENE,SENE,77,217,0.16,250.0,0.0
SENE,SENE,77,218,0.12,100.0,0.0
SENE,SENE,78,79,0.097781,511.35,0.0
SENE,SENE,78,167,0.038942,530.03,0.0
SENE,SENE,79,87,0.052075,530.03,0.0
SENE,SENE,80,81,0.042908,530.03,0.0
SENE,SENE,80,87,0.071801,696.37,0.0
SENE,SENE,81,82,0.053845,530.03,0.0
SENE,SENE,82,83,0.053138,530.03,0.0
SENE,SENE,83,219,0.034736,530.03,0.0
SENE,SENE,84,219,0.011429,1050.0,0.0
SENE,SENE,85,154,0.084819,289.22,0.0
SENE,SENE,86,88,0.145633,137.68,0.0
SENE,SENE,86,169,0.12958,187.39,0.0
SENE,SENE,86,220,0.032,250.0,0.0
SENE,SENE,88,221,0.24,50.0,0.0
ROP,ROP,92,115,0.010634,530.03,0.0
ROP,ROP,93,101,0.00796,530.03,0.0
ROP,ROP,93,148,0.003478,530.03,0.0
ROP,ROP,93,222,0.009099,530.03,0.0
ROP,ROP,94,95,0.044873,124.05,0.0
ROP,ROP,94,102,0.029756,237.35,0.0
ROP,ROP,94,103,0.026199,712.05,0.0
ROP,ROP,95,96,0.041149,107.32,0.0
ROP,ROP,95,222,0.06,200.0,0.0
ROP,ROP,96,223,0.034286,350.0,0.0
ROP,ROP,98,146,0.007545,593.37,0.0
ROP,ROP,98,249,0.006678,812.08,0.0
ROP,ROP,99,138,0.006265,530.03,0.0
ROP,ROP,99,230,0.004982,530.03,0.0
Maine,Maine,100,140,0.029371,261.01,0.0
ROP,ROP,102,114,0.025865,250.0,0.0
ROP,ROP,103,224,0.026667,450.0,0.0
ROP,ROP,104,136,0.01067,157.52,0.0
ROP,ROP,104,225,0.053333,150.0,0.0
ROP,ROP,105,136,0.014401,283.0,0.0
ROP,ROP,106,109,0.063816,107.32,0.0
ROP,ROP,106,119,0.051907,107.32,0.0
ROP,ROP,106,226,0.06,200.0,0.0
ROP,ROP,107,119,0.036986,107.32,0.0
ROP,ROP,107,227,0.048,250.0,0.0
ROP,SENE,109,122,0.070386,107.32,0.0
ROP,ROP,109,228,0.026667,300.0,0.0
ROP,ROP,112,152,0.027984,107.32,0.0
ROP,ROP,112,229,0.02,400.0,0.0
ROP,ROP,113,152,0.024588,212.01,0.0
ROP,ROP,114,136,0.030289,250.0,0.0
ROP,ROP,114,230,0.048,250.0,0.0
SENE,SENE,116,120,0.02306,262.53,0.0
SENE,SENE,116,123,0.012815,206.75,0.0
SENE,SENE,117,122,0.044985,212.01,0.0
SENE,SENE,117,164,0.08087,250.0,0.0
SENE,SENE,117,231,0.024,500.0,0.0
ROP,ROP,118,119,0.01693,187.39,0.0
ROP,ROP,118,147,0.019367,347.3,0.0
ROP,ROP,119,232,0.08,100.0,0.0
ROP,ROP,119,233,0.06,200.0,0.0
SENE,SENE,120,121,0.010693,262.53,0.0
SENE,SENE,120,234,0.02,350.0,0.0
SENE,SENE,123,165,0.046024,506.73,0.0
NNE,NNE,124,127,0.029058,178.87,0.0
NNE,NNE,124,142,0.011776,262.53,0.0
NNE,NNE,125,129,0.052625,107.32,0.0
NNE,NNE,125,131,0.03939,173.53,0.0
NNE,NNE,125,235,0.08,100.0,0.0
NNE,NNE,125,236,0.026667,450.0,0.0
NNE,NNE,126,127,0.018468,178.87,0.0
NNE,SENE,127,163,0.047192,444.2688049646318,0.0
NNE,NNE,128,130,0.08824,107.32,0.0
NNE,Maine,128,145,0.092623,173.53,0.0
NNE,ROP,131,152,0.035197,250.0,0.0
NNE,NNE,131,237,0.032,250.0,0.0
NNE,NNE,132,133,0.029956,178.87,0.0
NNE,NNE,132,134,0.015659,206.75,0.0
NNE,NNE,132,142,0.022275,506.73,0.0
NNE,NNE,132,238,0.00875,800.0,0.0
NNE,NNE,135,151,0.006171,868.25,0.0
NNE,NNE,135,153,0.002803,760.09,0.0
NNE,Maine,135,177,0.00962145490264205,353.36,0.0
NNE,ROP,135,200,0.026499309835787487,530.03,0.0
NNE,Maine,135,202,0.04250909189696141,530.03,0.0
NNE,Maine,135,202,0.013772430923234682,300.0,0.0
NNE,Maine,135,245,0.021032021876805508,300.0,0.0
NNE,Maine,135,245,0.007244186975809843,530.03,0.0
NNE,ROP,135,249,0.012421971255997807,200.0,0.0
NNE,NNE,137,151,0.00571,530.03,0.0
Maine,Maine,140,171,0.050336,212.01,0.0
Maine,Maine,140,239,0.015,800.0,0.0
Maine,Maine,143,144,0.018373,435.02,0.0
Maine,Maine,145,149,0.090121,107.32,0.0
ROP,NNE,146,151,0.001832,1305.07,0.0
ROP,ROP,146,176,0.015408,530.03,0.0
ROP,ROP,147,152,0.040694,261.01,0.0
ROP,ROP,147,240,0.04,200.0,0.0
SENE,SENE,154,160,0.060072,312.32,0.0
SENE,SENE,154,241,0.069017,289.22,0.0
SENE,SENE,155,169,0.073917,676.43,0.0
SENE,SENE,156,244,0.024148,530.03,0.0
SENE,SENE,156,246,0.010954,593.37,0.0
