PlantCode,PlantName,SourceTechnology,State,LoadZone,Latitude,Longitude,Pmax (MW),Pmin (MW),Zone,Bus_id,Type,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW),RM_REG_UP,RM_REG_DN,RM_NSPIN
566,Millstone,Nuclear,CT,CT,41.3107,-72.1677,915.683,0.0,ROP,19,NuC,1,0,0,0,12.0,0.0,0.95,0.95,0.06,0.1,0.12,0.12,1,24,24,4.0,0.05,0.05,0.075
566,Millstone,Nuclear,CT,CT,41.3107,-72.1677,477.209,0.0,ROP,99,NuC,1,0,0,0,12.0,0.0,0.95,0.95,0.06,0.1,0.12,0.12,1,24,24,4.0,0.05,0.05,0.075
566,Millstone,Nuclear,CT,CT,41.3107,-72.1677,393.168,0.0,ROP,230,NuC,1,0,0,0,12.0,0.0,0.95,0.95,0.06,0.1,0.12,0.12,1,24,24,4.0,0.05,0.05,0.075
566,Millstone,Nuclear,CT,CT,41.3107,-72.1677,318.14,0.0,ROP,115,NuC,1,0,0,0,12.0,0.0,0.95,0.95,0.06,0.1,0.12,0.12,1,24,24,4.0,0.05,0.05,0.075
1599,Canal,Petroleum Liquids,MA,SEMA,41.7694,-70.5097,575.019,0.0,SENE,219,Oil,1,0,0,0,92.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1,1,10.0,0.04,0.04,0.06
1599,Canal,Petroleum Liquids,MA,SEMA,41.7694,-70.5097,296.938,0.0,SENE,84,Oil,1,0,0,0,92.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1,1,10.0,0.04,0.04,0.06
1599,Canal,Petroleum Liquids,MA,SEMA,41.7694,-70.5097,288.422,0.0,SENE,26,Oil,1,0,0,0,92.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1,1,10.0,0.04,0.04,0.06
1599,Canal,Petroleum Liquids,MA,SEMA,41.7694,-70.5097,288.422,0.0,SENE,167,Oil,1,0,0,0,92.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1,1,10.0,0.04,0.04,0.06
6115,Seabrook,Nuclear,NH,NH,42.899167,-70.848889,1250.0,0.0,NNE,135,NuC,1,0,0,0,12.0,0.0,0.95,0.95,0.06,0.1,0.12,0.12,1,24,24,4.0,0.05,0.05,0.075
55149,Lake Road Generating Plant,Natural Gas Fired Combined Cycle,CT,CT,41.872043,-71.895799,828.8,0.0,ROP,97,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
