Time Period,Month,Day,Hours,Maine,NNE,ROP,SENE,NI
1,7,1,1,0.517141,0.549629,0.525821,0.472782,4387.0
1,7,1,2,0.481234,0.509995,0.48621,0.438181,3461.0
1,7,1,3,0.455233,0.482601,0.456524,0.415431,2876.0
1,7,1,4,0.445327,0.465698,0.435108,0.398289,3088.0
1,7,1,5,0.444089,0.454041,0.421963,0.387495,3215.0
1,7,1,6,0.443676,0.457247,0.422398,0.387284,3283.0
1,7,1,7,0.460185,0.479104,0.436849,0.400511,3482.0
1,7,1,8,0.501045,0.513492,0.472281,0.427282,4002.0
1,7,1,9,0.519205,0.540886,0.507104,0.456804,4229.0
1,7,1,10,0.522506,0.540886,0.526779,0.473417,4334.0
1,7,1,11,0.514665,0.531269,0.536355,0.479237,4279.0
1,7,1,12,0.524983,0.5336,0.549936,0.487173,4209.0
1,7,1,13,0.536126,0.544092,0.565171,0.502199,4188.0
1,7,1,14,0.552222,0.54176,0.578577,0.513839,4364.0
1,7,1,15,0.562541,0.537972,0.58885,0.523468,4350.0
1,7,1,16,0.574097,0.536806,0.592419,0.532039,4160.0
1,7,1,17,0.579875,0.547297,0.59625,0.546641,3714.0
1,7,1,18,0.595558,0.577314,0.626981,0.547488,3680.0
1,7,1,19,0.634354,0.625108,0.645088,0.572989,4176.0
1,7,1,20,0.651689,0.659788,0.649615,0.590766,4548.0
1,7,1,21,0.641783,0.660371,0.639604,0.583571,4738.0
1,7,1,22,0.624862,0.642594,0.616186,0.565794,4130.0
1,7,1,23,0.599686,0.613451,0.592245,0.544102,3532.0
1,7,1,24,0.539841,0.558372,0.546105,0.498919,3464.0
1,7,2,25,0.487838,0.504749,0.497179,0.452043,3252.0
1,7,2,26,0.45482,0.46599,0.454086,0.41596,3436.0
1,7,2,27,0.43212,0.44151,0.423269,0.391199,2914.0
1,7,2,28,0.420564,0.426356,0.402897,0.372575,2644.0
1,7,2,29,0.422628,0.419362,0.391841,0.363264,2810.0
1,7,2,30,0.424279,0.424316,0.392015,0.364004,2793.0
1,7,2,31,0.438311,0.442967,0.406118,0.374586,2696.0
1,7,2,32,0.476282,0.477938,0.439287,0.401357,3302.0
1,7,2,33,0.500219,0.501835,0.473587,0.428023,3738.0
1,7,2,34,0.50641,0.499504,0.494916,0.443048,3936.0
1,7,2,35,0.505172,0.492509,0.507887,0.448974,4167.0
1,7,2,36,0.519205,0.494841,0.522165,0.456593,4262.0
1,7,2,37,0.529523,0.504458,0.538357,0.471089,4471.0
1,7,2,38,0.544381,0.518738,0.557597,0.484951,4407.0
1,7,2,39,0.558001,0.539138,0.582234,0.509289,4283.0
1,7,2,40,0.574509,0.557206,0.60748,0.535531,4024.0
1,7,2,41,0.598447,0.584017,0.63438,0.565265,4133.0
1,7,2,42,0.630227,0.626274,0.664067,0.596692,4863.0
1,7,2,43,0.658705,0.677856,0.682958,0.625051,4805.0
1,7,2,44,0.674801,0.709039,0.675558,0.633833,4552.0
1,7,2,45,0.666547,0.70117,0.656232,0.619125,4868.0
1,7,2,46,0.648799,0.674942,0.629418,0.584841,5052.0
1,7,2,47,0.619083,0.644342,0.598339,0.550133,4465.0
1,7,2,48,0.56089,0.58868,0.548891,0.507278,3684.0
1,7,3,49,0.503934,0.530686,0.498834,0.458286,3809.0
1,7,3,50,0.467614,0.489012,0.455915,0.420192,3628.0
1,7,3,51,0.443676,0.459578,0.425967,0.394797,3230.0
1,7,3,52,0.427993,0.44151,0.407076,0.375644,3108.0
1,7,3,53,0.425929,0.432184,0.396368,0.366756,2927.0
1,7,3,54,0.427168,0.435681,0.396977,0.36739,2953.0
1,7,3,55,0.444915,0.454915,0.410297,0.377549,2687.0
1,7,3,56,0.482885,0.487264,0.446948,0.404637,3736.0
1,7,3,57,0.514252,0.515823,0.48325,0.434795,4137.0
1,7,3,58,0.530761,0.530978,0.509454,0.453736,4505.0
1,7,3,59,0.541904,0.528355,0.527388,0.468021,4668.0
1,7,3,60,0.549746,0.526606,0.541752,0.481353,4544.0
1,7,3,61,0.556762,0.552252,0.559947,0.496485,4465.0
1,7,3,62,0.56708,0.571194,0.575617,0.514156,4757.0
1,7,3,63,0.574509,0.585766,0.595814,0.535319,4797.0
1,7,3,64,0.582351,0.585183,0.611136,0.557117,4750.0
1,7,3,65,0.602575,0.602085,0.631943,0.580608,4423.0
1,7,3,66,0.625274,0.636182,0.662064,0.606639,4736.0
1,7,3,67,0.64137,0.682228,0.671815,0.618702,4973.0
1,7,3,68,0.650863,0.697965,0.655883,0.618807,4682.0
1,7,3,69,0.63518,0.685433,0.637427,0.599972,4906.0
1,7,3,70,0.615369,0.666782,0.60748,0.570979,4775.0
1,7,3,71,0.590193,0.641137,0.577881,0.541351,3904.0
1,7,3,72,0.545619,0.59684,0.536355,0.499765,3332.0
1,7,4,73,0.499807,0.547589,0.492827,0.459026,3580.0
1,7,4,74,0.461011,0.504749,0.455218,0.421462,3508.0
1,7,4,75,0.437898,0.477938,0.42884,0.396172,3535.0
1,7,4,76,0.423453,0.458121,0.41169,0.379348,2988.0
1,7,4,77,0.419326,0.447921,0.402288,0.370882,2833.0
1,7,4,78,0.416024,0.447047,0.40194,0.36993,2929.0
1,7,4,79,0.421389,0.451127,0.40786,0.372681,2888.0
1,7,4,80,0.442851,0.461618,0.422746,0.38358,3311.0
1,7,4,81,0.465963,0.47823,0.44216,0.398923,3731.0
1,7,4,82,0.49733,0.481435,0.460006,0.417759,3918.0
1,7,4,83,0.518379,0.476481,0.468625,0.43289,3629.0
1,7,4,84,0.495267,0.484349,0.489954,0.445059,3467.0
1,7,4,85,0.498569,0.521069,0.530522,0.472042,3636.0
1,7,4,86,0.501458,0.544383,0.572135,0.49585,3592.0
1,7,4,87,0.503521,0.56624,0.603911,0.518706,4248.0
1,7,4,88,0.501458,0.583726,0.624717,0.544631,4019.0
1,7,4,89,0.529935,0.615491,0.638124,0.565582,4056.0
1,7,4,90,0.569144,0.658913,0.636209,0.567805,4556.0
1,7,4,91,0.602987,0.705542,0.644392,0.575317,4260.0
1,7,4,92,0.61702,0.721279,0.637863,0.567064,4100.0
1,7,4,93,0.609178,0.71545,0.625675,0.556482,4214.0
1,7,4,94,0.590606,0.704084,0.616969,0.550451,4203.0
1,7,4,95,0.569144,0.682228,0.600167,0.535319,3779.0
1,7,4,96,0.543143,0.657748,0.574311,0.513733,3375.0
1,7,5,97,0.504759,0.611703,0.541926,0.483893,3220.0
1,7,5,98,0.468853,0.569737,0.510934,0.455535,2937.0
1,7,5,99,0.449042,0.540303,0.486036,0.433102,2674.0
1,7,5,100,0.43666,0.522526,0.469408,0.419134,2530.0
1,7,5,101,0.435009,0.512326,0.462096,0.412468,2583.0
1,7,5,102,0.438724,0.514075,0.464098,0.415431,2540.0
1,7,5,103,0.451518,0.525149,0.4809,0.428128,2683.0
1,7,5,104,0.477107,0.54788,0.509803,0.449609,3277.0
1,7,5,105,0.505585,0.578189,0.537051,0.477227,3605.0
1,7,5,106,0.533237,0.607623,0.564213,0.508125,4101.0
1,7,5,107,0.552222,0.615491,0.592245,0.531087,4383.0
1,7,5,108,0.562953,0.625982,0.618623,0.556376,4495.0
1,7,5,109,0.569557,0.635891,0.637253,0.572355,4431.0
1,7,5,110,0.578224,0.660953,0.65301,0.581666,4731.0
1,7,5,111,0.590606,0.69505,0.682174,0.597433,4986.0
1,7,5,112,0.607115,0.722736,0.719609,0.621241,5097.0
1,7,5,113,0.637656,0.749547,0.750601,0.651081,4946.0
1,7,5,114,0.670674,0.790638,0.77576,0.666213,4470.0
1,7,5,115,0.688834,0.813078,0.787687,0.677747,4979.0
1,7,5,116,0.694612,0.807249,0.768883,0.666848,4936.0
1,7,5,117,0.683881,0.797049,0.744768,0.650658,5411.0
1,7,5,118,0.670261,0.785684,0.718651,0.636796,5301.0
1,7,5,119,0.647561,0.759164,0.686266,0.614046,4777.0
1,7,5,120,0.602575,0.712244,0.641606,0.578174,4890.0
