Time Period,Month,Day,Hours,Maine,NNE,ROP,SENE
1,7,1,1,0.0,0.0,0.0,0.0
1,7,1,2,0.0,0.0,0.0,0.0
1,7,1,3,0.0,0.0,0.0,0.0
1,7,1,4,0.0,0.0,0.0,0.0
1,7,1,5,0.0,0.0,0.0,0.0
1,7,1,6,0.0,0.0,0.0,0.0
1,7,1,7,0.013576,0.012602,0.013875,0.013491
1,7,1,8,0.12923,0.122164,0.133175,0.13145
1,7,1,9,0.360205,0.34353,0.372518,0.370567
1,7,1,10,0.563464,0.539497,0.583198,0.582609
1,7,1,11,0.736233,0.705951,0.761763,0.762685
1,7,1,12,0.833698,0.799729,0.862238,0.86239
1,7,1,13,0.816947,0.78366,0.844913,0.845571
1,7,1,14,0.751706,0.720787,0.777772,0.778714
1,7,1,15,0.701746,0.671896,0.726322,0.725589
1,7,1,16,0.72171,0.688299,0.74638,0.742472
1,7,1,17,0.705493,0.666917,0.726894,0.717609
1,7,1,18,0.642141,0.596076,0.653976,0.638107
1,7,1,19,0.574306,0.512754,0.569507,0.543242
1,7,1,20,0.433277,0.305271,0.0,0.0
1,7,1,21,0.0,0.0,0.0,0.0
1,7,1,22,0.0,0.0,0.0,0.0
1,7,1,23,0.0,0.0,0.0,0.0
1,7,1,24,0.0,0.0,0.0,0.0
1,7,2,25,0.0,0.0,0.0,0.0
1,7,2,26,0.0,0.0,0.0,0.0
1,7,2,27,0.0,0.0,0.0,0.0
1,7,2,28,0.0,0.0,0.0,0.0
1,7,2,29,0.003851,0.002714,0.0,0.0
1,7,2,30,0.002893,0.002583,0.002919,0.002737
1,7,2,31,0.017649,0.016383,0.018037,0.017538
1,7,2,32,0.131868,0.124657,0.135893,0.134132
1,7,2,33,0.353703,0.337329,0.365793,0.363878
1,7,2,34,0.62679,0.600128,0.648741,0.648086
1,7,2,35,0.836805,0.802385,0.865822,0.86504
1,7,2,36,0.934588,0.909179,0.96391,0.967661
1,7,2,37,0.938425,0.915844,0.969113,0.973384
1,7,2,38,0.909877,0.872857,0.93231,0.935361
1,7,2,39,0.931618,0.904095,0.958654,0.962807
1,7,2,40,0.916386,0.876807,0.933425,0.936534
1,7,2,41,0.843954,0.797807,0.861135,0.855285
1,7,2,42,0.775185,0.719576,0.781795,0.76902
1,7,2,43,0.613364,0.547626,0.60572,0.580188
1,7,2,44,0.417872,0.294417,0.0,0.0
1,7,2,45,0.0,0.0,0.0,0.0
1,7,2,46,0.0,0.0,0.0,0.0
1,7,2,47,0.0,0.0,0.0,0.0
1,7,2,48,0.0,0.0,0.0,0.0
1,7,3,49,0.0,0.0,0.0,0.0
1,7,3,50,0.0,0.0,0.0,0.0
1,7,3,51,0.0,0.0,0.0,0.0
1,7,3,52,0.0,0.0,0.0,0.0
1,7,3,53,0.003851,0.002714,0.0,0.0
1,7,3,54,0.002893,0.002583,0.002919,0.002737
1,7,3,55,0.020364,0.018903,0.020812,0.020236
1,7,3,56,0.130549,0.123411,0.134534,0.132791
1,7,3,57,0.369308,0.352211,0.381931,0.379932
1,7,3,58,0.594481,0.569194,0.615301,0.614679
1,7,3,59,0.78523,0.752932,0.812458,0.812928
1,7,3,60,0.898126,0.861532,0.922677,0.924617
1,7,3,61,0.927476,0.896142,0.952347,0.956895
1,7,3,62,0.924234,0.890165,0.947091,0.951363
1,7,3,63,0.923815,0.889674,0.94604,0.950253
1,7,3,64,0.923774,0.890449,0.944989,0.949143
1,7,3,65,0.882195,0.833958,0.893309,0.890854
1,7,3,66,0.742603,0.689331,0.750492,0.737418
1,7,3,67,0.593112,0.529544,0.586943,0.561031
1,7,3,68,0.431351,0.303914,0.0,0.0
1,7,3,69,0.0,0.0,0.0,0.0
1,7,3,70,0.0,0.0,0.0,0.0
1,7,3,71,0.0,0.0,0.0,0.0
1,7,3,72,0.0,0.0,0.0,0.0
1,7,4,73,0.0,0.0,0.0,0.0
1,7,4,74,0.0,0.0,0.0,0.0
1,7,4,75,0.0,0.0,0.0,0.0
1,7,4,76,0.0,0.0,0.0,0.0
1,7,4,77,0.003851,0.002714,0.0,0.0
1,7,4,78,0.002893,0.002583,0.002919,0.002737
1,7,4,79,0.00543,0.005041,0.00555,0.005396
1,7,4,80,0.046154,0.04363,0.047563,0.046946
1,7,4,81,0.146943,0.14014,0.151966,0.15117
1,7,4,82,0.28044,0.268511,0.290261,0.289968
1,7,4,83,0.424204,0.406756,0.438914,0.439446
1,7,4,84,0.639125,0.613084,0.661005,0.662434
1,7,4,85,0.685514,0.657582,0.708981,0.710514
1,7,4,86,0.798123,0.765295,0.825799,0.826069
1,7,4,87,0.807718,0.773361,0.836006,0.834211
1,7,4,88,0.710007,0.677138,0.734277,0.730432
1,7,4,89,0.627691,0.593369,0.646851,0.63847
1,7,4,90,0.502309,0.466275,0.513363,0.499153
1,7,4,91,0.400712,0.357765,0.404329,0.379038
1,7,4,92,0.327365,0.230649,0.0,0.0
1,7,4,93,0.0,0.0,0.0,0.0
1,7,4,94,0.0,0.0,0.0,0.0
1,7,4,95,0.0,0.0,0.0,0.0
1,7,4,96,0.0,0.0,0.0,0.0
1,7,5,97,0.0,0.0,0.0,0.0
1,7,5,98,0.0,0.0,0.0,0.0
1,7,5,99,0.0,0.0,0.0,0.0
1,7,5,100,0.0,0.0,0.0,0.0
1,7,5,101,0.003851,0.002714,0.0,0.0
1,7,5,102,0.002893,0.002583,0.002919,0.002737
1,7,5,103,0.004073,0.003781,0.004162,0.004047
1,7,5,104,0.01978,0.018699,0.020384,0.02012
1,7,5,105,0.089726,0.085572,0.092793,0.092307
1,7,5,106,0.215822,0.206642,0.223381,0.223155
1,7,5,107,0.299135,0.286831,0.309508,0.309883
1,7,5,108,0.394299,0.378234,0.407797,0.408679
1,7,5,109,0.505115,0.484534,0.522407,0.523536
1,7,5,110,0.626636,0.600862,0.648366,0.649151
1,7,5,111,0.706915,0.676845,0.731673,0.730934
1,7,5,112,0.729512,0.695741,0.754449,0.750499
1,7,5,113,0.625053,0.590876,0.644133,0.635788
1,7,5,114,0.564759,0.524244,0.577186,0.56121
1,7,5,115,0.374673,0.334517,0.378055,0.354407
1,7,5,116,0.21375,0.1506,0.0,0.0
1,7,5,117,0.0,0.0,0.0,0.0
1,7,5,118,0.0,0.0,0.0,0.0
1,7,5,119,0.0,0.0,0.0,0.0
1,7,5,120,0.0,0.0,0.0,0.0
1,7,6,121,0.0,0.0,0.0,0.0
1,7,6,122,0.0,0.0,0.0,0.0
1,7,6,123,0.0,0.0,0.0,0.0
1,7,6,124,0.0,0.0,0.0,0.0
1,7,6,125,0.003851,0.002714,0.0,0.0
1,7,6,126,0.002893,0.002583,0.002919,0.002737
1,7,6,127,0.004073,0.003781,0.004162,0.004047
1,7,6,128,0.014505,0.013712,0.014948,0.014755
1,7,6,129,0.03511,0.033485,0.03631,0.03612
1,7,6,130,0.068495,0.065581,0.070893,0.070822
1,7,6,131,0.136674,0.131052,0.141413,0.141584
1,7,6,132,0.222921,0.213838,0.230552,0.23105
1,7,6,133,0.320851,0.307778,0.331835,0.332552
1,7,6,134,0.470622,0.451264,0.486941,0.487531
1,7,6,135,0.482046,0.461542,0.498929,0.498425
1,7,6,136,0.396615,0.378255,0.410173,0.408025
1,7,6,137,0.420658,0.397657,0.433499,0.427882
1,7,6,138,0.377411,0.350336,0.385716,0.375039
1,7,6,139,0.219885,0.196319,0.22187,0.207992
1,7,6,140,0.179088,0.126179,0.0,0.0
1,7,6,141,0.0,0.0,0.0,0.0
1,7,6,142,0.0,0.0,0.0,0.0
1,7,6,143,0.0,0.0,0.0,0.0
1,7,6,144,0.0,0.0,0.0,0.0
1,7,7,145,0.0,0.0,0.0,0.0
1,7,7,146,0.0,0.0,0.0,0.0
1,7,7,147,0.0,0.0,0.0,0.0
1,7,7,148,0.0,0.0,0.0,0.0
1,7,7,149,0.003851,0.002714,0.0,0.0
1,7,7,150,0.002893,0.002583,0.002919,0.002737
1,7,7,151,0.008146,0.007561,0.008325,0.008094
1,7,7,152,0.056703,0.053603,0.058434,0.057677
1,7,7,153,0.176851,0.168664,0.182897,0.181939
1,7,7,154,0.382535,0.366264,0.395933,0.395533
1,7,7,155,0.584087,0.560062,0.604341,0.605073
1,7,7,156,0.711285,0.682304,0.735634,0.737225
1,7,7,157,0.743499,0.713205,0.768951,0.770613
1,7,7,158,0.729786,0.699769,0.755093,0.756007
1,7,7,159,0.74827,0.716441,0.774476,0.773694
1,7,7,160,0.743817,0.709382,0.769242,0.765214
1,7,7,161,0.760877,0.719273,0.781049,0.773525
1,7,7,162,0.678796,0.630101,0.689192,0.674531
1,7,7,163,0.541034,0.483047,0.53866,0.51177
1,7,7,164,0.417872,0.294417,0.0,0.0
1,7,7,165,0.0,0.0,0.0,0.0
1,7,7,166,0.0,0.0,0.0,0.0
1,7,7,167,0.0,0.0,0.0,0.0
1,7,7,168,0.0,0.0,0.0,0.0
1,7,8,169,0.0,0.0,0.0,0.0
1,7,8,170,0.0,0.0,0.0,0.0
1,7,8,171,0.0,0.0,0.0,0.0
1,7,8,172,0.0,0.0,0.0,0.0
1,7,8,173,0.003851,0.002714,0.0,0.0
1,7,8,174,0.002893,0.002583,0.002919,0.002737
1,7,8,175,0.010861,0.010082,0.0111,0.010793
1,7,8,176,0.084395,0.079781,0.086972,0.085845
1,7,8,177,0.293886,0.28028,0.303931,0.30234
1,7,8,178,0.546664,0.523411,0.565809,0.565238
1,7,8,179,0.738812,0.708423,0.764431,0.765357
1,7,8,180,0.881375,0.845463,0.908358,0.909005
1,7,8,181,0.919487,0.883781,0.941835,0.945796
1,7,8,182,0.903852,0.866675,0.926967,0.929414
1,7,8,183,0.876213,0.838942,0.901906,0.901763
1,7,8,184,0.82444,0.786274,0.850236,0.846482
1,7,8,185,0.781976,0.739218,0.80168,0.794623
1,7,8,186,0.734458,0.68177,0.742667,0.729468
1,7,8,187,0.548267,0.489505,0.545366,0.518611
1,7,8,188,0.379358,0.267282,0.0,0.0
1,7,8,189,0.0,0.0,0.0,0.0
1,7,8,190,0.0,0.0,0.0,0.0
1,7,8,191,0.0,0.0,0.0,0.0
1,7,8,192,0.0,0.0,0.0,0.0
1,7,9,193,0.0,0.0,0.0,0.0
1,7,9,194,0.0,0.0,0.0,0.0
1,7,9,195,0.0,0.0,0.0,0.0
1,7,9,196,0.0,0.0,0.0,0.0
1,7,9,197,0.0,0.0,0.0,0.0
1,7,9,198,0.0,0.0,0.0,0.0
1,7,9,199,0.008146,0.007561,0.008325,0.008094
1,7,9,200,0.101538,0.095986,0.104638,0.103282
1,7,9,201,0.244471,0.233154,0.252828,0.251504
1,7,9,202,0.45103,0.431845,0.466826,0.466354
1,7,9,203,0.566036,0.542754,0.585664,0.586373
1,7,9,204,0.650723,0.624209,0.672999,0.674454
1,7,9,205,0.716439,0.687248,0.740965,0.742567
1,7,9,206,0.832936,0.798676,0.86182,0.861158
1,7,9,207,0.832273,0.796871,0.861169,0.858801
1,7,9,208,0.683999,0.652334,0.70738,0.703676
1,7,9,209,0.622416,0.588383,0.641416,0.633105
1,7,9,210,0.55254,0.512903,0.564699,0.549068
1,7,9,211,0.318255,0.284146,0.321128,0.301041
1,7,9,212,0.192568,0.135676,0.0,0.0
1,7,9,213,0.0,0.0,0.0,0.0
1,7,9,214,0.0,0.0,0.0,0.0
1,7,9,215,0.0,0.0,0.0,0.0
1,7,9,216,0.0,0.0,0.0,0.0
1,7,10,217,0.0,0.0,0.0,0.0
1,7,10,218,0.0,0.0,0.0,0.0
1,7,10,219,0.0,0.0,0.0,0.0
1,7,10,220,0.0,0.0,0.0,0.0
1,7,10,221,0.0,0.0,0.0,0.0
1,7,10,222,0.0,0.0,0.0,0.0
1,7,10,223,0.001358,0.00126,0.001387,0.001349
1,7,10,224,0.036923,0.034904,0.03805,0.037557
1,7,10,225,0.143042,0.13642,0.147931,0.147157
1,7,10,226,0.301117,0.288309,0.311663,0.311348
1,7,10,227,0.501567,0.480937,0.518959,0.519588
1,7,10,228,0.615931,0.590835,0.637017,0.638394
1,7,10,229,0.681648,0.653874,0.704983,0.706507
1,7,10,230,0.630505,0.604571,0.652368,0.653158
1,7,10,231,0.650052,0.622401,0.672818,0.672138
1,7,10,232,0.615079,0.586605,0.636104,0.632773
1,7,10,233,0.543295,0.513588,0.55988,0.552626
1,7,10,234,0.415423,0.385622,0.424565,0.412813
1,7,10,235,0.280643,0.250565,0.283177,0.265463
1,7,10,236,0.175237,0.123465,0.0,0.0
1,7,10,237,0.0,0.0,0.0,0.0
1,7,10,238,0.0,0.0,0.0,0.0
1,7,10,239,0.0,0.0,0.0,0.0
1,7,10,240,0.0,0.0,0.0,0.0
1,7,11,241,0.0,0.0,0.0,0.0
1,7,11,242,0.0,0.0,0.0,0.0
1,7,11,243,0.0,0.0,0.0,0.0
1,7,11,244,0.0,0.0,0.0,0.0
1,7,11,245,0.0,0.0,0.0,0.0
1,7,11,246,0.0,0.0,0.0,0.0
1,7,11,247,0.0,0.0,0.0,0.0
1,7,11,248,0.011868,0.011219,0.01223,0.012072
1,7,11,249,0.03381,0.032245,0.034966,0.034782
1,7,11,250,0.099511,0.095278,0.102996,0.102892
1,7,11,251,0.205011,0.196578,0.21212,0.212377
1,7,11,252,0.327294,0.313959,0.338498,0.33923
