Zone,Bus_id,Type,Capacity (MWh),Max Power (MW),Charging efficiency,Discharging efficiency,Cost ($/MWh),EF,CC,Charging Rate,Discharging Rate
ROP,146,PHS,8760.0,1168.0,0.88,0.88,0.5,0.0,0.95,1.0,1.0
ROP,98,PHS,3028.0,666.0,0.84,0.84,0.5,0.0,0.95,1.0,1.0
ROP,112,PHS,235.2,29.4,0.85,0.85,0.5,0.0,0.95,1.0,1.0
SENE,26,BES,38.0,25.0,0.9,0.9,1.0,0.0,0.95,0.4,1.0
Maine,63,BES,10.9,16.2,0.9,0.9,1.0,0.0,0.95,1.0309,1.0
NNE,76,BES,14.0,14.0,0.9,0.9,1.0,0.0,0.95,1.0,1.0
Maine,210,BES,16.0,8.0,0.9,0.9,1.0,0.0,0.95,1.0,1.0
Maine,8,BES,16.0,8.0,0.9,0.9,1.0,0.0,0.95,1.0,1.0
SENE,42,BES,48.0,6.0,0.9,0.9,1.0,0.0,0.95,1.0,1.0
Maine,189,BES,10.0,5.0,0.9,0.9,1.0,0.0,0.95,0.8,1.0
Maine,189,BES,10.0,5.0,0.9,0.9,1.0,0.0,0.95,0.8,1.0
SENE,234,BES,10.0,5.0,0.9,0.9,1.0,0.0,0.95,1.0,1.0
SENE,219,BES,20.5,5.0,0.9,0.9,1.0,0.0,0.95,1.0,1.0
Maine,8,BES,10.0,4.9,0.9,0.9,1.0,0.0,0.95,1.0,1.0
Maine,211,BES,10.0,4.9,0.9,0.9,1.0,0.0,0.95,1.0,1.0
SENE,234,BES,20.2,4.5,0.9,0.9,1.0,0.0,0.95,1.0,1.0
SENE,219,BES,13.4,4.5,0.9,0.9,1.0,0.0,0.95,1.0,1.0
ROP,250,BES,14.0,4.3,0.9,0.9,1.0,0.0,0.95,1.0,1.0
ROP,24,BES,8.0,4.0,0.9,0.9,1.0,0.0,0.95,1.0,1.0
ROP,24,BES,8.0,4.0,0.9,0.9,1.0,0.0,0.95,1.0,1.0
ROP,24,BES,8.0,4.0,0.9,0.9,1.0,0.0,0.95,1.0,1.0
ROP,249,BES,7.9,3.9,0.9,0.9,1.0,0.0,0.95,1.0,1.0
ROP,24,BES,7.9,3.8,0.9,0.9,1.0,0.0,0.95,1.0,1.0
ROP,24,BES,12.8,3.8,0.9,0.9,1.0,0.0,0.95,1.0,1.0
