Time Period,Month,Day,Hours,Maine,NNE,ROP,SENE
1,7,1,1,0.849787,0.666141,0.507767,0.577964
1,7,1,2,0.839855,0.659695,0.504,0.573974
1,7,1,3,0.866753,0.68831,0.527493,0.601569
1,7,1,4,0.876014,0.723884,0.556811,0.63638
1,7,1,5,0.88,0.845366,0.653425,0.748876
1,7,1,6,0.88,0.801309,0.621477,0.714547
1,7,1,7,0.88,0.8511,0.663897,0.765945
1,7,1,8,0.863898,0.690804,0.539925,0.625071
1,7,1,9,0.62332,0.497529,0.390051,0.453039
1,7,1,10,0.487484,0.389397,0.30596,0.356389
1,7,1,11,0.470511,0.375852,0.295683,0.34521
1,7,1,12,0.593017,0.473376,0.372458,0.43552
1,7,1,13,0.747659,0.59597,0.468448,0.548141
1,7,1,14,0.797972,0.634773,0.497899,0.582461
1,7,1,15,0.711386,0.564463,0.441386,0.515735
1,7,1,16,0.632956,0.500809,0.390103,0.454868
1,7,1,17,0.669391,0.528091,0.409567,0.476211
1,7,1,18,0.684314,0.538362,0.415649,0.481645
1,7,1,19,0.708865,0.556318,0.427648,0.49372
1,7,1,20,0.609536,0.477446,0.365611,0.420527
1,7,1,21,0.498921,0.390305,0.297969,0.341536
1,7,1,22,0.585417,0.457717,0.348711,0.398517
1,7,1,23,0.761766,0.595709,0.453405,0.51701
1,7,1,24,0.870584,0.692532,0.527201,0.600339
1,7,2,25,0.88,0.794946,0.60533,0.690161
1,7,2,26,0.88,0.826662,0.630918,0.719708
1,7,2,27,0.88,0.849976,0.652494,0.745361
1,7,2,28,0.88,0.819563,0.629766,0.720957
1,7,2,29,0.88,0.795949,0.614115,0.704993
1,7,2,30,0.851384,0.673416,0.521755,0.600888
1,7,2,31,0.709893,0.562822,0.437839,0.505978
1,7,2,32,0.64362,0.511269,0.399196,0.462917
1,7,2,33,0.517915,0.411989,0.322662,0.37539
1,7,2,34,0.262222,0.208748,0.163852,0.191176
1,7,2,35,0.11514,0.091663,0.072038,0.084244
1,7,2,36,0.086993,0.069206,0.054397,0.063712
1,7,2,37,0.072875,0.057892,0.045458,0.05328
1,7,2,38,0.080067,0.063475,0.049737,0.058281
1,7,2,39,0.081688,0.064596,0.05046,0.059058
1,7,2,40,0.058847,0.046403,0.036109,0.042173
1,7,2,41,0.066578,0.052345,0.040556,0.047233
1,7,2,42,0.057336,0.044954,0.034672,0.040244
1,7,2,43,0.040417,0.031611,0.024275,0.028072
1,7,2,44,0.021357,0.02,0.02,0.02
1,7,2,45,0.02,0.02,0.02,0.02
1,7,2,46,0.023776,0.02,0.02,0.02
1,7,2,47,0.04403,0.034315,0.026091,0.0298
1,7,2,48,0.07271,0.056717,0.043132,0.049198
1,7,3,49,0.088229,0.068494,0.052028,0.05955
1,7,3,50,0.092851,0.072228,0.05499,0.062972
1,7,3,51,0.115922,0.090393,0.069033,0.079164
1,7,3,52,0.203003,0.158713,0.121659,0.139816
1,7,3,53,0.22329,0.175048,0.134727,0.155265
1,7,3,54,0.21202,0.166647,0.1288,0.14891
1,7,3,55,0.181997,0.143385,0.111271,0.129087
1,7,3,56,0.135864,0.107247,0.083533,0.097243
1,7,3,57,0.082342,0.065089,0.050852,0.059391
1,7,3,58,0.059633,0.047174,0.036937,0.043264
1,7,3,59,0.057059,0.045139,0.035388,0.041545
1,7,3,60,0.109146,0.086283,0.067654,0.079548
1,7,3,61,0.261023,0.206053,0.161403,0.189908
1,7,3,62,0.41323,0.325538,0.254459,0.299327
1,7,3,63,0.532457,0.418401,0.326039,0.383072
1,7,3,64,0.669864,0.524884,0.407439,0.477718
1,7,3,65,0.828512,0.6473,0.50028,0.584913
1,7,3,66,0.877508,0.716103,0.550958,0.641982
1,7,3,67,0.88,0.788748,0.604217,0.70144
1,7,3,68,0.88,0.7638,0.582861,0.67413
1,7,3,69,0.88,0.799525,0.608258,0.701066
1,7,3,70,0.88,0.853496,0.651725,0.748948
1,7,3,71,0.88,0.88,0.72419,0.830368
1,7,3,72,0.88,0.88,0.757968,0.866871
1,7,4,73,0.88,0.88,0.783916,0.873129
1,7,4,74,0.88,0.88,0.787942,0.874141
1,7,4,75,0.88,0.88,0.874745,0.88
1,7,4,76,0.88,0.88,0.877711,0.88
1,7,4,77,0.88,0.88,0.830068,0.88
1,7,4,78,0.88,0.876345,0.712283,0.824613
1,7,4,79,0.88,0.838769,0.650331,0.75548
1,7,4,80,0.88,0.750859,0.584311,0.681133
1,7,4,81,0.865145,0.685762,0.535285,0.626022
1,7,4,82,0.753223,0.594953,0.465439,0.545901
1,7,4,83,0.617576,0.487824,0.382104,0.449188
1,7,4,84,0.519196,0.409822,0.321052,0.378004
1,7,4,85,0.487109,0.383947,0.300481,0.354028
1,7,4,86,0.410785,0.323124,0.252349,0.297246
1,7,4,87,0.314433,0.246707,0.192075,0.22598
1,7,4,88,0.359651,0.281386,0.218231,0.25622
1,7,4,89,0.372275,0.290413,0.224253,0.262545
1,7,4,90,0.364085,0.283234,0.217721,0.254035
1,7,4,91,0.304533,0.236329,0.180878,0.210266
1,7,4,92,0.268814,0.208209,0.158745,0.183851
1,7,4,93,0.310275,0.240017,0.182436,0.210557
1,7,4,94,0.391876,0.302974,0.229813,0.264454
1,7,4,95,0.433344,0.335097,0.253936,0.291562
