Zone,Pmax (MW),Pmin (MW),Cost ($/MW/yr),Cost ($/MWh),Type,Flag_thermal,Flag_VRE,EF,CC
APS_MD,5000.0,0,85591.1602,33.65,NGCT,1,0,0.59,0.98
APS_MD,5000.0,0,113641,23.76,NGCC,1,0,0.4,0.98
APS_MD,4000.0,0,97201.13324,0,WindOn,0,1,0,0.28
APS_MD,4000.0,0,260766.0253,0,WindOff,0,1,0,0.28
APS_MD,4000.0,0,69463.85408,0,SolarPV,0,1,0,0.35
DPL_MD,5000.0,0,85591.1602,33.65,NGCT,1,0,0.59,0.98
DPL_MD,5000.0,0,113641,23.76,NGCC,1,0,0.4,0.98
DPL_MD,5000.0,0,562747,23.57,Coal,1,0,1.01,0.95
DPL_MD,4000.0,0,97201.13324,0,WindOn,0,1,0,0.28
DPL_MD,4000.0,0,260766.0253,0,WindOff,0,1,0,0.28
DPL_MD,4000.0,0,69463.85408,0,SolarPV,0,1,0,0.35
BGE,5000.0,0,85591.1602,33.65,NGCT,1,0,0.59,0.98
BGE,5000.0,0,113641,23.76,NGCC,1,0,0.4,0.98
BGE,4000.0,0,97201.13324,0,WindOn,0,1,0,0.28
BGE,4000.0,0,260766.0253,0,WindOff,0,1,0,0.28
BGE,4000.0,0,69463.85408,0,SolarPV,0,1,0,0.35
PEPCO,5000.0,0,85591.1602,33.65,NGCT,1,0,0.59,0.98
PEPCO,5000.0,0,113641,23.76,NGCC,1,0,0.4,0.98
PEPCO,4000.0,0,97201.13324,0,WindOn,0,1,0,0.28
PEPCO,4000.0,0,260766.0253,0,WindOff,0,1,0,0.28
PEPCO,4000.0,0,69463.85408,0,SolarPV,0,1,0,0.35
