Month,Day,Period,BGE,APS,PEPCO,DPL,DPL_MD,APS_MD,NI
1,1,1,0.469072978,0.51954055,0.473717446,0.440827404,0.440827404,0.51954055,2944.49
1,1,2,0.45474424,0.505621408,0.454639825,0.425898498,0.425898498,0.505621408,2764.49
1,1,3,0.440390403,0.495218822,0.445244689,0.413738947,0.413738947,0.495218822,2556.9
1,1,4,0.433923811,0.490257192,0.433284984,0.407487397,0.407487397,0.490257192,2437
1,1,5,0.430957304,0.49034215,0.43562468,0.405245213,0.405245213,0.49034215,2423.4
1,1,6,0.435357649,0.494437266,0.43526408,0.408115947,0.408115947,0.494437266,2516.7
1,1,7,0.444037956,0.504206064,0.447423814,0.417806863,0.417806863,0.504206064,2203.8
1,1,8,0.452664522,0.514426528,0.456468946,0.427248092,0.427248092,0.514426528,2282.1
1,1,9,0.463710123,0.530436642,0.461973296,0.440785942,0.440785942,0.530436642,2451.1
1,1,10,0.481153545,0.548077694,0.477994223,0.460232703,0.460232703,0.548077694,2725.8
1,1,11,0.500520284,0.564018601,0.496386813,0.477467353,0.477467353,0.564018601,2970.3
1,1,12,0.513540389,0.570552398,0.504872048,0.485439384,0.485439384,0.570552398,3168.5
1,1,13,0.516994533,0.573002792,0.507086794,0.487299289,0.487299289,0.573002792,3252.9
1,1,14,0.517125126,0.570707251,0.507446115,0.488799014,0.488799014,0.570707251,3225.79
1,1,15,0.517726482,0.561592719,0.507701494,0.481313375,0.481313375,0.561592719,3210
1,1,16,0.51923292,0.564380584,0.507778218,0.4806707,0.4806707,0.564380584,3117.4
1,1,17,0.531621468,0.575673212,0.517791525,0.49377843,0.49377843,0.575673212,3227.9
1,1,18,0.553502953,0.591731859,0.537730821,0.517144798,0.517144798,0.591731859,3457.8
1,1,19,0.552370147,0.585949198,0.53262872,0.514818321,0.514818321,0.585949198,3479.49
1,1,20,0.540199397,0.578951432,0.527517668,0.502370581,0.502370581,0.578951432,3376.79
1,1,21,0.529418104,0.564131025,0.521549872,0.48842038,0.48842038,0.564131025,3190.5
1,1,22,0.512149233,0.549768291,0.504689739,0.470993908,0.470993908,0.549768291,3061.6
1,1,23,0.489978058,0.532552127,0.490783636,0.448611714,0.448611714,0.532552127,2721.8
1,1,24,0.466298036,0.511173117,0.474971142,0.422228581,0.422228581,0.511173117,2344.5
1,2,1,0.445665204,0.498607397,0.452443347,0.402119552,0.402119552,0.498607397,2472
1,2,2,0.431027492,0.484685302,0.437367395,0.389122542,0.389122542,0.484685302,2408.7
1,2,3,0.420155449,0.480939666,0.430350864,0.381229565,0.381229565,0.480939666,2258.1
1,2,4,0.416877417,0.477422226,0.427368519,0.37788816,0.37788816,0.477422226,2207.7
1,2,5,0.414493973,0.47933708,0.432786282,0.379327741,0.379327741,0.47933708,2198.3
1,2,6,0.426161206,0.486851487,0.432528163,0.385510946,0.385510946,0.486851487,2172.8
1,2,7,0.436526188,0.499623941,0.438773624,0.399465474,0.399465474,0.499623941,1820.4
