Month,Day,Period,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD
1,1,1,0.420920784,0.420920784,0.420920784,0.380944115,0.420920784,0.380944115
1,1,2,0.468767879,0.468767879,0.468767879,0.347207509,0.468767879,0.347207509
1,1,3,0.565902224,0.565902224,0.565902224,0.34619018,0.565902224,0.34619018
1,1,4,0.581351916,0.581351916,0.581351916,0.349590423,0.581351916,0.349590423
1,1,5,0.538291957,0.538291957,0.538291957,0.368834902,0.538291957,0.368834902
1,1,6,0.458525331,0.458525331,0.458525331,0.337800311,0.458525331,0.337800311
1,1,7,0.317014074,0.317014074,0.317014074,0.305151591,0.317014074,0.305151591
1,1,8,0.254907305,0.254907305,0.254907305,0.311472014,0.254907305,0.311472014
1,1,9,0.254800903,0.254800903,0.254800903,0.334102771,0.254800903,0.334102771
1,1,10,0.277368298,0.277368298,0.277368298,0.446902421,0.277368298,0.446902421
1,1,11,0.213154965,0.213154965,0.213154965,0.486900897,0.213154965,0.486900897
1,1,12,0.227130901,0.227130901,0.227130901,0.507327217,0.227130901,0.507327217
1,1,13,0.23534902,0.23534902,0.23534902,0.557852014,0.23534902,0.557852014
1,1,14,0.206731671,0.206731671,0.206731671,0.617173612,0.206731671,0.617173612
1,1,15,0.136253714,0.136253714,0.136253714,0.663472054,0.136253714,0.663472054
1,1,16,0.090826787,0.090826787,0.090826787,0.65840599,0.090826787,0.65840599
1,1,17,0.10801157,0.10801157,0.10801157,0.685321532,0.10801157,0.685321532
1,1,18,0.075661766,0.075661766,0.075661766,0.718416872,0.075661766,0.718416872
1,1,19,0.053269841,0.053269841,0.053269841,0.765805896,0.053269841,0.765805896
1,1,20,0.05364598,0.05364598,0.05364598,0.753872954,0.05364598,0.753872954
1,1,21,0.072416519,0.072416519,0.072416519,0.709044096,0.072416519,0.709044096
1,1,22,0.136800655,0.136800655,0.136800655,0.670317127,0.136800655,0.670317127
1,1,23,0.257903348,0.257903348,0.257903348,0.703080871,0.257903348,0.703080871
1,1,24,0.303418943,0.303418943,0.303418943,0.692900968,0.303418943,0.692900968
1,2,1,0.285464149,0.285464149,0.285464149,0.662181192,0.285464149,0.662181192
1,2,2,0.23507835,0.23507835,0.23507835,0.621835195,0.23507835,0.621835195
1,2,3,0.259915644,0.259915644,0.259915644,0.59664366,0.259915644,0.59664366
1,2,4,0.275873076,0.275873076,0.275873076,0.563895474,0.275873076,0.563895474
1,2,5,0.281324755,0.281324755,0.281324755,0.52713138,0.281324755,0.52713138
1,2,6,0.311358925,0.311358925,0.311358925,0.486633978,0.311358925,0.486633978
1,2,7,0.333098441,0.333098441,0.333098441,0.470046436,0.333098441,0.470046436
1,2,8,0.304174021,0.304174021,0.304174021,0.433379972,0.304174021,0.433379972
1,2,9,0.235217418,0.235217418,0.235217418,0.408050384,0.235217418,0.408050384
1,2,10,0.233388992,0.233388992,0.233388992,0.415621123,0.233388992,0.415621123
1,2,11,0.312204537,0.312204537,0.312204537,0.389972556,0.312204537,0.389972556
1,2,12,0.250419773,0.250419773,0.250419773,0.384136605,0.250419773,0.384136605
1,2,13,0.293692535,0.293692535,0.293692535,0.331825204,0.293692535,0.331825204
1,2,14,0.317941821,0.317941821,0.317941821,0.212812193,0.317941821,0.212812193
1,2,15,0.380308994,0.380308994,0.380308994,0.172993296,0.380308994,0.172993296
1,2,16,0.399944746,0.399944746,0.399944746,0.161468388,0.399944746,0.161468388
1,2,17,0.378223897,0.378223897,0.378223897,0.183752727,0.378223897,0.183752727
1,2,18,0.349569214,0.349569214,0.349569214,0.17158006,0.349569214,0.17158006
1,2,19,0.337289169,0.337289169,0.337289169,0.169375134,0.337289169,0.169375134
1,2,20,0.24610771,0.24610771,0.24610771,0.164121528,0.24610771,0.164121528
1,2,21,0.222718037,0.222718037,0.222718037,0.19708494,0.222718037,0.19708494
1,2,22,0.199634501,0.199634501,0.199634501,0.221849331,0.199634501,0.221849331
1,2,23,0.203072018,0.203072018,0.203072018,0.176606436,0.203072018,0.176606436
1,2,24,0.20756795,0.20756795,0.20756795,0.110141733,0.20756795,0.110141733
1,3,1,0.177656049,0.177656049,0.177656049,0.090193514,0.177656049,0.090193514
1,3,2,0.13621358,0.13621358,0.13621358,0.099368337,0.13621358,0.099368337
1,3,3,0.100274124,0.100274124,0.100274124,0.098969858,0.100274124,0.098969858
1,3,4,0.168879788,0.168879788,0.168879788,0.083899918,0.168879788,0.083899918
1,3,5,0.237244648,0.237244648,0.237244648,0.072599178,0.237244648,0.072599178
1,3,6,0.209607313,0.209607313,0.209607313,0.066984944,0.209607313,0.066984944
1,3,7,0.204643774,0.204643774,0.204643774,0.036811132,0.204643774,0.036811132
1,3,8,0.178573529,0.178573529,0.178573529,0.030996985,0.178573529,0.030996985
1,3,9,0.20298895,0.20298895,0.20298895,0.030469395,0.20298895,0.030469395
1,3,10,0.203296021,0.203296021,0.203296021,0.055531084,0.203296021,0.055531084
1,3,11,0.232965252,0.232965252,0.232965252,0.08202573,0.232965252,0.08202573
1,3,12,0.247386395,0.247386395,0.247386395,0.096729407,0.247386395,0.096729407
1,3,13,0.301980655,0.301980655,0.301980655,0.094898828,0.301980655,0.094898828
1,3,14,0.400078214,0.400078214,0.400078214,0.112925943,0.400078214,0.112925943
1,3,15,0.503762788,0.503762788,0.503762788,0.16255064,0.503762788,0.16255064
1,3,16,0.466296377,0.466296377,0.466296377,0.21637952,0.466296377,0.21637952
1,3,17,0.532801077,0.532801077,0.532801077,0.247745217,0.532801077,0.247745217
1,3,18,0.547084084,0.547084084,0.547084084,0.304833224,0.547084084,0.304833224
1,3,19,0.530982917,0.530982917,0.530982917,0.399774926,0.530982917,0.399774926
1,3,20,0.516170702,0.516170702,0.516170702,0.487440369,0.516170702,0.487440369
1,3,21,0.522686396,0.522686396,0.522686396,0.564513466,0.522686396,0.564513466
1,3,22,0.514737081,0.514737081,0.514737081,0.608015448,0.514737081,0.608015448
1,3,23,0.532176668,0.532176668,0.532176668,0.640170754,0.532176668,0.640170754
1,3,24,0.483869432,0.483869432,0.483869432,0.61512009,0.483869432,0.61512009
1,4,1,0.439415986,0.439415986,0.439415986,0.577070892,0.439415986,0.577070892
1,4,2,0.417311532,0.417311532,0.417311532,0.577156394,0.417311532,0.577156394
1,4,3,0.435646198,0.435646198,0.435646198,0.575322997,0.435646198,0.575322997
1,4,4,0.400923827,0.400923827,0.400923827,0.577399181,0.400923827,0.577399181
1,4,5,0.403808802,0.403808802,0.403808802,0.616627035,0.403808802,0.616627035
1,4,6,0.393190114,0.393190114,0.393190114,0.613638747,0.393190114,0.613638747
1,4,7,0.361283651,0.361283651,0.361283651,0.550483761,0.361283651,0.550483761
1,4,8,0.297178586,0.297178586,0.297178586,0.613791254,0.297178586,0.613791254
1,4,9,0.218395707,0.218395707,0.218395707,0.640353641,0.218395707,0.640353641
1,4,10,0.095922861,0.095922861,0.095922861,0.661783448,0.095922861,0.661783448
1,4,11,0.019651619,0.019651619,0.019651619,0.70665224,0.019651619,0.70665224
1,4,12,0.021230842,0.021230842,0.021230842,0.731255794,0.021230842,0.731255794
1,4,13,0.03695027,0.03695027,0.03695027,0.713343826,0.03695027,0.713343826
1,4,14,0.10204655,0.10204655,0.10204655,0.707000986,0.10204655,0.707000986
1,4,15,0.183446533,0.183446533,0.183446533,0.741452846,0.183446533,0.741452846
1,4,16,0.269994857,0.269994857,0.269994857,0.750445763,0.269994857,0.750445763
1,4,17,0.362265532,0.362265532,0.362265532,0.781905537,0.362265532,0.781905537
1,4,18,0.537283942,0.537283942,0.537283942,0.825891991,0.537283942,0.825891991
1,4,19,0.702249273,0.702249273,0.702249273,0.86549015,0.702249273,0.86549015
1,4,20,0.750790778,0.750790778,0.750790778,0.87357427,0.750790778,0.87357427
1,4,21,0.701952468,0.701952468,0.701952468,0.873179955,0.701952468,0.873179955
1,4,22,0.725435476,0.725435476,0.725435476,0.885991683,0.725435476,0.885991683
1,4,23,0.808984024,0.808984024,0.808984024,0.901706197,0.808984024,0.901706197
1,4,24,0.846875108,0.846875108,0.846875108,0.908898301,0.846875108,0.908898301
1,5,1,0.829204051,0.829204051,0.829204051,0.918996131,0.829204051,0.918996131
1,5,2,0.808113211,0.808113211,0.808113211,0.917995339,0.808113211,0.917995339
1,5,3,0.792212713,0.792212713,0.792212713,0.897505934,0.792212713,0.897505934
1,5,4,0.787300509,0.787300509,0.787300509,0.878187834,0.787300509,0.878187834
1,5,5,0.746715786,0.746715786,0.746715786,0.883724161,0.746715786,0.883724161
1,5,6,0.798671474,0.798671474,0.798671474,0.876073064,0.798671474,0.876073064
1,5,7,0.715290929,0.715290929,0.715290929,0.858472726,0.715290929,0.858472726
1,5,8,0.766702476,0.766702476,0.766702476,0.864341138,0.766702476,0.864341138
1,5,9,0.719359388,0.719359388,0.719359388,0.861656272,0.719359388,0.861656272
1,5,10,0.642297601,0.642297601,0.642297601,0.880303584,0.642297601,0.880303584
1,5,11,0.633601608,0.633601608,0.633601608,0.891317806,0.633601608,0.891317806
1,5,12,0.621217028,0.621217028,0.621217028,0.90341918,0.621217028,0.90341918
1,5,13,0.611827559,0.611827559,0.611827559,0.932125981,0.611827559,0.932125981
1,5,14,0.597889889,0.597889889,0.597889889,0.925289237,0.597889889,0.925289237
1,5,15,0.618873394,0.618873394,0.618873394,0.934753886,0.618873394,0.934753886
1,5,16,0.576228775,0.576228775,0.576228775,0.931782012,0.576228775,0.931782012
1,5,17,0.613247179,0.613247179,0.613247179,0.922388534,0.613247179,0.922388534
1,5,18,0.54015865,0.54015865,0.54015865,0.9032739,0.54015865,0.9032739
1,5,19,0.541933876,0.541933876,0.541933876,0.87923689,0.541933876,0.87923689
1,5,20,0.599087373,0.599087373,0.599087373,0.883914029,0.599087373,0.883914029
1,5,21,0.686336641,0.686336641,0.686336641,0.892951167,0.686336641,0.892951167
1,5,22,0.702151271,0.702151271,0.702151271,0.880413708,0.702151271,0.880413708
1,5,23,0.664054851,0.664054851,0.664054851,0.858618618,0.664054851,0.858618618
1,5,24,0.701592196,0.701592196,0.701592196,0.8404058,0.701592196,0.8404058
1,6,1,0.692361396,0.692361396,0.692361396,0.824894506,0.692361396,0.824894506
1,6,2,0.784642337,0.784642337,0.784642337,0.752316398,0.784642337,0.752316398
1,6,3,0.836325488,0.836325488,0.836325488,0.695922943,0.836325488,0.695922943
