Technology,Zone,EC_Category,New_Build,AnnSum,t1h1,t1h2,t1h3,t1h4,t1h5,t1h6,t1h7,t1h8,t1h9,t1h10,t1h11,t1h12,t1h13,t1h14,t1h15,t1h16,t1h17,t1h18,t1h19,t1h20,t1h21,t1h22,t1h23,t1h24,t2h1,t2h2,t2h3,t2h4,t2h5,t2h6,t2h7,t2h8,t2h9,t2h10,t2h11,t2h12,t2h13,t2h14,t2h15,t2h16,t2h17,t2h18,t2h19,t2h20,t2h21,t2h22,t2h23,t2h24,t3h1,t3h2,t3h3,t3h4,t3h5,t3h6,t3h7,t3h8,t3h9,t3h10,t3h11,t3h12,t3h13,t3h14,t3h15,t3h16,t3h17,t3h18,t3h19,t3h20,t3h21,t3h22,t3h23,t3h24,t4h1,t4h2,t4h3,t4h4,t4h5,t4h6,t4h7,t4h8,t4h9,t4h10,t4h11,t4h12,t4h13,t4h14,t4h15,t4h16,t4h17,t4h18,t4h19,t4h20,t4h21,t4h22,t4h23,t4h24
NGCT_CCS,BGE,Existing,0,15379.809364642253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,139.78462840534075,0.0,0.0,0.0,99.0247362369131,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994,360.49999999999994
Hydro,BGE,Existing,0,14968.559999999983,0.0,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,0.0,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999995,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998,159.23999999999998
MSW,BGE,Existing,0,6063.0,0.0,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,0.0,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5
Bio,BGE,Existing,0,206.7999999999997,0.0,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,0.0,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
Landfill_NG,BGE,Existing,0,582.7999999999998,0.0,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.2,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,0.0,6.199999999999999,6.199999999999998,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999998,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999,6.199999999999999
SolarPV,BGE,Existing,0,1167.4863604369618,0.0,0.0,0.0,0.0,0.019033295999999998,1.5414269466666675,8.625296373333333,20.089609701333334,30.22553381066667,37.41755334466664,41.38363736133334,42.72126398399998,41.74545082733333,39.52567828133335,35.331924873999995,28.270343619999995,18.679136050666663,7.867802287333334,1.3494650199999998,0.010679435999999997,0.0007805286666666667,0.0008003659999999998,0.0020463119999999994,0.00018693000000000003,0.0,0.0,0.0,0.0,0.01660012866666666,1.3491895826666662,8.417817716666667,20.63955875066666,31.108647192666673,38.55829910666665,42.91049597333333,43.95071836733333,43.03752754733332,40.55973808199999,35.789493843333325,28.414472811999996,18.539189506666663,7.841976945333334,1.509234533999999,0.02717964,0.0012787539999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004355947088888887,1.031361119533333,8.032408793066661,20.043271999955543,29.461147170822223,34.35073214779998,35.39534333555554,34.29384187504443,30.771601609311105,23.632473721311115,12.677166439555549,3.0386130105333335,0.17913679908888883,0.09764253175555555,0.00562847711111111,0.005707318377777776,0.005748316222222221,0.005833464955555555,0.005688396666666666,0.0019485311235955057,0.0018943166516853926,0.001964476269662921,0.0010970447191011234,0.0019030865168539327,0.0045922786966292135,0.2111803818426966,3.4942775892134827,13.03554979226966,23.319382822067407,29.84322056723596,32.65622675188766,32.96605189934833,31.214641740831453,25.86646241031462,17.093127326089895,6.5453401469887655,0.699017851258427,0.003939316292134833,0.0010675459550561796,0.001903884157303371,0.0018998966516853932,0.0010412356629213484,0.001859236494382022
Hydro,APS_MD,Existing,0,564.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001,6.000000000000001
WindOn,APS_MD,Existing,0,7086.056384191489,83.05746720698926,80.8346968189247,78.68946389860211,77.78726797419353,77.57185974000001,76.92134254720428,75.87040428924733,71.74169511000001,69.53586785956989,72.01127722903223,74.32388037301075,77.20343771892472,80.05897905053769,82.64357710516127,85.09011416247307,86.79839170827954,88.08530862806454,88.10384968408607,84.49236741645163,80.06014802043009,79.62026261301074,82.3855149476344,84.09145757322582,84.16382890623653,51.465002028924765,49.739081608172036,47.20635381096773,44.90771696430107,43.24515349408605,41.80198567365593,39.87180437591396,33.57258520139785,26.380485316236587,24.502192021505376,25.77630234473117,29.055674649677428,32.407032881827945,35.25049764999998,37.478878376451604,38.88339395548387,38.6219152588172,36.28917816010753,34.089584396989245,33.64775846236558,39.28531009182796,45.40232159333334,49.30642447290324,50.64102777860216,95.43803416155556,92.65505064488895,90.53869559922228,89.43138693799997,87.56021735644448,86.0261576308889,86.10621010711111,85.9750151071111,81.26800312011112,77.01693585366667,77.08314999866666,79.46162846377774,81.64689902588886,83.25728631777778,84.52181004411109,85.23572165544445,83.775866375,80.69258868377773,81.71431307788889,88.13125623211108,93.70577240833333,96.67661747922222,97.58220605800005,96.71784389033331,95.65843810662923,94.00092446022474,92.88188779640451,92.18151240943821,91.17548599078653,88.93446049651685,87.72626131157305,87.87388895258425,87.17633209820225,85.32714027359555,83.23712503089888,82.25065864044947,82.14105244595508,83.29621149561798,86.2104602539326,87.42164794674159,87.56763698719102,87.97905576932588,89.22057320483151,91.98077088325844,95.47446475078652,97.64232208404496,98.53367273247189,97.97561269112364
SolarPV,APS_MD,Existing,0,2312.203870898345,0.0,0.0,0.0,0.0,0.0,1.1051406655634408,13.045213505077422,36.17172591644623,52.562191033590295,61.921430514627964,67.27398148525593,69.9894983537086,70.22355023339031,69.13442523101179,66.20850153756992,60.566384116033326,51.245719412712916,34.28380288022474,12.765355364583867,1.5192899360849463,0.0013499772279569893,0.0,0.0,0.0,0.00758293078064516,0.009453561496774194,0.009481452976344087,0.009468436874193548,0.009494469078494624,0.827028547909677,12.540954149556994,40.41349831831291,62.616674491780635,72.87165005560858,77.94098281570001,80.3424123764559,80.53281869648923,78.18859025062045,73.86111102237959,68.61309962775805,59.27874548845164,42.62921857610107,17.261511112663438,2.3483397336365583,0.011489684165591398,0.009440545394623655,0.007581071505376344,0.009460998597849464,0.0,0.0,0.0,0.0,0.0,0.0,0.459521855651111,10.024485278747783,36.45611411782446,56.49379606930667,62.072995854717796,64.02150548835444,63.305330977364456,62.526084687632235,59.079633290064464,47.12928467823666,21.810791523574437,3.706481964548888,0.03581406989444444,0.00017293081666666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036556454666292135,2.3482067092112366,15.539101531531465,35.13875309868317,47.1492267549899,53.290229953659534,55.008505390197755,53.99601188697753,50.425845589401135,41.94246091958314,24.918012287464045,6.6459092556022465,0.25524032583707873,0.0,0.0,0.0,0.0,0.02014937640224719
NGCT_CCS,PEPCO,Existing,0,81276.17999985615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.1588503071141,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,2272.3000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.6320003787586,634.1823743684223,731.9431330551012,980.7568981617466,1474.94498704968,2111.8198157291104,2272.3000000000006,1681.0657975661145,1585.180948125004,1510.4628458356055,801.3791649620061,587.8608838789219,0.0,0.0,176.27903301210043,1342.5061358078947,2031.8552306327795,2272.3000000000006,2220.7797925742934,1844.6677396358298,1489.0876212430826,1057.4971890846566,714.6195584478851
Nuc,PEPCO,Existing,0,177638.3999999997,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.4,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.3999999999999,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003,1850.4000000000003
MSW,PEPCO,Existing,0,6373.200000000011,0.0,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,0.0,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.79999999999998,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8
Landfill_NG,PEPCO,Existing,0,723.8000000000008,0.0,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,0.0,7.700000000000001,7.7,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.700000000000001,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999,7.699999999999999
NGCC_CCS,PEPCO,Existing,0,133062.22231484475,0.0,0.0,0.0,443.34012545677166,80.12679697805895,1600.5451358010937,1919.1999999999996,347.04479711010885,576.0719790200806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1703.4676261312231,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1592.4672655843488,325.14779733004355,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,0.0,0.0,520.691368877819,702.808389644755,466.35675051329827,1175.9051340139138,1919.1999999999996,1919.1999999999996,1706.846194855751,685.4041257955631,0.0,324.8465217923942,0.0,0.0,272.69409187989567,0.0,1881.6144525670693,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1585.6437614926642,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996,1919.1999999999996
