From_zone,To_zone,EC_Category,New_Build,AnnSum,t1h1,t1h2,t1h3,t1h4,t1h5,t1h6,t1h7,t1h8,t1h9,t1h10,t1h11,t1h12,t1h13,t1h14,t1h15,t1h16,t1h17,t1h18,t1h19,t1h20,t1h21,t1h22,t1h23,t1h24,t2h25,t2h26,t2h27,t2h28,t2h29,t2h30,t2h31,t2h32,t2h33,t2h34,t2h35,t2h36,t2h37,t2h38,t2h39,t2h40,t2h41,t2h42,t2h43,t2h44,t2h45,t2h46,t2h47,t2h48,t3h49,t3h50,t3h51,t3h52,t3h53,t3h54,t3h55,t3h56,t3h57,t3h58,t3h59,t3h60,t3h61,t3h62,t3h63,t3h64,t3h65,t3h66,t3h67,t3h68,t3h69,t3h70,t3h71,t3h72,t4h73,t4h74,t4h75,t4h76,t4h77,t4h78,t4h79,t4h80,t4h81,t4h82,t4h83,t4h84,t4h85,t4h86,t4h87,t4h88,t4h89,t4h90,t4h91,t4h92,t4h93,t4h94,t4h95,t4h96
BGE,PEPCO,Existing,0,-113170.55582941987,-1499.9999999999998,-1499.9999999999998,-312.30772087909054,-250.48312383159592,-314.7861232643539,-490.8385264965747,-1499.9999999999998,-1499.9999999999998,415.00397686272055,-1499.9999999999998,751.052532906739,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,780.1751512861103,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1288.411132272794,-609.2206969919785,-213.81791927370676,-1499.9999999999998,-1210.9530892477167,-1499.9999999999998,-1492.1904095460861,-1060.3535790537035,-1427.0178457338009,-911.1700819692629,-1499.9999999999998,-1499.9999999999998,-1491.910644963645,-1499.9999999999998,-1107.6774837323258,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-691.6508170495575,-1192.408895345274,-1499.9999999999998,-1359.8574530447454,-1499.9999999999998,-563.2280284079536,-253.56388355690655,-1499.9999999999998,355.33697364971607,-1499.9999999999998,-274.19936275425346,-284.89749462863216,-324.68414808749014,-1264.1712263926704,-1499.9999999999998,-1263.6265646184336,-1139.1872769621318,-1499.9999999999998,991.0341016091055,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-745.0636861719057,-1355.4413537723995,-1014.2747932865316,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-949.2300173723474,-1499.9999999999998,-1143.4557447219659,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-671.1467494732549,-1499.9999999999998,-1499.9999999999998,-1291.932692831176,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998
BGE,PEPCO,Existing,0,-138475.86908275675,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,920.5207986979035,-1499.9999999999998,-887.5848150749091,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,991.194933620249,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998
PEPCO,BGE,Existing,0,104777.9448871602,612.8658346802825,242.60058109416192,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1383.6267886377268,364.53708200497124,1499.9999999999998,-735.3280407069509,1499.9999999999998,-733.300440200644,-752.4266186599747,-706.9219029633292,-712.2745197911911,1499.9999999999998,1499.9999999999998,723.5218707441393,1499.9999999999998,968.1441573607924,1171.16438144905,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1274.559204484685,1499.9999999999998,980.1337688687752,105.90544029722992,330.19869152597585,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,915.5508033471524,1499.9999999999998,1499.9999999999998,-260.22248685000125,1499.9999999999998,883.5952887410837,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,768.1996603849717,1499.9999999999998,-931.634732900305,-906.5632435948422,-648.6455020822285,-859.3282137457256,-905.8798598642384,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1226.8764551461184,1499.9999999999998,1150.886695579876,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1279.284628405354,1098.164651168831,729.7259809149676,265.7604956988584,455.16798798461747,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998,1499.9999999999998
PEPCO,APS_MD,Existing,0,-128148.43547459994,-1242.068345781059,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1380.321705318099,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-326.3341747344477,-302.31686515584386,-251.02546031078754,-1499.9999999999998,-1499.9999999999998,-613.8449202036296,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1164.316959318987,-394.10190943835306,-449.02718373489824,-523.6460937119307,-1162.612903655963,956.0863717593522,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1430.1439823000728,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1220.1607294740606,-1193.9777964677905,-1161.8995284710734,-1072.770096439909,-886.2351977381321,-695.6388266272335,-1499.9999999999998,-1472.6898547287476,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1499.9999999999998,-1118.4295911527288,-708.3455215254392,-1499.9999999999998,-1499.9999999999998,-1062.4297430804406,-1499.9999999999998,-1272.1844569896796
BGE,DPL_MD,Existing,0,-13034.625050161874,-136.7770649134777,294.83112178057326,131.98628243672175,-192.62300537857297,-399.99999999999994,399.99999999999994,393.570458246251,399.99999999999994,399.99999999999994,399.99999999999994,399.99999999999994,399.99999999999994,399.99999999999994,399.99999999999994,395.62463534954145,199.02272306019233,-129.19779258450308,399.99999999999994,-287.36788230361424,-399.99999999999994,-399.99999999999994,-223.99118580628192,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-378.0118424757745,-156.44772929895728,399.99999999999994,52.97307134950861,272.85431049870914,399.99999999999994,198.20269947797848,44.6742517679567,63.17332185863472,-139.07634899263104,-224.712750422658,-379.9451509477582,-238.0062040901922,-163.41444836974287,-41.99788823819418,-205.67528327447238,-94.39984983971502,-160.5112742725476,-187.54179778510635,-399.99999999999994,399.99999999999994,205.8964274074378,-399.99999999999994,-399.99999999999994,399.99999999999994,-285.40412579557324,-28.232517916197054,75.15347820760805,399.99999999999994,218.4001451275641,127.30590812010722,-212.61423050014278,-398.8466266892049,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-1.5264617690495939,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-98.7642662583198,6.429028392149003,-50.64984909341585,-399.99999999999994,-270.911955261408,-228.07538096529805,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994
PEPCO,APS_MD,Existing,0,-36471.107215085925,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,125.0595793429594,203.83320557110895,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994
PEPCO,APS_MD,Existing,0,-32708.879538921203,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,399.99999999999994,399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,399.99999999999994,399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-281.75028699010835,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,359.99592132831776,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,-399.99999999999994,323.544433563962,182.14114028706342,-399.99999999999994,-92.81074711044114,-399.99999999999994
APS,APS_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APS,APS_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APS,APS_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
