Technology,Zone,EC_Category,New_Build,AnnSum,t1h1,t1h2,t1h3,t1h4,t1h5,t1h6,t1h7,t1h8,t1h9,t1h10,t1h11,t1h12,t1h13,t1h14,t1h15,t1h16,t1h17,t1h18,t1h19,t1h20,t1h21,t1h22,t1h23,t1h24,t2h1,t2h2,t2h3,t2h4,t2h5,t2h6,t2h7,t2h8,t2h9,t2h10,t2h11,t2h12,t2h13,t2h14,t2h15,t2h16,t2h17,t2h18,t2h19,t2h20,t2h21,t2h22,t2h23,t2h24,t3h1,t3h2,t3h3,t3h4,t3h5,t3h6,t3h7,t3h8,t3h9,t3h10,t3h11,t3h12,t3h13,t3h14,t3h15,t3h16,t3h17,t3h18,t3h19,t3h20,t3h21,t3h22,t3h23,t3h24,t4h1,t4h2,t4h3,t4h4,t4h5,t4h6,t4h7,t4h8,t4h9,t4h10,t4h11,t4h12,t4h13,t4h14,t4h15,t4h16,t4h17,t4h18,t4h19,t4h20,t4h21,t4h22,t4h23,t4h24
SolarPV,BGE,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WindOn,APS_MD,Existing,0,178.49550136854484,83.05746720698926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.43803416155558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,APS_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,PEPCO,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,DPL_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WindOff,DPL_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WindOn,APS_MD,Candidate,1,2485.132464527908,1295.10922988477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190.0232346431378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,APS_MD,Candidate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WindOn,DPL_MD,Candidate,1,170004.99776136,2310.3039421935487,2063.5732404863743,2061.6452981321563,2021.1286581353577,1947.0485282342393,1943.306628600436,1832.167824368884,1700.7981668177965,1659.3983580111187,1709.1072749439486,1737.1410744794562,1764.934768834126,1801.0601625628294,1839.4231108310778,1878.3440671070039,1918.5105712323632,1911.320620130816,1905.9913791351141,1873.190788219463,1908.4195237590504,2046.5297469398888,2068.421349028642,2103.9933402746537,2073.136619127191,1190.5989149403288,1156.6158902385712,1128.2761072151925,1114.559420635353,1063.9032459172533,1004.1906663921849,888.2610716100678,701.982844093365,567.7594401565262,540.6610337450493,564.3370673129839,610.8184806865937,669.2997058768697,727.0491286737354,767.3777798414513,792.656595019446,807.9984371974128,780.214602886035,796.5621587414321,909.8534624135686,1059.9948110339658,1161.7631556205383,1208.9555136326974,1242.560014330807,2583.1900494000015,2317.1718143987528,2293.10522216974,2264.0114523433726,2228.970003298774,2199.654379441373,2183.3803309475124,2130.98652159148,2005.7345399393078,1861.9240247906312,1790.169972543381,1727.7720219637492,1703.047985634236,1692.0674739881565,1668.8900335587696,1659.0599383371375,1685.1392265294949,1813.9663424474272,2018.1621125722681,2157.5701453900974,2228.489851749511,2292.98066409175,2325.8619617698632,2319.293394099261,2474.888773713677,2473.228676374336,2440.964586748184,2394.965758540529,2372.1576302726808,2346.1133169924856,2294.750094515573,2253.0871634639266,2148.7282465042617,2054.435550662732,1966.6541734334032,1885.6404463594497,1884.302518277783,1901.29325648955,1961.3659201912517,1993.1989786165489,2031.729037695689,2034.8427187454097,2143.6804173344212,2293.106923072168,2417.304360583391,2466.7084697273904,2530.09787525193,2556.0088150001766
WindOff,DPL_MD,Candidate,0,188414.61624400353,2310.3039421935487,2293.6577300645176,2291.514825806451,2246.4806575483885,2164.140734129031,2159.9816198064514,2036.451050387096,1890.4339260000006,1844.4181172903234,1899.6694838709675,1930.8289987096755,1961.7216370967744,2001.8749434838717,2044.5152874838714,2087.7758563225816,2132.4208492258063,2124.429232258064,2118.5057910322575,2082.0479966451608,2121.2046691612904,2274.7139194193537,2299.0463934838704,2338.584594064516,2304.2874072258055,1323.3484283870969,1285.5763610967747,1254.0767461935484,1238.8306751612909,1182.526433354839,1116.1560148387098,987.3004908387097,780.2525954193547,631.063537354839,600.9437101935484,627.2595764516129,678.923578967742,743.925349483871,808.1137230322581,852.9389420645157,881.0362970322578,898.0887254193549,867.2070464516127,885.3773236774191,1011.3003921290322,1178.1822154193546,1291.2975367741933,1343.751752903226,1381.1030914838707,2583.1900494000015,2575.5320624,2548.782090933334,2516.444421133334,2477.4959172000003,2444.9116570666674,2426.8230831333335,2368.587463733333,2229.370124466667,2069.525010533334,1989.7705179999998,1920.4153146666674,1892.9345953333338,1880.7297775333327,1854.9680966000003,1844.041964466666,1873.029043666667,2016.2201378666666,2243.1833478000003,2398.1351110000005,2476.962229666666,2548.6436448666677,2585.191144666666,2577.8901941999998,2750.8341625617973,2748.988967528089,2713.127493303372,2661.999883280899,2636.6486921123596,2607.7004874606737,2550.61036341573,2504.3020948314606,2388.307357213483,2283.5012052134834,2185.932371460675,2095.8857679775274,2094.398663460674,2113.2838366516853,2180.0544880449447,2215.436871910113,2258.2629592584267,2261.7238098202242,2382.6967046966283,2548.783981483146,2686.8291969438196,2741.741770247192,2812.1989738651678,2840.998934089887
SolarPV,DPL_MD,Candidate,0,112982.55101002853,0.0,0.0,0.0,0.0,1.8419318709677421,149.1703496774194,834.7061006451614,1944.1557775483875,2925.051659096774,3621.0535494838696,4004.868131741937,4134.3158694193535,4039.882338129032,3825.0656401290335,3419.2185361935485,2735.83970516129,1807.6583274838708,761.4002213548389,130.59338903225805,1.0334938064516126,0.07553503225806453,0.07745477419354839,0.19803019354838708,0.018090000000000002,0.0,0.0,0.0,0.0,1.6064640645161288,130.56673380645157,814.6275209677422,1997.3766532903217,3010.5142444516136,3731.44830064516,4152.628642580646,4253.295325870968,4164.922020709677,3925.135943419354,3463.499404193548,2749.7876914838707,1794.115113548387,758.9009947096774,146.05495490322573,2.630287741935484,0.12375038709677419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4215432666666667,99.80914059999998,777.3298831999995,1939.6714838666655,2851.0787584666673,3324.2644013999984,3425.3558066666656,3318.758891133333,2977.896929933333,2287.013585933334,1226.822558666666,294.0593236000001,17.335819266666665,9.449277266666668,0.5446913333333333,0.5523211333333333,0.5562886666666667,0.5645288666666667,0.55049,0.18856752808988764,0.1833209662921348,0.19011060674157304,0.10616561797752808,0.18416966292134831,0.44441406741573036,20.436811146067416,338.1558957303371,1261.504818606741,2256.7144666516847,2888.0536032808996,3160.2800082471927,3190.2630870337093,3020.771781370786,2503.2060397078667,1654.1736122022478,633.4200142247192,67.64688883146067,0.38122415730337084,0.10331089887640449,0.1842468539325843,0.18386096629213483,0.10076474157303371,0.17992611235955056
WindOn,BGE,Candidate,1,11775.673250679034,144.39105030893643,143.35068327796716,143.21675449445002,140.40217640547462,135.25603619087133,134.99609684937423,127.27559378570095,118.14970971119033,115.27378034576805,118.72692030102803,120.6743502441227,122.60510074931062,125.1146311953803,127.7795983208091,130.4833287077522,133.27358383332285,132.77411796367483,132.40391044057924,130.12534478204157,132.57258688205957,142.16671926961635,143.68746787010332,146.15855498764677,144.01502454568208,82.70758925255109,80.34688321349563,78.37819745006095,77.42533745219316,73.90639413793679,69.75832761562106,61.70502168099006,48.76479224283639,39.44066635830734,37.55821556925093,39.2029236526314,42.43185792843258,46.494385696035806,50.50607719039135,53.30759621920379,55.06364507520118,56.129400104296224,54.1993345488429,55.33495370488686,63.20498490718364,73.63488605667544,80.70444939774416,83.98277101667873,86.31718204788854,161.4460840275069,160.96746960540077,159.29563050004936,157.2745673742461,154.84033554518373,152.80386083799658,151.67334803354515,148.03369608256708,139.33278990706003,129.3426741192336,124.35812003808951,120.0235082708682,118.30599835569319,117.54321280666363,115.93314059938712,115.25027127395606,117.06192675990155,126.01118755144626,140.19609875089918,149.88038635784778,154.80698075490363,159.28697779742788,161.571149929895,161.11484983583296,171.92362732190077,171.8083049852694,169.5670085764441,166.3715981474934,164.78718102706353,162.97795515081543,159.40989519880304,156.51568746416115,149.26616427845101,142.7159134262838,136.61798573560554,130.99018784450232,130.89724570854082,132.07754495078143,136.25062551754468,138.46197938983005,141.13855523767006,141.35485398453784,148.9155056507998,159.29574865700215,167.92339858931564,171.35536439677207,175.75884977652322,177.5588105651259
SolarPV,BGE,Candidate,0,112982.55101002853,0.0,0.0,0.0,0.0,1.8419318709677421,149.1703496774194,834.7061006451614,1944.1557775483875,2925.051659096774,3621.0535494838696,4004.868131741937,4134.3158694193535,4039.882338129032,3825.0656401290335,3419.2185361935485,2735.83970516129,1807.6583274838708,761.4002213548389,130.59338903225805,1.0334938064516126,0.07553503225806453,0.07745477419354839,0.19803019354838708,0.018090000000000002,0.0,0.0,0.0,0.0,1.6064640645161288,130.56673380645157,814.6275209677422,1997.3766532903217,3010.5142444516136,3731.44830064516,4152.628642580646,4253.295325870968,4164.922020709677,3925.135943419354,3463.499404193548,2749.7876914838707,1794.115113548387,758.9009947096774,146.05495490322573,2.630287741935484,0.12375038709677419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4215432666666667,99.80914059999998,777.3298831999995,1939.6714838666655,2851.0787584666673,3324.2644013999984,3425.3558066666656,3318.758891133333,2977.896929933333,2287.013585933334,1226.822558666666,294.0593236000001,17.335819266666665,9.449277266666668,0.5446913333333333,0.5523211333333333,0.5562886666666667,0.5645288666666667,0.55049,0.18856752808988764,0.1833209662921348,0.19011060674157304,0.10616561797752808,0.18416966292134831,0.44441406741573036,20.436811146067416,338.1558957303371,1261.504818606741,2256.7144666516847,2888.0536032808996,3160.2800082471927,3190.2630870337093,3020.771781370786,2503.2060397078667,1654.1736122022478,633.4200142247192,67.64688883146067,0.38122415730337084,0.10331089887640449,0.1842468539325843,0.18386096629213483,0.10076474157303371,0.17992611235955056
