Pmax (MW),Pmin (MW),Zone,Type,Flag_RET,Flag_thermal,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,Flag_RPS
83.48421052631579,29.219473684210524,BGE,NGCT_CCS,0,1,0,0,23.343,0.0,0.45,1.0,0.04414827585,0
83.48421052631579,29.219473684210524,BGE,NGCT_CCS,0,1,0,0,23.343,0.0,0.95,1.0,0.04414827585,0
10.0,0.0,APS_MD,Hydro,0,0,0,0,6.0,0.0,0.5,1.0,0.035,1
10.0,0.0,APS_MD,Hydro,0,0,0,0,6.0,0.0,0.5,1.0,0.035,1
228.2675799086758,79.89365296803652,PEPCO,NGCT_CCS,0,1,0,0,23.343,0.0,0.45,1.0,0.04414827585,0
228.2675799086758,79.89365296803652,PEPCO,NGCT_CCS,0,1,0,0,23.343,0.0,0.95,1.0,0.04414827585,0
103.7579908675799,18.676438356164383,PEPCO,NGCT_CCS,0,1,0,0,35.7675,0.0,0.7,1.0,0.066222413775,0
103.7579908675799,18.676438356164383,PEPCO,NGCT_CCS,0,1,0,0,35.7675,0.0,0.45,1.0,0.066222413775,0
228.2675799086758,79.89365296803652,PEPCO,NGCT_CCS,0,1,0,0,23.343,0.0,0.95,1.0,0.04414827585,0
228.2675799086758,79.89365296803652,PEPCO,NGCT_CCS,0,1,0,0,23.343,0.0,0.7,1.0,0.04414827585,0
228.2675799086758,79.89365296803652,PEPCO,NGCT_CCS,0,1,0,0,23.343,0.0,0.45,1.0,0.04414827585,0
228.2675799086758,79.89365296803652,PEPCO,NGCT_CCS,0,1,0,0,23.343,0.0,0.95,1.0,0.04414827585,0
45.0,0.0,BGE,Hydro,0,0,0,0,6.0,0.0,0.5,1.0,0.035,1
55.6,0.0,BGE,Hydro,0,0,0,0,6.0,0.0,0.5,1.0,0.035,1
55.6,0.0,BGE,Hydro,0,0,0,0,6.0,0.0,0.5,1.0,0.035,1
36.0,0.0,BGE,Hydro,0,0,0,0,6.0,0.0,0.5,1.0,0.035,1
48.0,0.0,BGE,Hydro,0,0,0,0,6.0,0.0,0.5,1.0,0.035,1
47.7,0.0,BGE,Hydro,0,0,0,0,6.0,0.0,0.5,1.0,0.035,1
36.0,0.0,BGE,Hydro,0,0,0,0,6.0,0.0,0.5,1.0,0.035,1
47.7,0.0,BGE,Hydro,0,0,0,0,6.0,0.0,0.5,1.0,0.035,1
48.0,0.0,BGE,Hydro,0,0,0,0,6.0,0.0,0.5,1.0,0.035,1
55.6,0.0,BGE,Hydro,0,0,0,0,6.0,0.0,0.5,1.0,0.035,1
55.6,0.0,BGE,Hydro,0,0,0,0,6.0,0.0,0.5,1.0,0.035,1
918.0,400.0,PEPCO,Nuc,0,1,0,1,9.0,0.0,0.99,1.0,0.019645,1
932.4,400.0,PEPCO,Nuc,0,1,0,1,9.0,0.0,0.99,1.0,0.019645,1
50.886131386861315,3.0531678832116786,DPL_MD,NGCT_CCS,0,1,0,0,54.592499999999994,0.0,0.45,1.0,0.09775689652500001,0
248.77664233576644,87.07182481751825,DPL_MD,NGCT_CCS,0,1,0,0,23.343,0.0,0.95,1.0,0.04414827585,0
113.08029197080292,20.354452554744526,DPL_MD,NGCT_CCS,0,1,0,0,35.7675,0.0,0.7,1.0,0.066222413775,0
248.77664233576644,87.07182481751825,DPL_MD,NGCT_CCS,0,1,0,0,23.343,0.0,0.45,1.0,0.04414827585,0
113.08029197080292,20.354452554744526,DPL_MD,NGCT_CCS,0,1,0,0,35.7675,0.0,0.95,1.0,0.066222413775,0
60.2,0.0,BGE,MSW,0,1,0,0,15.0,1.49,0.43,1.0,0.0,1
4.3,0.0,BGE,MSW,0,1,0,0,15.0,1.49,0.43,1.0,0.0,1
1.9,0.0,DPL_MD,Bio,0,1,0,0,20.0,0.99,0.43,1.0,0.0,1
1.9,0.0,DPL_MD,Bio,0,1,0,0,20.0,0.99,0.43,1.0,0.0,1
0.9,0.0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.9,0.0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.9,0.0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
67.8,0.0,PEPCO,MSW,0,1,0,0,15.0,1.49,0.43,1.0,0.0,1
37.94736842105263,6.830526315789474,BGE,NGCT_CCS,0,1,0,0,35.7675,0.0,0.7,1.0,0.066222413775,0
17.076315789473686,1.024578947368421,BGE,NGCT_CCS,0,1,0,0,54.592499999999994,0.0,0.45,1.0,0.09775689652500001,0
83.48421052631579,29.219473684210524,BGE,NGCT_CCS,0,1,0,0,23.343,0.0,0.95,1.0,0.04414827585,0
114.23809523809524,20.562857142857144,PEPCO,NGCC_CCS,0,1,0,0,26.372,0.0,0.45,1.0,0.022408536570000002,0
114.23809523809524,20.562857142857144,PEPCO,NGCC_CCS,0,1,0,0,26.372,0.0,0.95,1.0,0.022408536570000002,0
114.23809523809524,20.562857142857144,PEPCO,NGCC_CCS,0,1,0,0,26.372,0.0,0.7,1.0,0.022408536570000002,0
1.0,0.0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
1.0,0.0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
1.0,0.0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
1.0,0.0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
103.7579908675799,18.676438356164383,PEPCO,NGCT_CCS,0,1,0,0,35.7675,0.0,0.7,1.0,0.066222413775,0
103.7579908675799,18.676438356164383,PEPCO,NGCT_CCS,0,1,0,0,35.7675,0.0,0.45,1.0,0.066222413775,0
46.69109589041096,2.8014657534246576,PEPCO,NGCT_CCS,0,1,0,0,54.592499999999994,0.0,0.95,1.0,0.09775689652500001,0
17.076315789473686,1.024578947368421,BGE,NGCT_CCS,0,1,0,0,54.592499999999994,0.0,0.7,1.0,0.09775689652500001,0
1.0,0.0,BGE,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
1.0,0.0,BGE,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
1.0,0.0,BGE,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
103.7579908675799,18.676438356164383,PEPCO,NGCT_CCS,0,1,0,0,35.7675,0.0,0.7,1.0,0.066222413775,0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
