Pmax (MW),Pmin (MW),Zone,Type,Flag_RET,Flag_thermal,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,Flag_RPS
192.0,0,BGE,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
141.0,0,BGE,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
10.0,0,APS_MD,Hydro,0,0,1,0,6.0,0.0,0.5,1.0,0,1
10.0,0,APS_MD,Hydro,0,0,1,0,6.0,0.0,0.5,1.0,0,1
659.0,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
659.0,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
103.0,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
103.0,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
125.0,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
125.0,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
163.0,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
163.0,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
45.0,0,BGE,Hydro,0,0,1,0,6.0,0.0,0.5,1.0,0,1
55.6,0,BGE,Hydro,0,0,1,0,6.0,0.0,0.5,1.0,0,1
55.6,0,BGE,Hydro,0,0,1,0,6.0,0.0,0.5,1.0,0,1
36.0,0,BGE,Hydro,0,0,1,0,6.0,0.0,0.5,1.0,0,1
48.0,0,BGE,Hydro,0,0,1,0,6.0,0.0,0.5,1.0,0,1
47.7,0,BGE,Hydro,0,0,1,0,6.0,0.0,0.5,1.0,0,1
36.0,0,BGE,Hydro,0,0,1,0,6.0,0.0,0.5,1.0,0,1
47.7,0,BGE,Hydro,0,0,1,0,6.0,0.0,0.5,1.0,0,1
48.0,0,BGE,Hydro,0,0,1,0,6.0,0.0,0.5,1.0,0,1
55.6,0,BGE,Hydro,0,0,1,0,6.0,0.0,0.5,1.0,0,1
55.6,0,BGE,Hydro,0,0,1,0,6.0,0.0,0.5,1.0,0,1
918.0,400,PEPCO,Nuc,0,1,0,1,9.0,0.0,0.99,1.0,0.019645,1
932.4,400,PEPCO,Nuc,0,1,0,1,9.0,0.0,0.99,1.0,0.019645,1
2.0,0,DPL_MD,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
198.9,0,DPL_MD,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
175.9,0,DPL_MD,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
198.9,0,DPL_MD,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
198.9,0,DPL_MD,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
60.2,0,BGE,MSW,0,1,0,0,15.0,1.49,0.43,1.0,0,1
4.3,0,BGE,MSW,0,1,0,0,15.0,1.49,0.43,1.0,0,1
1.9,0,DPL_MD,Bio,0,1,0,0,20.0,0.99,0.43,1.0,0,1
1.9,0,DPL_MD,Bio,0,1,0,0,20.0,0.99,0.43,1.0,0,1
0.9,0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.9,0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.9,0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
67.8,0,PEPCO,MSW,0,1,0,0,15.0,1.49,0.43,1.0,0,1
5.0,0,BGE,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
2.5,0,BGE,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
10.0,0,BGE,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
98.7,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0.0,0.98,1.0,0.021341,0
98.7,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0.0,0.98,1.0,0.021341,0
