Zone,Pmax (MW),Pmin (MW),Cost ($/MW/yr),Cost ($/MWh),Type,Flag_thermal,Flag_VRE,Flag_mustrun,EF,CC,AF,FOR,Flag_RPS
APS_MD,1315.931,0,134556.4771,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0.0630689655,0
APS_MD,1973.896,0,196747.09,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0.0213414634,0
APS_MD,1315.931,0,97201.13324,5.0,WindOn,0,1,0,0,0.28,0.38701100537363015,0.0,1
APS_MD,1579.117,0,69463.85408,5.0,SolarPV,0,1,0,0,0.35,0.22144524633413243,0.0,1
DPL_MD,1186.024,0,134556.4771,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0.0630689655,0
DPL_MD,1779.036,0,196747.09,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0.0213414634,0
DPL_MD,1186.024,0,97201.13324,5.0,WindOn,0,1,0,0,0.28,0.32577005295936073,0.0,1
DPL_MD,1779.036,0,260766.0253,5.0,WindOff,0,1,0,0,0.28,0.32577005295936073,0.0,1
DPL_MD,1423.228,0,69463.85408,5.0,SolarPV,0,1,0,0,0.35,0.19702688181746578,0.0,1
BGE,3749.0,0,134556.4771,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0.0630689655,0
BGE,5623.5,0,196747.09,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0.0213414634,0
BGE,3749.0,0,97201.13324,5.0,WindOn,0,1,0,0,0.28,0.32577005295936073,0.0,1
BGE,4498.8,0,69463.85408,5.0,SolarPV,0,1,0,0,0.35,0.19702688181746578,0.0,1
PEPCO,2903.75,0,134556.4771,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0.0630689655,0
PEPCO,4355.625,0,196747.09,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0.0213414634,0
PEPCO,2903.75,0,97201.13324,5.0,WindOn,0,1,0,0,0.28,0.32577005295936073,0.0,1
PEPCO,3484.5,0,69463.85408,5.0,SolarPV,0,1,0,0,0.35,0.19702688181746578,0.0,1
