Pmax (MW),Pmin (MW),Zone,Type,Flag_RET,Flag_thermal,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,FOR,Flag_RPS,AF
685.1,300.0,BGE,Coal,0,1,0,0,23.57,1.01,0.95,0.07,0,1.0
685.1,300.0,BGE,Coal,0,1,0,0,23.57,1.01,0.95,0.07,0,1.0
132.8,0.0,BGE,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
359.0,150.0,BGE,Coal,0,1,0,0,23.57,1.01,0.95,0.07,0,1.0
414.7,0.0,BGE,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
16.0,0.0,BGE,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
53.1,0.0,BGE,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
53.1,0.0,BGE,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
53.1,0.0,BGE,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
192.0,0.0,BGE,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
141.0,0.0,BGE,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
20.7,0.0,BGE,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
20.7,0.0,BGE,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
20.7,0.0,BGE,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
20.7,0.0,BGE,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
2.9,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
2.9,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
2.9,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
2.9,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
18.6,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
162.0,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
10.0,0.0,APS_MD,Hydro,0,0,1,0,0.0,0.0,0.5,0.035,1,1.0
10.0,0.0,APS_MD,Hydro,0,0,1,0,0.0,0.0,0.5,0.035,1,1.0
659.0,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
659.0,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
35.0,0.0,PEPCO,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
103.0,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
103.0,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
125.0,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
125.0,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
19.0,0.0,PEPCO,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
163.0,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
163.0,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
65.0,0.0,PEPCO,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
65.0,0.0,PEPCO,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
65.0,0.0,PEPCO,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
65.0,0.0,PEPCO,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
18.0,0.0,PEPCO,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
18.0,0.0,PEPCO,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
626.0,300.0,PEPCO,Coal,0,1,0,0,23.57,1.01,0.95,0.07,0,1.0
626.0,300.0,PEPCO,Coal,0,1,0,0,23.57,1.01,0.95,0.07,0,1.0
45.0,0.0,BGE,Hydro,0,0,1,0,0.0,0.0,0.5,0.035,1,1.0
55.6,0.0,BGE,Hydro,0,0,1,0,0.0,0.0,0.5,0.035,1,1.0
55.6,0.0,BGE,Hydro,0,0,1,0,0.0,0.0,0.5,0.035,1,1.0
36.0,0.0,BGE,Hydro,0,0,1,0,0.0,0.0,0.5,0.035,1,1.0
48.0,0.0,BGE,Hydro,0,0,1,0,0.0,0.0,0.5,0.035,1,1.0
47.7,0.0,BGE,Hydro,0,0,1,0,0.0,0.0,0.5,0.035,1,1.0
36.0,0.0,BGE,Hydro,0,0,1,0,0.0,0.0,0.5,0.035,1,1.0
47.7,0.0,BGE,Hydro,0,0,1,0,0.0,0.0,0.5,0.035,1,1.0
48.0,0.0,BGE,Hydro,0,0,1,0,0.0,0.0,0.5,0.035,1,1.0
55.6,0.0,BGE,Hydro,0,0,1,0,0.0,0.0,0.5,0.035,1,1.0
55.6,0.0,BGE,Hydro,0,0,1,0,0.0,0.0,0.5,0.035,1,1.0
3.5,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
1.5,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
1.5,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
3.8,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
4.1,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
5.6,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
5.6,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
2.5,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
2.5,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
3.0,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
1.5,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
1.5,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
5.4,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
5.4,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
6.2,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
6.2,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
6.3,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
6.3,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
918.0,700.0,PEPCO,Nuc,0,1,0,0,20.0,0.0,0.99,0.018,1,1.0
932.4,700.0,PEPCO,Nuc,0,1,0,0,20.0,0.0,0.99,0.018,1,1.0
0.5,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
1.0,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
1.1,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
2.5,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
2.0,0.0,DPL_MD,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
198.9,0.0,DPL_MD,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
175.9,0.0,DPL_MD,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
198.9,0.0,DPL_MD,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
198.9,0.0,DPL_MD,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
60.2,0.0,BGE,MSW,0,1,0,0,15.0,1.49,0.43,0.0,1,1.0
4.3,0.0,BGE,MSW,0,1,0,0,15.0,1.49,0.43,0.0,1,1.0
229.0,100.0,APS_MD,Coal,0,1,0,0,23.57,1.01,0.95,0.07,0,1.0
1.9,0.0,DPL_MD,Bio,0,1,0,0,20.0,0.99,0.43,0.0,1,1.0
1.9,0.0,DPL_MD,Bio,0,1,0,0,20.0,0.99,0.43,0.0,1,1.0
1.0,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
1.0,0.0,DPL_MD,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
0.9,0.0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.9,0.0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.9,0.0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
67.8,0.0,PEPCO,MSW,0,1,0,0,15.0,1.49,0.43,0.0,1,1.0
5.0,0.0,BGE,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
2.5,0.0,BGE,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
10.0,0.0,BGE,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
98.7,0.0,PEPCO,NGCC,0,1,0,0,18.75,0.4,0.98,0.035,0,1.0
98.7,0.0,PEPCO,NGCC,0,1,0,0,18.75,0.4,0.98,0.035,0,1.0
91.4,0.0,PEPCO,NGCC,0,1,0,0,18.75,0.4,0.98,0.035,0,1.0
1.0,0.0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
1.0,0.0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
1.0,0.0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
1.0,0.0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
11.0,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
11.0,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
5.4,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
2.1,0.0,BGE,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
1.0,0.0,BGE,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
1.0,0.0,BGE,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
1.0,0.0,BGE,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
28.0,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
