Pmax (MW),Pmin (MW),Zone,Type,Flag_thermal,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW),Flag_RET
685.1,300.0,BGE,Coal,1,0,0,23.57,1.01,0.95,0.07,0.06,0.36,0.36,1,24,24,124,0
685.1,300.0,BGE,Coal,1,0,0,23.57,1.01,0.95,0.07,0.06,0.36,0.36,1,24,24,124,0
132.8,0.0,BGE,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
359,150.0,BGE,Coal,1,0,0,23.57,1.01,0.95,0.07,0.06,0.36,0.36,1,24,24,124,0
414.7,0.0,BGE,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
16,0.0,BGE,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
53.1,0.0,BGE,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
53.1,0.0,BGE,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
53.1,0.0,BGE,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
192,0.0,BGE,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
141,0.0,BGE,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
20.7,0.0,BGE,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
20.7,0.0,BGE,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
20.7,0.0,BGE,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
20.7,0.0,BGE,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
2.9,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
2.9,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
2.9,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
2.9,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
18.6,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
162,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
10,0.0,APS_MD,Hydro,0,1,0,0,0,0.5,0.035,0,1,1,0,0,0,0,0
10,0.0,APS_MD,Hydro,0,1,0,0,0,0.5,0.035,0,1,1,0,0,0,0,0
659,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
659,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
35,0.0,PEPCO,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
103,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
103,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
125,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
125,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
19,0.0,PEPCO,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
163,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
163,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
65,0.0,PEPCO,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
65,0.0,PEPCO,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
65,0.0,PEPCO,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
65,0.0,PEPCO,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
18,0.0,PEPCO,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
18,0.0,PEPCO,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
626,300.0,PEPCO,Coal,1,0,0,23.57,1.01,0.95,0.07,0.06,0.36,0.36,1,24,24,124,0
626,300.0,PEPCO,Coal,1,0,0,23.57,1.01,0.95,0.07,0.06,0.36,0.36,1,24,24,124,0
45,0.0,BGE,Hydro,0,1,0,0,0,0.5,0.035,0,1,1,0,0,0,0,0
55.6,0.0,BGE,Hydro,0,1,0,0,0,0.5,0.035,0,1,1,0,0,0,0,0
55.6,0.0,BGE,Hydro,0,1,0,0,0,0.5,0.035,0,1,1,0,0,0,0,0
36,0.0,BGE,Hydro,0,1,0,0,0,0.5,0.035,0,1,1,0,0,0,0,0
48,0.0,BGE,Hydro,0,1,0,0,0,0.5,0.035,0,1,1,0,0,0,0,0
47.7,0.0,BGE,Hydro,0,1,0,0,0,0.5,0.035,0,1,1,0,0,0,0,0
36,0.0,BGE,Hydro,0,1,0,0,0,0.5,0.035,0,1,1,0,0,0,0,0
47.7,0.0,BGE,Hydro,0,1,0,0,0,0.5,0.035,0,1,1,0,0,0,0,0
48,0.0,BGE,Hydro,0,1,0,0,0,0.5,0.035,0,1,1,0,0,0,0,0
55.6,0.0,BGE,Hydro,0,1,0,0,0,0.5,0.035,0,1,1,0,0,0,0,0
55.6,0.0,BGE,Hydro,0,1,0,0,0,0.5,0.035,0,1,1,0,0,0,0,0
3.5,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
1.5,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
1.5,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
3.8,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
4.1,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
