Zone,Pmax (MW),Pmin (MW),Cost (M$),Cost ($/MWh),Type,Flag_thermal,Flag_VRE,EF,CC
APS_MD,5000,0,85.5911602,26.3,NGCT,1,0,0.59,0.98
APS_MD,5000,0,113.641,18.75,NGCC,1,0,0.4,0.98
APS_MD,5000,0,562.747,23.57,Coal,1,0,1.01,0.95
APS_MD,2000,0,95.10519809,0,WindOn,0,1,0,0.28
APS_MD,1000,0,115.9867087,0,SolarPV,0,1,0,0.35
APS_MD,8000,0,465.0597261,20,Nuc,1,0,0,0.99
DPL_MD,5000,0,85.5911602,26.3,NGCT,1,0,0.59,0.98
DPL_MD,5000,0,113.641,18.75,NGCC,1,0,0.4,0.98
DPL_MD,5000,0,562.747,23.57,Coal,1,0,1.01,0.95
DPL_MD,2000,0,95.10519809,0,WindOn,0,1,0,0.28
DPL_MD,1000,0,115.9867087,0,SolarPV,0,1,0,0.35
DPL_MD,8000,0,465.0597261,20,Nuc,1,0,0,0.99
BGE,5000,0,85.5911602,26.3,NGCT,1,0,0.59,0.98
BGE,5000,0,113.641,18.75,NGCC,1,0,0.4,0.98
BGE,5000,0,562.747,23.57,Coal,1,0,1.01,0.95
BGE,2000,0,95.10519809,0,WindOn,0,1,0,0.28
BGE,1000,0,115.9867087,0,SolarPV,0,1,0,0.35
BGE,8000,0,465.0597261,20,Nuc,1,0,0,0.99
PEPCO,5000,0,85.5911602,26.3,NGCT,1,0,0.59,0.98
PEPCO,5000,0,113.641,18.75,NGCC,1,0,0.4,0.98
PEPCO,5000,0,562.747,23.57,Coal,1,0,1.01,0.95
PEPCO,2000,0,95.10519809,0,WindOn,0,1,0,0.28
PEPCO,1000,0,115.9867087,0,SolarPV,0,1,0,0.35
PEPCO,8000,0,465.0597261,20,Nuc,1,0,0,0.99
