Month,Day,Period,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD,NI
1,1,1,0.114045789,0.136186542,0.137281836,0.137917086,0.137281836,0.137917086,-2944.49
1,1,2,0.081930155,0.112873815,0.114248808,0.112942129,0.114248808,0.112942129,-2764.49
1,1,3,0.0661142,0.089520254,0.095488472,0.094276886,0.095488472,0.094276886,-2556.9
1,1,4,0.045981002,0.078999167,0.085843282,0.085374291,0.085843282,0.085374291,-2437
1,1,5,0.049919692,0.074172686,0.082383934,0.085526731,0.082383934,0.085526731,-2423.4
1,1,6,0.049312651,0.081332008,0.086813038,0.092874551,0.086813038,0.092874551,-2516.7
1,1,7,0.069782582,0.095454789,0.101764647,0.110402593,0.101764647,0.110402593,-2203.8
1,1,8,0.085009332,0.109490134,0.116331025,0.128741055,0.116331025,0.128741055,-2282.1
1,1,9,0.094275462,0.127461226,0.137217865,0.15746782,0.137217865,0.15746782,-2451.1
1,1,10,0.121245398,0.155841516,0.167221257,0.189120959,0.167221257,0.189120959,-2725.8
1,1,11,0.15220784,0.187351025,0.193811697,0.217723547,0.193811697,0.217723547,-2970.3
1,1,12,0.166492048,0.208534619,0.206111327,0.229447062,0.206111327,0.229447062,-3168.5
1,1,13,0.170220395,0.214154479,0.208980877,0.233843778,0.208980877,0.233843778,-3252.9
1,1,14,0.170825283,0.214366954,0.211294725,0.229724915,0.211294725,0.229724915,-3225.79
1,1,15,0.171255193,0.215345354,0.199745522,0.213370814,0.199745522,0.213370814,-3210
1,1,16,0.17138435,0.217796314,0.198753974,0.218373047,0.198753974,0.218373047,-3117.4
1,1,17,0.188240945,0.237952369,0.218977204,0.238635282,0.218977204,0.238635282,-3227.9
1,1,18,0.221807141,0.273553348,0.255027952,0.267449129,0.255027952,0.267449129,-3457.8
1,1,19,0.213218166,0.271710283,0.251438554,0.257073367,0.251438554,0.257073367,-3479.49
1,1,20,0.204614122,0.251908584,0.232233585,0.244517353,0.232233585,0.244517353,-3376.79
1,1,21,0.194567819,0.234367517,0.210710551,0.217925268,0.210710551,0.217925268,-3190.5
1,1,22,0.166185145,0.206271219,0.183824157,0.192154377,0.183824157,0.192154377,-3061.6
1,1,23,0.142775343,0.170198919,0.149291839,0.16126361,0.149291839,0.16126361,-2721.8
1,1,24,0.116156284,0.131671737,0.108586683,0.122903496,0.108586683,0.122903496,-2344.5
1,2,1,0.078232559,0.098102305,0.077561515,0.100356969,0.077561515,0.100356969,-2472
1,2,2,0.052853413,0.074286882,0.057509108,0.075376713,0.057509108,0.075376713,-2408.7
1,2,3,0.041041649,0.056598167,0.045331445,0.068655961,0.045331445,0.068655961,-2258.1
1,2,4,0.036021112,0.051264837,0.040176166,0.062344657,0.040176166,0.062344657,-2207.7
1,2,5,0.045141478,0.047386996,0.04239722,0.065780458,0.04239722,0.065780458,-2198.3
1,2,6,0.044706955,0.066369479,0.051936964,0.079263473,0.051936964,0.079263473,-2172.8
1,2,7,0.055220686,0.083233209,0.073466676,0.102180941,0.073466676,0.102180941,-1820.4
1,2,8,0.073424516,0.105627057,0.095741895,0.136951402,0.095741895,0.136951402,-1965.5
1,2,9,0.090012341,0.124344926,0.125813476,0.170705836,0.125813476,0.170705836,-2166.3
1,2,10,0.115298924,0.156128507,0.161781272,0.204361529,0.161781272,0.204361529,-2446.1
