Technology,Zone,EC_Category,New_Build,Capacity_INI (MW),Capacity_RET (MW),Capacity_FIN (MW)
Coal,BGE,Existing,0,1729.2,1729.2,0.0
Oil,BGE,Existing,0,805.6000000000003,805.6000000000003,0.0
NGCT,BGE,Existing,0,360.5,0.0,360.5
Hydro,BGE,Existing,0,530.8,0.0,530.8
MSW,BGE,Existing,0,64.5,0.0,64.5
Bio,BGE,Existing,0,2.2,0.0,2.2
Landfill_NG,BGE,Existing,0,6.199999999999999,0.0,6.199999999999999
SolarPV,BGE,Existing,0,61.99999999999999,0.0,61.99999999999999
Oil,DPL_MD,Existing,0,271.7,271.7,0.0
NGCT,DPL_MD,Existing,0,774.6,0.0,774.6
Bio,DPL_MD,Existing,0,3.8,0.0,3.8
Landfill_NG,DPL_MD,Existing,0,5.399999999999999,0.0,5.399999999999999
NGCC,DPL_MD,Existing,0,1113.6,0.0,1113.6
SolarPV,DPL_MD,Existing,0,174.09999999999997,0.0,174.09999999999997
Coal,APS_MD,Existing,0,229.0,229.0,0.0
Hydro,APS_MD,Existing,0,20.0,0.0,20.0
WindOn,APS_MD,Existing,0,190.0,0.0,190.0
SolarPV,APS_MD,Existing,0,109.3,0.0,109.3
Coal,PEPCO,Existing,0,1252.0,1252.0,0.0
Oil,PEPCO,Existing,0,372.90000000000003,372.90000000000003,0.0
NGCT,PEPCO,Existing,0,2272.3000000000006,0.0,2272.3000000000006
Nuc,PEPCO,Existing,0,1850.4,0.0,1850.4
MSW,PEPCO,Existing,0,67.8,0.0,67.8
Landfill_NG,PEPCO,Existing,0,7.7,0.0,7.7
NGCC,PEPCO,Existing,0,1919.1999999999998,0.0,1919.1999999999998
SolarPV,PEPCO,Existing,0,65.3,0.0,65.3
NGCT,APS_MD,Candidate,0,0.0,0.0,0.0
NGCC,APS_MD,Candidate,1,0.0,0.0,1675.4627552411134
WindOn,APS_MD,Candidate,1,0.0,0.0,4000.0
WindOff,APS_MD,Candidate,1,0.0,0.0,4000.0
SolarPV,APS_MD,Candidate,1,0.0,0.0,4000.0
NGCT,DPL_MD,Candidate,0,0.0,0.0,0.0
NGCC,DPL_MD,Candidate,0,0.0,0.0,0.0
Coal,DPL_MD,Candidate,1,0.0,0.0,2139.89999163251
WindOn,DPL_MD,Candidate,1,0.0,0.0,4000.0
WindOff,DPL_MD,Candidate,1,0.0,0.0,4000.0
SolarPV,DPL_MD,Candidate,1,0.0,0.0,4000.0
NGCT,BGE,Candidate,0,0.0,0.0,0.0
NGCC,BGE,Candidate,1,0.0,0.0,954.1516530906897
WindOn,BGE,Candidate,1,0.0,0.0,4000.0
WindOff,BGE,Candidate,1,0.0,0.0,4000.0
SolarPV,BGE,Candidate,1,0.0,0.0,4000.0
NGCT,PEPCO,Candidate,0,0.0,0.0,0.0
NGCC,PEPCO,Candidate,1,0.0,0.0,935.4793708850017
WindOn,PEPCO,Candidate,1,0.0,0.0,4000.0
WindOff,PEPCO,Candidate,1,0.0,0.0,4000.0
SolarPV,PEPCO,Candidate,1,0.0,0.0,4000.0
