From_zone,To_zone,EC_Category,New_Build,AnnSum,t1h1,t1h2,t1h3,t1h4,t1h5,t1h6,t1h7,t1h8,t1h9,t1h10,t1h11,t1h12,t1h13,t1h14,t1h15,t1h16,t1h17,t1h18,t1h19,t1h20,t1h21,t1h22,t1h23,t1h24,t2h1,t2h2,t2h3,t2h4,t2h5,t2h6,t2h7,t2h8,t2h9,t2h10,t2h11,t2h12,t2h13,t2h14,t2h15,t2h16,t2h17,t2h18,t2h19,t2h20,t2h21,t2h22,t2h23,t2h24,t3h1,t3h2,t3h3,t3h4,t3h5,t3h6,t3h7,t3h8,t3h9,t3h10,t3h11,t3h12,t3h13,t3h14,t3h15,t3h16,t3h17,t3h18,t3h19,t3h20,t3h21,t3h22,t3h23,t3h24,t4h1,t4h2,t4h3,t4h4,t4h5,t4h6,t4h7,t4h8,t4h9,t4h10,t4h11,t4h12,t4h13,t4h14,t4h15,t4h16,t4h17,t4h18,t4h19,t4h20,t4h21,t4h22,t4h23,t4h24
BGE,PEPCO,Existing,0,90823.56880820738,1500.0,1500.0,1500.0,-362.8994075382632,1500.0,705.0509970349183,203.2295026279083,1500.0,623.5391193706575,152.66371566877592,167.75846782793525,104.88708027466834,52.385693032586914,1500.0,1500.0,1500.0,1500.0,-9.470709325969437,1500.0,1500.0,1500.0,1500.0,-811.6330596430871,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,385.66448874000923,1500.0,1500.0,1500.0,1500.0,1500.0,167.84642321806837,1500.0,1500.0,1500.0,1500.0,799.930341168232,-881.7801821575026,1500.0,1500.0,449.3262113540502,-848.0528920530007,-322.4589904109058,1500.0,1500.0,1500.0,626.5346649973308,1500.0,-108.3879008411709,1500.0,1500.0,-284.1003544928094,156.64995208089226,1500.0,1500.0,1500.0,1500.0,131.3864899012845,1500.0,1500.0,1500.0,1500.0,1500.0,360.01687353739106,211.40782539663476,1500.0,1500.0,1040.0582853059996,41.98496779279505,1500.0,1500.0,719.7538482398476,170.61127182599938,63.65536217167755,464.86971404097176,1500.0,457.04005467893353,770.3900724993701,458.8658304263017,636.7221178675028,1184.354401833714,1500.0,490.8596781375303,699.7281979811708,1500.0,973.2662562641165,214.12613804487904,1.1398018730364043,555.8614958529795,663.2864656106561,556.8126785536851,990.6878194375627
BGE,PEPCO,Existing,0,76030.52378014283,204.97384589231297,-407.97002761568854,469.48470395376313,1500.0,287.8858138519753,1500.0,1500.0,169.5722162760524,1500.0,1500.0,1500.0,1500.0,1500.0,226.7735884732379,470.87362189013083,865.96192901017,-154.27646558872507,1500.0,147.74571730632886,215.46262082852652,-83.38655019982934,-356.0110670006516,1500.0,922.6235276321228,-404.7070466632513,83.19156962967895,-91.59456383157635,-544.7349913860544,156.01206832678866,1500.0,-182.4614631089723,-396.76217930779984,444.3310379797357,-751.6363176144528,-2.036928093834831,1500.0,631.1652210684781,438.1951115473564,1166.8813726101023,-29.650845152885267,1500.0,1500.0,-17.545888153832266,955.4814742766157,1500.0,1500.0,1500.0,-627.5984333035418,517.5621373477682,-232.01316374370077,1500.0,1402.0653261369407,1500.0,22.844834541270075,527.1423519888083,1500.0,1500.0,939.5538429571995,-37.14961113201452,-30.084933822277833,379.55195496446686,1500.0,-701.055351208905,-154.47467513108268,-46.28637333185952,360.18933088856164,-173.71649806188287,1500.0,1500.0,1107.2205783541629,-111.23814565079277,1500.0,1500.0,-208.64606762729198,726.8808155962222,1500.0,1500.0,1500.0,1500.0,1145.0258046995846,1500.0,1500.0,1500.0,1500.0,1500.0,238.7566087154878,1500.0,1500.0,552.1523401298864,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
PEPCO,BGE,Existing,0,144000.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
PEPCO,APS_MD,Existing,0,133074.03255712485,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1128.4645548397843,1500.0,1259.8543960464924,142.71880464270674,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1329.4820864438202,1421.7104811597803,1348.2829620057066,1385.0415449303975,1216.207810824173,552.4274141375329,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,-573.0530775683504,1500.0,1500.0,866.8760024112921,993.3589148817289,1500.0,1500.0,1105.4677208809255,1500.0,1500.0,1493.9414246054375,1500.0,1378.6171616424276,1500.0,-1320.1304819227203,1500.0,1500.0,1500.0,1500.0,1500.0,844.7648371637262,1500.0,1500.0
BGE,DPL_MD,Existing,0,-5319.731930621254,364.28553781164453,400.0,84.05184827659025,400.0,400.0,400.0,19.6158150944501,400.0,-400.0,251.22976401435744,225.93535270606458,242.74399596536904,-400.0,22.0696390023233,78.16029455089216,-292.4353954915617,-31.820789598156722,153.54046732685958,-122.12075387613132,-160.69427326202361,81.71139873928007,109.54098699605655,400.0,400.0,-113.62057943439345,-400.0,400.0,400.0,400.0,-75.46723538577935,227.9628809476557,389.5107681205666,269.7042504310002,400.0,400.0,276.7777552731725,-400.0,-400.0,-400.0,-400.0,-400.0,284.5790233583905,-400.0,-400.0,-103.0149400125515,44.0939926118167,52.7603710502014,-212.24334756799465,331.2548246566471,160.41804324202735,-400.0,-400.0,308.35861212772033,400.0,400.0,400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-43.034664659300645,203.39887317577563,52.83792315259926,-250.45666411479925,-149.9847083816402,-321.0635520090452,233.33282802897696,-400.0,-2.8682459820381325,-184.22022663005976,-391.70597818932026,52.36976977171727,-400.0,338.9672469980936,147.01664067616014,-400.0,-289.52860964890203,-400.0,-247.19993602933914,-400.0,-400.0,-400.0,31.948620500239485,-400.0,-400.0,-400.0,-400.0,-293.4964443376248,-69.27340687524827,-400.0,-41.98210513745755,-223.7400189503262,-337.9375796542072,-400.0,-400.0
PEPCO,APS_MD,Existing,0,9644.560073930572,400.0,-400.0,400.0,400.0,400.0,400.0,-400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,-400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,-400.0,400.0,400.0,400.0,400.0,400.0,400.0,-400.0,-400.0,-400.0,-400.0,-400.0,400.0,400.0,400.0,400.0,400.0,400.0,-400.0,400.0,400.0,400.0,-400.0,400.0,-400.0,-400.0,-400.0,400.0,-400.0,-400.0,-400.0,400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,400.0,400.0,-400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,-400.0,400.0,-400.0,400.0,400.0,-400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,-355.4399260694277,-400.0
PEPCO,APS_MD,Existing,0,13954.774328779384,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0,400.0,400.0,-400.0,400.0,400.0,-400.0,-400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,-400.0,400.0,400.0,400.0,400.0,400.0,-400.0,-400.0,-400.0,400.0,400.0,400.0,400.0,-400.0,-400.0,400.0,400.0,400.0,400.0,-45.225671220616775,400.0,400.0,400.0,400.0
APS,APS_MD,Existing,0,-142293.23491842818,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1377.9534485923393,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,84.71853016415605
APS,APS_MD,Existing,0,-88646.56359850624,487.6279043102545,857.0188524054768,427.7921576711681,-558.4127302364986,-182.30998989356152,-107.79542507207077,-612.9851168640555,-583.7651049027046,-851.371887175281,-953.5803978744166,-1014.4342780414495,-1131.9828797180453,-1274.4684096577478,-1137.8810760778301,-1087.9103362623916,-674.0266750258344,-1500.0,-1428.0583580880013,-1309.9445277299828,-1207.7743230388612,-989.9090636868991,-1350.424823100228,-1160.640961062003,69.99966617374128,-680.3389014600625,-418.2978708795507,-402.52750710110695,-437.9622427989459,304.83186966256585,-184.09142366112394,-769.6761683692998,-788.5762270764931,-467.9977658280295,-905.544632811621,-606.9151693004777,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1011.1553154430107,-969.2091567299085,-522.9924188411871,-1312.187424888944,0.4990430671447257,-52.13777712293745,346.11761749415194,416.80527995526984,36.57585725938907,-481.89834941078425,-593.8855401622791,-1294.1069098901166,-947.221106310314,-364.9498035333474,-888.5083230448301,-1255.4890642549149,-1317.6862203227702,-1048.6718821889565,-579.8198497300282,-1412.903856478139,-993.1194526639334,-1388.8884514140213,-890.2129347906787,-1234.449304282352,-393.8688509538165,-992.1470284694004,-1410.9145076186087,-393.9729347161817,-1500.0,-1500.0,806.4326543069801,-1261.3645406705723,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,391.10077591420486,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0
APS,APS_MD,Existing,0,141466.6180803459,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,821.6859975352145,1500.0,1500.0,1500.0,1500.0,1500.0,1053.586432333228,1019.3701705585909,1121.4834783803533,1500.0,950.4920015385067,1500.0,1500.0,1500.0
