Month,Day,Period,BGE,APS,PEPCO,DPL,DPL_MD,APS_MD,NI
1,1,1,0.425723465,0.475651594,0.429590913,0.39682833,0.39682833,0.475651594,4434.472892
1,1,2,0.410224804,0.460460968,0.408913716,0.380724728,0.380724728,0.460460968,4163.388554
1,1,3,0.394698995,0.449108127,0.398730838,0.36760839,0.36760839,0.449108127,3850.753012
1,1,4,0.387704414,0.443693263,0.385768363,0.36086493,0.36086493,0.443693263,3670.180723
1,1,5,0.384495695,0.443785982,0.388304232,0.358446318,0.358446318,0.443785982,3649.698795
1,1,6,0.389255323,0.448255178,0.387913398,0.361542938,0.361542938,0.448255178,3790.210843
1,1,7,0.398644366,0.458916335,0.401092673,0.371996394,0.371996394,0.458916335,3318.975904
1,1,8,0.40797528,0.470070417,0.410896201,0.382180516,0.382180516,0.470070417,3436.89759
1,1,9,0.41992274,0.487543021,0.416862067,0.396783605,0.396783605,0.487543021,3691.415663
1,1,10,0.438790395,0.506795546,0.43422628,0.417760555,0.417760555,0.506795546,4105.120482
1,1,11,0.459738404,0.524192621,0.45416101,0.436351331,0.436351331,0.524192621,4473.343373
1,1,12,0.473821584,0.531323266,0.463357695,0.44495065,0.44495065,0.531323266,4771.837349
1,1,13,0.477557754,0.533997499,0.465758138,0.446956903,0.446956903,0.533997499,4898.945783
1,1,14,0.47769901,0.531492265,0.466147587,0.448574636,0.448574636,0.531492265,4858.11747
1,1,15,0.478349466,0.52154514,0.466424378,0.440499981,0.440499981,0.52154514,4834.337349
1,1,16,0.479978902,0.52458767,0.466507535,0.439806737,0.439806737,0.52458767,4694.879518
1,1,17,0.493378959,0.536911856,0.477360415,0.453945862,0.453945862,0.536911856,4861.295181
1,1,18,0.51704704,0.554437427,0.498971535,0.479150837,0.479150837,0.554437427,5207.53012
1,1,19,0.515821742,0.548126532,0.493441645,0.476641299,0.476641299,0.548126532,5240.195783
1,1,20,0.502657266,0.540489534,0.487902053,0.463214095,0.463214095,0.540489534,5085.527108
1,1,21,0.490995694,0.524315315,0.481433883,0.448166209,0.448166209,0.524315315,4804.96988
1,1,22,0.472316841,0.508640575,0.4631601,0.429368517,0.429368517,0.508640575,4610.843373
1,1,23,0.448335418,0.489851751,0.44808803,0.405225156,0.405225156,0.489851751,4099.096386
1,1,24,0.422721953,0.466519814,0.430949726,0.376766039,0.376766039,0.466519814,3530.873494
1,2,1,0.400404476,0.452806242,0.406533072,0.355074711,0.355074711,0.452806242,3722.891566
