Technology,Zone,EC_Category,New_Build,Capacity_INI (MW),Capacity_RET (MW),Capacity_FIN (MW)
Hydro,APS_MD,Existing,0,20.0,0.0,20.0
WindOn,APS_MD,Existing,0,190.0,0.0,190.0
SolarPV,APS_MD,Existing,0,109.3,0.0,109.3
Hydro,BGE,Existing,0,530.8,0.0,530.8
MSW,BGE,Existing,0,64.5,0.0,64.5
Bio,BGE,Existing,0,2.2,0.0,2.2
Landfill_NG,BGE,Existing,0,6.199999999999999,0.0,6.199999999999999
SolarPV,BGE,Existing,0,61.99999999999999,0.0,61.99999999999999
Nuc,PEPCO,Existing,0,1850.4,0.0,1850.4
MSW,PEPCO,Existing,0,67.8,0.0,67.8
Landfill_NG,PEPCO,Existing,0,7.7,0.0,7.7
SolarPV,PEPCO,Existing,0,65.3,0.0,65.3
Bio,DPL_MD,Existing,0,3.8,0.0,3.8
Landfill_NG,DPL_MD,Existing,0,5.399999999999999,0.0,5.399999999999999
SolarPV,DPL_MD,Existing,0,174.09999999999997,0.0,174.09999999999997
WindOff,DPL_MD,Existing,0,2000.0,0.0,2000.0
NGCT_CCS,APS_MD,Candidate,1,0.0,0.0,327.620401796254
NGCC_CCS,APS_MD,Candidate,0,0.0,0.0,0.0
WindOn,APS_MD,Candidate,1,0.0,0.0,4000.0
SolarPV,APS_MD,Candidate,1,0.0,0.0,4000.0
NGCT_CCS,DPL_MD,Candidate,0,0.0,0.0,0.0
NGCC_CCS,DPL_MD,Candidate,0,0.0,0.0,0.0
WindOn,DPL_MD,Candidate,1,0.0,0.0,4000.0
WindOff,DPL_MD,Candidate,1,0.0,0.0,2653.057177249093
SolarPV,DPL_MD,Candidate,1,0.0,0.0,4000.0
NGCT_CCS,BGE,Candidate,1,0.0,0.0,222.26037846887664
NGCC_CCS,BGE,Candidate,0,0.0,0.0,0.0
WindOn,BGE,Candidate,1,0.0,0.0,4000.0
SolarPV,BGE,Candidate,1,0.0,0.0,4000.0
NGCT_CCS,PEPCO,Candidate,1,0.0,0.0,177.57917663518614
NGCC_CCS,PEPCO,Candidate,0,0.0,0.0,0.0
WindOn,PEPCO,Candidate,1,0.0,0.0,4000.0
SolarPV,PEPCO,Candidate,1,0.0,0.0,4000.0
