Month,Day,Period,BGE,APS,PEPCO,DPL,DPL_MD,APS_MD,NI
1,1,1,0.469072978,0.51954055,0.473717446,0.440827404,0.440827404,0.51954055,4434.472892
1,1,2,0.45474424,0.505621408,0.454639825,0.425898498,0.425898498,0.505621408,4163.388554
1,1,3,0.440390403,0.495218822,0.445244689,0.413738947,0.413738947,0.495218822,3850.753012
1,1,4,0.433923811,0.490257192,0.433284984,0.407487397,0.407487397,0.490257192,3670.180723
1,1,5,0.430957304,0.49034215,0.43562468,0.405245213,0.405245213,0.49034215,3649.698795
1,1,6,0.435357649,0.494437266,0.43526408,0.408115947,0.408115947,0.494437266,3790.210843
1,1,7,0.444037956,0.504206064,0.447423814,0.417806863,0.417806863,0.504206064,3318.975904
1,1,8,0.452664522,0.514426528,0.456468946,0.427248092,0.427248092,0.514426528,3436.89759
1,1,9,0.463710123,0.530436642,0.461973296,0.440785942,0.440785942,0.530436642,3691.415663
1,1,10,0.481153545,0.548077694,0.477994223,0.460232703,0.460232703,0.548077694,4105.120482
1,1,11,0.500520284,0.564018601,0.496386813,0.477467353,0.477467353,0.564018601,4473.343373
1,1,12,0.513540389,0.570552398,0.504872048,0.485439384,0.485439384,0.570552398,4771.837349
1,1,13,0.516994533,0.573002792,0.507086794,0.487299289,0.487299289,0.573002792,4898.945783
1,1,14,0.517125126,0.570707251,0.507446115,0.488799014,0.488799014,0.570707251,4858.11747
1,1,15,0.517726482,0.561592719,0.507701494,0.481313375,0.481313375,0.561592719,4834.337349
1,1,16,0.51923292,0.564380584,0.507778218,0.4806707,0.4806707,0.564380584,4694.879518
1,1,17,0.531621468,0.575673212,0.517791525,0.49377843,0.49377843,0.575673212,4861.295181
1,1,18,0.553502953,0.591731859,0.537730821,0.517144798,0.517144798,0.591731859,5207.53012
1,1,19,0.552370147,0.585949198,0.53262872,0.514818321,0.514818321,0.585949198,5240.195783
1,1,20,0.540199397,0.578951432,0.527517668,0.502370581,0.502370581,0.578951432,5085.527108
1,1,21,0.529418104,0.564131025,0.521549872,0.48842038,0.48842038,0.564131025,4804.96988
1,1,22,0.512149233,0.549768291,0.504689739,0.470993908,0.470993908,0.549768291,4610.843373
1,1,23,0.489978058,0.532552127,0.490783636,0.448611714,0.448611714,0.532552127,4099.096386
1,1,24,0.466298036,0.511173117,0.474971142,0.422228581,0.422228581,0.511173117,3530.873494
1,2,1,0.445665204,0.498607397,0.452443347,0.402119552,0.402119552,0.498607397,3722.891566
1,2,2,0.431027492,0.484685302,0.437367395,0.389122542,0.389122542,0.484685302,3627.560241
