Technology,Zone,EC_Category,New_Build,Capacity_INI (MW),Capacity_RET (MW),Capacity_FIN (MW)
NGCT_CCS,BGE,Existing,0,360.5,0.0,360.5
Hydro,BGE,Existing,0,530.8,0.0,530.8
MSW,BGE,Existing,0,64.5,0.0,64.5
Bio,BGE,Existing,0,2.2,0.0,2.2
Landfill_NG,BGE,Existing,0,6.199999999999999,0.0,6.199999999999999
SolarPV,BGE,Existing,0,61.99999999999999,0.0,61.99999999999999
Hydro,APS_MD,Existing,0,20.0,0.0,20.0
WindOn,APS_MD,Existing,0,190.0,0.0,190.0
SolarPV,APS_MD,Existing,0,109.3,0.0,109.3
NGCT_CCS,PEPCO,Existing,0,2272.3000000000006,0.0,2272.3000000000006
Nuc,PEPCO,Existing,0,1850.4,0.0,1850.4
MSW,PEPCO,Existing,0,67.8,0.0,67.8
Landfill_NG,PEPCO,Existing,0,7.7,0.0,7.7
NGCC_CCS,PEPCO,Existing,0,1919.1999999999998,0.0,1919.1999999999998
SolarPV,PEPCO,Existing,0,65.3,0.0,65.3
NGCT_CCS,DPL_MD,Existing,0,774.6,0.0,774.6
Bio,DPL_MD,Existing,0,3.8,0.0,3.8
Landfill_NG,DPL_MD,Existing,0,5.399999999999999,0.0,5.399999999999999
NGCC_CCS,DPL_MD,Existing,0,1113.6,0.0,1113.6
SolarPV,DPL_MD,Existing,0,174.09999999999997,0.0,174.09999999999997
WindOff,DPL_MD,Existing,0,2000.0,0.0,2000.0
NGCT_CCS,APS_MD,Candidate,0,0.0,0.0,0.0
NGCC_CCS,APS_MD,Candidate,0,0.0,0.0,0.0
WindOn,APS_MD,Candidate,1,0.0,0.0,3480.846273369313
SolarPV,APS_MD,Candidate,1,0.0,0.0,2500.0
NGCT_CCS,DPL_MD,Candidate,0,0.0,0.0,0.0
NGCC_CCS,DPL_MD,Candidate,0,0.0,0.0,0.0
WindOn,DPL_MD,Candidate,0,0.0,0.0,0.0
WindOff,DPL_MD,Candidate,0,0.0,0.0,0.0
SolarPV,DPL_MD,Candidate,1,0.0,0.0,13.703307849420376
NGCT_CCS,BGE,Candidate,0,0.0,0.0,0.0
NGCC_CCS,BGE,Candidate,0,0.0,0.0,0.0
WindOn,BGE,Candidate,0,0.0,0.0,0.0
SolarPV,BGE,Candidate,1,0.0,0.0,2500.0
NGCT_CCS,PEPCO,Candidate,0,0.0,0.0,0.0
NGCC_CCS,PEPCO,Candidate,0,0.0,0.0,0.0
WindOn,PEPCO,Candidate,0,0.0,0.0,0.0
SolarPV,PEPCO,Candidate,1,0.0,0.0,2500.0
