Zone,Pmax (MW),Pmin (MW),Cost ($/MW/yr),Cost ($/MWh),Type,Flag_thermal,Flag_VRE,Flag_mustrun,EF,CC,AF
AP_MD,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
AP_MD,5000.0,0,113641,23.76,NGCC,1,0,0,0.4,0.98,1
AP_PA,5000.0,0,113641,23.76,NGCC,1,0,0,0.4,0.98,1
AP_PA,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
AP_PA,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
DPL_DE,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
DPL_DE,5000.0,0,113641,23.76,NGCC,1,0,0,0.4,0.98,1
DPL_MD,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
DPL_MD,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
DPL_MD,10000.0,0,260766,0,WindOff,0,1,0,0,0.28,1
BC_MD,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
BC_MD,5000.0,0,113641,23.76,NGCC,1,0,0,0.4,0.98,1
BC_MD,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
BC_MD,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
PEP_MD,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
PEP_MD,5000.0,0,113641,23.76,NGCC,1,0,0,0.4,0.98,1
PEP_MD,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
PEP_MD,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
AEP_IN,5000.0,0,113641,23.76,NGCC,1,0,0,0.4,0.98,1
ATSI_OH,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
AE_NJ,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
AE_NJ,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
AE_NJ,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
AEP_VA,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
AEP_VA,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
AEP_VA,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
AEP_WV,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
AEP_WV,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
AEP_WV,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
AEP_KY,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
AEP_KY,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
AEP_KY,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
AEP_TN,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
AEP_TN,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
AEP_TN,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
AEP_OH,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
AEP_OH,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
AEP_OH,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
AEP_MI,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
AEP_MI,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
AEP_MI,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
AEP_IN,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
AEP_IN,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
AEP_IN,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
AP_WV,10000.0,0,97201.13324,0,WindOn,0,1,0,0,0.28,1
AP_WV,10000.0,0,69463.85408,0,SolarPV,0,1,0,0,0.35,1
AP_WV,5000.0,0,85591.1602,33.65,NGCT,1,0,0,0.59,0.98,1
