From_zone,To_zone,X,Capacity (MW),Cost (M$)
AP_MD,BC_MD,0.0139,2000.0,3.0
AP_MD,PEP_MD,0.2112,2200.0,55.0
AP_MD,DPL_DE,0.0845,2200.0,22.0
BC_MD,PEP_MD,0.192,2200.0,50.0
BC_MD,DPL_MD,0.1267,2200.0,33.0
PEP_MD,DPL_DE,0.119,2200.0,31.0
AP_PA,BC_MD,0.0839,6000.0,50.0
AP_PA,PEP_MD,0.03025,4000.0,16.0
AP_PA,DPL_MD,0.0307,4400.0,16.0
BC_MD,PEP_MD,0.0839,6000.0,50.0
BC_MD,DPL_MD,0.0839,6000.0,50.0
PEP_MD,DPL_MD,0.0839,6000.0,50.0
PE_PA,ME_PA,0.0139,1500.0,22.0
PE_PA,PL_PA,0.0139,1500.0,22.0
PE_PA,PL_PA,0.0139,1500.0,22.0
AE_NJ,DPL_DE,0.0139,1500.0,22.0
JC_NJ,AE_NJ,0.0139,1500.0,22.0
JC_NJ,PS_NJ,0.0139,1500.0,22.0
JC_NJ,PE_PA,0.0139,1500.0,22.0
JC_NJ,PL_PA,0.0139,1500.0,22.0
JC_NJ,PS_NJ,0.0139,1500.0,22.0
PS_NJ,JC_NJ,0.0139,1500.0,22.0
PS_NJ,JC_NJ,0.0139,1500.0,22.0
PL_PA,JC_NJ,0.0139,1500.0,22.0
PL_PA,AP_PA,0.0139,1500.0,22.0
PL_PA,ME_PA,0.0139,1500.0,22.0
CE_IL,AEP_IN,0.0139,2200.0,31.0
AEP_WV,AP_WV,0.0139,2200.0,31.0
AEP_IN,DAY_OH,0.0139,2200.0,31.0
DAY_OH,AEP_OH,0.0139,2200.0,31.0
AEP_IN,AEP_WV,0.0139,2200.0,31.0
AEP_IN,AEP_WV,0.0139,2200.0,31.0
AEP_WV,AEP_IN,0.0139,2200.0,31.0
AEP_WV,AEP_IN,0.0139,2200.0,31.0
AEP_WV,AEP_IN,0.0139,2200.0,31.0
AEP_WV,AEP_KY,0.0139,2200.0,31.0
AEP_KY,AEP_VA,0.0139,2200.0,31.0
AEP_VA,AEP_WV,0.0139,2200.0,31.0
PS_NJ,PE_PA,0.0139,2200.0,31.0
PS_NJ,PE_PA,0.0139,2200.0,31.0
PS_NJ,JC_NJ,0.0139,2200.0,31.0
PS_NJ,JC_NJ,0.0139,2200.0,31.0
PS_NJ,JC_NJ,0.0139,2200.0,31.0
PS_NJ,JC_NJ,0.0139,2200.0,31.0
PS_NJ,JC_NJ,0.0139,2200.0,31.0
PS_NJ,JC_NJ,0.0139,2200.0,31.0
PS_NJ,AE_NJ,0.0139,2200.0,31.0
PS_NJ,AE_NJ,0.0139,2200.0,31.0
PS_NJ,AE_NJ,0.0139,2200.0,31.0
AE_NJ,JC_NJ,0.0139,2200.0,31.0
AE_NJ,PS_NJ,0.0139,2200.0,31.0
AE_NJ,PS_NJ,0.0139,2200.0,31.0
AE_NJ,PS_NJ,0.0139,2200.0,31.0
