Zone,Type,Capacity (MWh),Max Power (MW),Charging efficiency,Discharging efficiency,Cost ($/MWh),EF,CC,Charging Rate,Discharging Rate
AEP_IN,BES,80,20,0.85,1,0.15,0,1,1,1
DEOK_OH,BES,8,2,0.85,1,0.15,0,1,1,1
DEOK_OH,BES,8,2,0.85,1,0.15,0,1,1,1
ME_PA,HPS,536,134,0.9,0.9,0.56,0,0.8,1,1
ME_PA,HPS,536,134,0.9,0.9,0.56,0,0.8,1,1
ME_PA,HPS,536,134,0.9,0.9,0.56,0,0.8,1,1
ME_PA,HPS,536,134,0.9,0.9,0.56,0,0.8,1,1
ME_PA,HPS,536,134,0.9,0.9,0.56,0,0.8,1,1
ME_PA,HPS,536,134,0.9,0.9,0.56,0,0.8,1,1
ME_PA,HPS,536,134,0.9,0.9,0.56,0,0.8,1,1
ME_PA,HPS,536,134,0.9,0.9,0.56,0,0.8,1,1
AEP_VA,HPS,264,66,0.9,0.9,0.56,0,0.8,1,1
AEP_VA,HPS,461.2,115.3,0.9,0.9,0.56,0,0.8,1,1
AEP_VA,HPS,264,66,0.9,0.9,0.56,0,0.8,1,1
AP_VA,HPS,1908,477,0.9,0.9,0.56,0,0.8,1,1
AP_VA,HPS,1908,477,0.9,0.9,0.56,0,0.8,1,1
AP_VA,HPS,1908,477,0.9,0.9,0.56,0,0.8,1,1
AP_VA,HPS,1908,477,0.9,0.9,0.56,0,0.8,1,1
AP_VA,HPS,1908,477,0.9,0.9,0.56,0,0.8,1,1
AP_VA,HPS,1908,477,0.9,0.9,0.56,0,0.8,1,1
DOM_NC,BES,4,1,0.85,1,0.15,0,1,1,1
JC_NJ,HPS,604,151,0.9,0.9,0.56,0,0.8,1,1
JC_NJ,HPS,604,151,0.9,0.9,0.56,0,0.8,1,1
JC_NJ,HPS,604,151,0.9,0.9,0.56,0,0.8,1,1
PN_PA,HPS,823.6,205.9,0.9,0.9,0.56,0,0.8,1,1
PN_PA,HPS,823.6,205.9,0.9,0.9,0.56,0,0.8,1,1
AP_PA,BES,41.6,10.4,0.85,1,0.15,0,1,1,1
CE_IL,BES,80,20,0.85,1,0.15,0,1,1,1
AEP_WV,BES,64,16,0.85,1,0.15,0,1,1,1
ATSI_OH,BES,16,4,0.85,1,0.15,0,1,1,1
AEP_OH,BES,3.2,0.8,0.85,1,0.15,0,1,1,1
DPL_MD,BES,44,11,0.85,1,0.15,0,1,1,1
CE_IL,BES,18,4.5,0.85,1,0.15,0,1,1,1
CE_IL,BES,126,31.5,0.85,1,0.15,0,1,1,1
CE_IL,BES,79.2,19.8,0.85,1,0.15,0,1,1,1
CE_IL,BES,79.2,19.8,0.85,1,0.15,0,1,1,1
DEOK_OH,BES,40,10,0.85,1,0.15,0,1,1,1
AEP_OH,BES,28,7,0.85,1,0.15,0,1,1,1
AEP_WV,BES,126,31.5,0.85,1,0.15,0,1,1,1
CE_IL,BES,79.2,19.8,0.85,1,0.15,0,1,1,1
DEOK_OH,BES,24,6,0.85,1,0.15,0,1,1,1
AEP_IN,BES,4,1,0.85,1,0.15,0,1,1,1
JC_NJ,BES,4,1,0.85,1,0.15,0,1,1,1
PE_PA,BES,24.8,6.2,0.85,1,0.15,0,1,1,1
JC_NJ,BES,79.2,19.8,0.85,1,0.15,0,1,1,1
AE_NJ,BES,79.2,19.8,0.85,1,0.15,0,1,1,1
PS_NJ,BES,4,1,0.85,1,0.15,0,1,1,1
CE_IL,BES,1.2,0.3,0.85,1,0.15,0,1,1,1
PS_NJ,BES,4,1,0.85,1,0.15,0,1,1,1
AP_PA,BES,72,18,0.85,1,0.15,0,1,1,1
CE_IL,BES,80,20,0.85,1,0.15,0,1,1,1
AEP_IN,BES,20,5,0.85,1,0.15,0,1,1,1
AEP_IN,BES,20,5,0.85,1,0.15,0,1,1,1
AEP_IN,BES,20,5,0.85,1,0.15,0,1,1,1
DOM_NC,BES,40,10,0.85,1,0.15,0,1,1,1
JC_NJ,BES,2.4,0.6,0.85,1,0.15,0,1,1,1
