Zone_id,Demand (MW),State
AE_NJ,2458.08,NJ
AEP_VA,1566.39,VA
AEP_WV,1566.39,WV
AEP_KY,835.408,KY
AEP_TN,104.426,TN
AEP_OH,4699.17,OH
AEP_IN,1044.26,IN
AEP_MI,626.556,MI
AP_MD,930.7,MD
AP_PA,2792.1,PA
AP_VA,930.7,VA
AP_WV,4653.5,WV
ATSI_PA,1187.675,PA
ATSI_OH,10689.075,OH
BC_MD,6520,MD
CE_IL,9612.5,IL
DAY_OH,1409,OH
DPL_DE,654.8,DE
DPL_MD,654.8,MD
DPL_VA,327.4,VA
DOM_NC,1975.908,NC
DOM_VA,7903.632,VA
DEOK_OH,1731.168,OH
DEOK_KY,432.792,KY
DUQ_PA,2714.698,PA
EKPC_KY,3754.848,KY
JC_NJ,2020.196,NJ
ME_PA,3021.278,PA
OVEC_OH,121,OH
PL_PA,7509.746,PA
PE_PA,8582.561,PA
PN_PA,2830.312,PA
PEP_MD,10097.9,MD
PS_NJ,10147,NJ
RECO_NJ,407.437,NJ
