Zone,Inv_cost,Opr_cost,LoL_plt,Total_cost
AE_NJ,0.0,149360.5071345215,0.0,149360.5071345215
AEP_VA,0.0,25359.487999999994,0.0,25359.487999999994
AEP_WV,0.0,26205.000000000007,0.0,26205.000000000007
AEP_KY,0.0,2591.999999999999,0.0,2591.999999999999
AEP_TN,0.0,120071.5034250525,0.0,120071.5034250525
AEP_OH,0.0,356885.7580898875,0.0,356885.7580898875
AEP_IN,0.0,22683.000000000007,0.0,22683.000000000007
AEP_MI,1.5366411179942165e6,99816.09977531101,0.0,1.6364572177695276e6
AP_MD,0.0,11000.0,0.0,11000.0
AP_PA,0.0,170333.73970410705,0.0,170333.73970410705
AP_VA,0.0,17704.0,0.0,17704.0
AP_WV,0.0,24914.999999999996,0.0,24914.999999999996
ATSI_PA,0.0,412782.30078294175,0.0,412782.30078294175
ATSI_OH,0.0,478194.66893472546,0.0,478194.66893472546
BC_MD,0.0,49503.375000000015,0.0,49503.375000000015
CE_IL,0.0,663522.3018876562,0.0,663522.3018876562
DAY_OH,0.0,0.0,0.0,0.0
DPL_DE,0.0,74656.09054490033,0.0,74656.09054490033
DPL_MD,0.0,307128.38037620625,0.0,307128.38037620625
DOM_NC,3.153546368245507e6,436533.3754130657,0.0,3.590079743658573e6
DOM_VA,0.0,503156.45569595095,0.0,503156.45569595095
DEOK_OH,0.0,388865.6212710875,0.0,388865.6212710875
DUQ_PA,0.0,277917.25003727444,0.0,277917.25003727444
EKPC_KY,0.0,34374.0,0.0,34374.0
JC_NJ,0.0,410521.176462136,0.0,410521.176462136
ME_PA,0.0,242575.2525479268,0.0,242575.2525479268
OVEC_OH,0.0,0.0,0.0,0.0
PL_PA,0.0,556516.1666397833,0.0,556516.1666397833
PE_PA,0.0,2687.999999999999,0.0,2687.999999999999
PN_PA,0.0,49655.50029242894,0.0,49655.50029242894
PEP_MD,0.0,232589.99999999994,0.0,232589.99999999994
PS_NJ,0.0,295588.26751403697,0.0,295588.26751403697
RECO_NJ,0.0,266910.4645472618,0.0,266910.4645472618
