Technology,Zone,EC_Category,New_Build,Capacity (MW)
NGCT,EKPC_KY,Existing,0,2076.9999999999995
Oil,EKPC_KY,Existing,0,11.5
Coal,EKPC_KY,Existing,0,2072.5
Hydro,EKPC_KY,Existing,0,300.3
SolarPV,EKPC_KY,Existing,0,25.9
Landfill_NG,EKPC_KY,Existing,0,5.4
Bio,EKPC_KY,Existing,0,5.0
NGCT,CE_IL,Existing,0,8276.999999999993
NuC,CE_IL,Existing,0,7625.299999999999
Oil,CE_IL,Existing,0,149.90000000000003
Coal,CE_IL,Existing,0,4719.700000000001
Hydro,CE_IL,Existing,0,27.1
WindOn,CE_IL,Existing,0,5437.5
SolarPV,CE_IL,Existing,0,108.9
NGCC,CE_IL,Existing,0,2713.5000000000005
Landfill_NG,CE_IL,Existing,0,39.5
Bio,CE_IL,Existing,0,3.0
NG,CE_IL,Existing,0,39.7
NGCT,PEP_DE,Existing,0,881.8
Oil,PEP_DE,Existing,0,103.0
SolarPV,PEP_DE,Existing,0,4.4
NGCC,PEP_DE,Existing,0,1193.0
Landfill_NG,PEP_DE,Existing,0,4.2
NG,PEP_DE,Existing,0,168.9
NGCT,DPL_DE,Existing,0,191.1
Oil,DPL_DE,Existing,0,18.6
Coal,DPL_DE,Existing,0,445.5
WindOn,DPL_DE,Existing,0,2.0
SolarPV,DPL_DE,Existing,0,33.7
NGCC,DPL_DE,Existing,0,429.0
Landfill_NG,DPL_DE,Existing,0,10.0
Oil,PL_MD,Existing,0,563.5
Coal,PL_MD,Existing,0,1729.2
SolarPV,PL_MD,Existing,0,16.0
Landfill_NG,PL_MD,Existing,0,3.2
NGCT,PS_IL,Existing,0,1449.799999999999
Oil,PS_IL,Existing,0,273.8
SolarPV,PS_IL,Existing,0,17.9
Landfill_NG,PS_IL,Existing,0,9.0
NGCT,AEP_IL,Existing,0,188.0
Oil,AEP_IL,Existing,0,15.0
Coal,AEP_IL,Existing,0,1259.6
WindOn,AEP_IL,Existing,0,315.0
SolarPV,AEP_IL,Existing,0,7.6
NGCT,AP_IL,Existing,0,24.0
NuC,AP_IL,Existing,0,2449.8
Oil,AP_IL,Existing,0,13.100000000000001
SolarPV,AP_IL,Existing,0,4.3
Landfill_NG,AP_IL,Existing,0,21.0
NGCT,AEP_IN,Existing,0,1957.3999999999994
Oil,AEP_IN,Existing,0,18.8
Coal,AEP_IN,Existing,0,7526.700000000001
Hydro,AEP_IN,Existing,0,10.700000000000001
WindOn,AEP_IN,Existing,0,1663.9
SolarPV,AEP_IN,Existing,0,177.79999999999998
NGCC,AEP_IN,Existing,0,2711.2
Landfill_NG,AEP_IN,Existing,0,35.90000000000001
Bio,AEP_IN,Existing,0,10.3
NG,AEP_IN,Existing,0,519.9999999999999
Other,AEP_IN,Existing,0,94.6
Oil,CE_IA,Existing,0,13.1
WindOn,CE_IA,Existing,0,366.4
NGCT,AEP_KY,Existing,0,1430.5
Coal,AEP_KY,Existing,0,772.0
SolarPV,AEP_KY,Existing,0,1.1
Landfill_NG,AEP_KY,Existing,0,7.2
NGCT,PE_MD,Existing,0,340.9
Oil,PE_MD,Existing,0,159.3
Hydro,PE_MD,Existing,0,530.8
SolarPV,PE_MD,Existing,0,26.2
NGCT,BC_MD,Existing,0,396.50000000000006
Oil,BC_MD,Existing,0,108.69999999999999
SolarPV,BC_MD,Existing,0,22.099999999999998
NGCC,BC_MD,Existing,0,24.5
Landfill_NG,BC_MD,Existing,0,1.0
Bio,BC_MD,Existing,0,2.2
MSW,BC_MD,Existing,0,132.3
NGCT,DPL_MD,Existing,0,774.6
Oil,DPL_MD,Existing,0,271.7
Coal,DPL_MD,Existing,0,229.0
SolarPV,DPL_MD,Existing,0,150.89999999999998
NGCC,DPL_MD,Existing,0,1113.6
Landfill_NG,DPL_MD,Existing,0,5.399999999999999
Bio,DPL_MD,Existing,0,3.8
Hydro,AP_MD,Existing,0,20.0
WindOn,AP_MD,Existing,0,120.0
SolarPV,AP_MD,Existing,0,11.2
NuC,PEP_MD,Existing,0,1850.4
Oil,PEP_MD,Existing,0,296.0
Coal,PEP_MD,Existing,0,1252.0
SolarPV,PEP_MD,Existing,0,59.50000000000001
NGCC,PEP_MD,Existing,0,775.3
NuC,AEP_MI,Existing,0,3097.1
Hydro,AEP_MI,Existing,0,12.9
SolarPV,AEP_MI,Existing,0,4.6
NGCC,AEP_MI,Existing,0,1176.0
Landfill_NG,AEP_MI,Existing,0,8.8
NGCT,AE_NJ,Existing,0,1028.8
Oil,AE_NJ,Existing,0,39.0
SolarPV,AE_NJ,Existing,0,272.70000000000005
NGCC,AE_NJ,Existing,0,409.70000000000005
Landfill_NG,AE_NJ,Existing,0,24.200000000000003
Bio,AE_NJ,Existing,0,0.8999999999999999
MSW,AE_NJ,Existing,0,35.0
NG,AE_NJ,Existing,0,2.0
NGCT,JC_NJ,Existing,0,920.9000000000001
NuC,JC_NJ,Existing,0,3630.7
Oil,JC_NJ,Existing,0,51.0
Coal,JC_NJ,Existing,0,285.0
SolarPV,JC_NJ,Existing,0,519.6999999999998
NGCC,JC_NJ,Existing,0,5267.399999999999
Landfill_NG,JC_NJ,Existing,0,9.6
MSW,JC_NJ,Existing,0,45.0
NG,JC_NJ,Existing,0,2.0
Other,JC_NJ,Existing,0,11.2
NGCT,PS_NJ,Existing,0,1566.8999999999999
Oil,PS_NJ,Existing,0,6.1
Hydro,PS_NJ,Existing,0,14.7
WindOn,PS_NJ,Existing,0,9.0
SolarPV,PS_NJ,Existing,0,181.60000000000002
NGCC,PS_NJ,Existing,0,1238.0
MSW,PS_NJ,Existing,0,69.8
NG,PS_NJ,Existing,0,8.6
NGCT,RECO_NJ,Existing,0,8.0
Oil,RECO_NJ,Existing,0,8.0
SolarPV,RECO_NJ,Existing,0,6.4
NGCC,RECO_NJ,Existing,0,1400.8000000000002
NGCT,PN_NY,Existing,0,96.3
Coal,PN_NY,Existing,0,531.2
WindOn,PN_NY,Existing,0,202.4
SolarPV,PN_NY,Existing,0,2.9000000000000004
Landfill_NG,PN_NY,Existing,0,9.6
NGCT,AEP_NC,Existing,0,977.5
Coal,AEP_NC,Existing,0,3321.3999999999996
SolarPV,AEP_NC,Existing,0,52.4
NGCC,AEP_NC,Existing,0,697.9000000000001
NGCT,DOM_NC,Existing,0,4.0
Oil,DOM_NC,Existing,0,190.6
Hydro,DOM_NC,Existing,0,280.70000000000005
WindOn,DOM_NC,Existing,0,208.0
SolarPV,DOM_NC,Existing,0,1753.9000000000005
Bio,DOM_NC,Existing,0,144.00000000000003
Other,DOM_NC,Existing,0,54.0
NGCT,AP_OH,Existing,0,827.9
Oil,AP_OH,Existing,0,36.8
Coal,AP_OH,Existing,0,3574.4
SolarPV,AP_OH,Existing,0,1.1
Landfill_NG,AP_OH,Existing,0,5.6
NGCT,DEOK_OH,Existing,0,1484.9999999999998
Oil,DEOK_OH,Existing,0,71.4
Coal,DEOK_OH,Existing,0,2540.4
Hydro,DEOK_OH,Existing,0,2.2
SolarPV,DEOK_OH,Existing,0,201.4
NGCC,DEOK_OH,Existing,0,1267.5
Landfill_NG,DEOK_OH,Existing,0,4.800000000000001
NG,DEOK_OH,Existing,0,67.0
NGCT,ATSI_OH,Existing,0,1023.2000000000002
NuC,ATSI_OH,Existing,0,2236.8
Oil,ATSI_OH,Existing,0,342.0000000000004
Coal,ATSI_OH,Existing,0,890.0
Hydro,ATSI_OH,Existing,0,8.8
WindOn,ATSI_OH,Existing,0,8.0
SolarPV,ATSI_OH,Existing,0,46.49999999999999
NGCC,ATSI_OH,Existing,0,4090.8
Landfill_NG,ATSI_OH,Existing,0,77.99999999999997
Bio,ATSI_OH,Existing,0,12.799999999999999
NG,ATSI_OH,Existing,0,87.5
NGCT,AEP_OH,Existing,0,2836.3
Oil,AEP_OH,Existing,0,99.89999999999998
Coal,AEP_OH,Existing,0,3773.5
Hydro,AEP_OH,Existing,0,117.6
WindOn,AEP_OH,Existing,0,1094.3
SolarPV,AEP_OH,Existing,0,230.7
NGCC,AEP_OH,Existing,0,4327.700000000001
Landfill_NG,AEP_OH,Existing,0,2.8
Bio,AEP_OH,Existing,0,65.6
NG,AEP_OH,Existing,0,67.0
NGCT,DUQ_PA,Existing,0,175.20000000000002
Oil,DUQ_PA,Existing,0,73.19999999999999
Coal,DUQ_PA,Existing,0,637.0
SolarPV,DUQ_PA,Existing,0,3.0
NGCC,DUQ_PA,Existing,0,1793.9
Bio,DUQ_PA,Existing,0,3.3
NG,DUQ_PA,Existing,0,83.5
NGCT,ME_PA,Existing,0,436.5999999999998
Oil,ME_PA,Existing,0,106.80000000000001
Hydro,ME_PA,Existing,0,715.9999999999998
WindOn,ME_PA,Existing,0,211.60000000000002
SolarPV,ME_PA,Existing,0,18.9
NGCC,ME_PA,Existing,0,2618.6
Landfill_NG,ME_PA,Existing,0,27.200000000000003
MSW,ME_PA,Existing,0,35.7
NGCT,DPL_PA,Existing,0,1794.0999999999997
Oil,DPL_PA,Existing,0,194.0
Coal,DPL_PA,Existing,0,134.1
SolarPV,DPL_PA,Existing,0,5.8
NGCC,DPL_PA,Existing,0,1804.6
Landfill_NG,DPL_PA,Existing,0,9.899999999999999
NGCT,PL_PA,Existing,0,250.40000000000006
NuC,PL_PA,Existing,0,4123.8
Oil,PL_PA,Existing,0,960.3999999999987
Coal,PL_PA,Existing,0,2122.8
Hydro,PL_PA,Existing,0,6.400000000000001
WindOn,PL_PA,Existing,0,268.8
SolarPV,PL_PA,Existing,0,48.5
NGCC,PL_PA,Existing,0,4872.800000000001
Landfill_NG,PL_PA,Existing,0,33.900000000000006
MSW,PL_PA,Existing,0,85.4
NGCT,BC_PA,Existing,0,18.6
NuC,BC_PA,Existing,0,2876.4
Oil,BC_PA,Existing,0,54.0
Coal,BC_PA,Existing,0,1662.0
Hydro,BC_PA,Existing,0,19.6
SolarPV,BC_PA,Existing,0,2.6
NGCC,BC_PA,Existing,0,1449.4
Bio,BC_PA,Existing,0,39.1
MSW,BC_PA,Existing,0,36.5
NGCT,PN_PA,Existing,0,277.8
Oil,PN_PA,Existing,0,62.5
Coal,PN_PA,Existing,0,4723.6
Hydro,PN_PA,Existing,0,90.60000000000002
WindOn,PN_PA,Existing,0,381.0
SolarPV,PN_PA,Existing,0,70.0
NGCC,PN_PA,Existing,0,3565.5
Landfill_NG,PN_PA,Existing,0,65.59999999999987
NGCT,AP_PA,Existing,0,1632.5
Oil,AP_PA,Existing,0,17.2
Coal,AP_PA,Existing,0,1966.7
Hydro,AP_PA,Existing,0,113.0
WindOn,AP_PA,Existing,0,578.0
SolarPV,AP_PA,Existing,0,3.3
NGCC,AP_PA,Existing,0,1798.7
Landfill_NG,AP_PA,Existing,0,3.2
Bio,AP_PA,Existing,0,54.0
NGCT,AE_PA,Existing,0,13.6
Oil,AE_PA,Existing,0,48.0
MSW,AE_PA,Existing,0,24.1
NGCT,AEP_PA,Existing,0,215.5
NuC,AEP_PA,Existing,0,2532.0
Oil,AEP_PA,Existing,0,64.0
WindOn,AEP_PA,Existing,0,24.0
SolarPV,AEP_PA,Existing,0,1.8
NGCC,AEP_PA,Existing,0,1203.9
NGCT,PE_PA,Existing,0,219.49999999999994
Oil,PE_PA,Existing,0,322.80000000000007
SolarPV,PE_PA,Existing,0,2.9
Bio,PE_PA,Existing,0,5.6
NGCT,ATSI_PA,Existing,0,782.0
Oil,ATSI_PA,Existing,0,79.60000000000001
NGCC,ATSI_PA,Existing,0,1519.3000000000002
MSW,ATSI_PA,Existing,0,90.0
NGCT,AEP_TN,Existing,0,63.0
Coal,AEP_TN,Existing,0,131.3
Hydro,AEP_TN,Existing,0,203.79999999999998
NGCC,AEP_TN,Existing,0,996.9000000000001
Bio,AEP_TN,Existing,0,50.0
NGCT,AEP_VA,Existing,0,614.5
Oil,AEP_VA,Existing,0,3.6
Coal,AEP_VA,Existing,0,668.0
Hydro,AEP_VA,Existing,0,424.4999999999999
SolarPV,AEP_VA,Existing,0,106.7
Landfill_NG,AEP_VA,Existing,0,1.1
Bio,AEP_VA,Existing,0,7.5
NGCT,AP_VA,Existing,0,285.0
Oil,AP_VA,Existing,0,450.8
Hydro,AP_VA,Existing,0,78.8
SolarPV,AP_VA,Existing,0,109.99999999999999
Landfill_NG,AP_VA,Existing,0,5.399999999999999
Hydro,PN_VA,Existing,0,12.5
SolarPV,PN_VA,Existing,0,119.8
NGCC,PN_VA,Existing,0,559.0
Bio,PN_VA,Existing,0,71.1
Oil,DPL_VA,Existing,0,12.0
SolarPV,DPL_VA,Existing,0,20.0
NGCT,DOM_VA,Existing,0,3991.7999999999997
NuC,DOM_VA,Existing,0,3654.3999999999996
Oil,DOM_VA,Existing,0,1197.0999999999935
Coal,DOM_VA,Existing,0,1900.9
Hydro,DOM_VA,Existing,0,304.8
SolarPV,DOM_VA,Existing,0,1707.6000000000004
NGCC,DOM_VA,Existing,0,8956.099999999999
Landfill_NG,DOM_VA,Existing,0,104.89999999999958
Bio,DOM_VA,Existing,0,258.09999999999997
Other,DOM_VA,Existing,0,96.0
NGCT,AEP_WV,Existing,0,987.8999999999999
Coal,AEP_WV,Existing,0,5865.2
Hydro,AEP_WV,Existing,0,174.70000000000005
WindOn,AEP_WV,Existing,0,254.3
NGCT,AP_WV,Existing,0,344.0
Coal,AP_WV,Existing,0,5544.099999999999
Hydro,AP_WV,Existing,0,166.1
WindOn,AP_WV,Existing,0,66.0
Oil,DOM_WV,Existing,0,18.5
Coal,DOM_WV,Existing,0,1662.4
Hydro,DOM_WV,Existing,0,1.0
WindOn,DOM_WV,Existing,0,420.7
Hydro,DPL_WV,Existing,0,28.8
NGCT,PE_NJ,Existing,0,101.7
Coal,PE_NJ,Existing,0,260.3
SolarPV,PE_NJ,Existing,0,42.2
NGCC,PE_NJ,Existing,0,1006.4000000000001
MSW,PE_NJ,Existing,0,14.0
NG,PE_NJ,Existing,0,30.0
Landfill_NG,PS_VA,Existing,0,3.2
MSW,PS_VA,Existing,0,124.0
NGCT,ME_VA,Existing,0,11.4
Oil,ME_VA,Existing,0,44.5
SolarPV,ME_VA,Existing,0,2.1
Bio,ME_VA,Existing,0,1.4
NGCC,CE_PA,Existing,0,5.9
Landfill_NG,CE_PA,Existing,0,4.8
NGCT,CE_OH,Existing,0,577.2
WindOn,CE_ND,Existing,0,61.5
WindOn,CE_IN,Existing,0,1187.2
WindOn,CE_SD,Existing,0,25.0
WindOn,ATSI_IN,Existing,0,402.0
SolarPV,ATSI_IN,Existing,0,200.0
SolarPV,DOM_MD,Existing,0,54.4
NGCT,AP_MD,Candidate,0,0.0
NGCC,AP_MD,Candidate,0,0.0
NGCC,AP_PA,Candidate,0,0.0
