From_zone,To_zone,EC_Category,New_Build,AnnSum,t1h1,t1h2,t1h3,t1h4,t1h5,t1h6,t1h7,t1h8,t1h9,t1h10,t1h11,t1h12,t1h13,t1h14,t1h15,t1h16,t1h17,t1h18,t1h19,t1h20,t1h21,t1h22,t1h23,t1h24,t2h1,t2h2,t2h3,t2h4,t2h5,t2h6,t2h7,t2h8,t2h9,t2h10,t2h11,t2h12,t2h13,t2h14,t2h15,t2h16,t2h17,t2h18,t2h19,t2h20,t2h21,t2h22,t2h23,t2h24,t3h1,t3h2,t3h3,t3h4,t3h5,t3h6,t3h7,t3h8,t3h9,t3h10,t3h11,t3h12,t3h13,t3h14,t3h15,t3h16,t3h17,t3h18,t3h19,t3h20,t3h21,t3h22,t3h23,t3h24,t4h1,t4h2,t4h3,t4h4,t4h5,t4h6,t4h7,t4h8,t4h9,t4h10,t4h11,t4h12,t4h13,t4h14,t4h15,t4h16,t4h17,t4h18,t4h19,t4h20,t4h21,t4h22,t4h23,t4h24
CE_IL,AEP_IN,Existing,0,143408.99436263414,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-119.0913900936157,628.0390908637428,474.8159996326947,1668.1773841454649,2200.0,1564.2466387579636,1249.7565034978838,-463.28834210305786,2200.0,2200.0,-197.528882412671,2200.0,-29.655667984422735,2200.0,1792.5460893693319,2200.0,1028.3610730940502,-803.7894946184533,-249.8914943416887,2200.0,2200.0,2200.0,2200.0,2200.0,1651.8018308204646,-887.5506611917679,-1452.0468433017134,-144.10938288134707,-2200.0,-909.1133742066879,-1146.4544919514435,-1350.699403297814,-1015.4685384818903,-1460.4424520457355,-216.63363305760447,-250.4195903212576,-927.2114550808133,-488.14334164103104,-55.36648312651198,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1307.9608118067229,1210.1938627853349,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
AEP_WV,AP_WV,Existing,0,190281.36498261063,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-20.284958428508332,1617.362639070664,795.3483919300853,2200.0,-19.78463435274034,2043.5498995655346,-389.35864395956185,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,727.8521373938377,2200.0,1499.253593805522,1542.5032914503367,2200.0,1089.8206098515884,597.497809315319,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-388.70566005265755,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,989.5908512992487,871.7920331457767,2200.0,1124.9276225761785,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
AEP_IN,DAY_OH,Existing,0,31302.664755191232,480.6064551652353,422.8834287335793,398.79037691334383,25.170032266881663,69.46162706026917,-774.5973398869604,387.70173167674466,-2200.0,-949.7490144779597,-1208.5501539743823,240.2753094243617,2033.0436138785567,182.0424777921014,489.0795987282456,17.478185998358413,685.3482896682538,-774.1483363799424,898.0048471595305,788.3274359224665,-1681.2048150742044,581.6631971920053,1429.0572754528107,146.42354618207537,1682.735297258649,157.7495397286989,-1642.7833174352654,19.125130582571217,1218.932919197946,61.924081481477515,-171.34406911747465,-686.0930271125907,796.0498553056404,1047.904570110392,-924.0962455240738,2200.0,169.62288572465013,632.1493780098313,995.2524368935103,536.2543334684603,-1819.286565325218,29.98180127552928,-1261.6763359573042,-2200.0,-2200.0,-1006.4270576907733,-167.02033986591448,1871.8056568695395,946.475064102475,398.85767999231325,790.7654754631267,794.2989314338643,-199.61410754635358,266.7229273967041,-44.38384550305477,-614.1099779303102,877.021894856821,-1542.0064103635034,914.4836797078599,-1348.193031527232,236.25887896902327,1496.7736353700668,-20.572193814056163,-279.84479533450894,-162.94774677011844,737.0565832229274,-142.35693144998163,2200.0,578.137834946679,320.7401728226165,661.6721984848446,1343.7291279519777,776.5223924395943,-1128.8956968143705,636.8229768297979,1456.8448462092024,2200.0,1486.4981710962252,-2200.0,424.0784380451235,2200.0,973.4090814159999,1564.3998383666985,1946.6994178195528,2200.0,2200.0,2200.0,2200.0,635.1937231804546,152.29656241413363,-728.448282891912,-1282.7549966486988,839.1361305672046,447.4565878064159,2200.0,356.42713619465167,310.14468737932566
DAY_OH,AEP_OH,Existing,0,184875.07907924592,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,517.9081483221155,2200.0,-78.9589757377014,2200.0,1576.5882084057841,2200.0,1600.8094506482319,-1329.5581635568353,1481.0627165457208,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-346.42655586995875,2200.0,1228.3704560577687,2200.0,2200.0,2200.0,2200.0,-662.2958606845294,-749.5365089385486,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-2200.0,587.0681049188784,650.0480591349863,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
AEP_IN,AEP_WV,Existing,0,176000.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,2200.0,-2200.0,-2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
AEP_IN,AEP_WV,Existing,0,211200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
AEP_WV,AEP_IN,Existing,0,74800.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,2200.0,-2200.0,-2200.0,2200.0,2200.0,2200.0,-2200.0,-2200.0,-2200.0,2200.0,2200.0,-2200.0,-2200.0,2200.0,2200.0,-2200.0,2200.0,-2200.0,-2200.0,-2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0
AEP_WV,AEP_IN,Existing,0,-39615.32030541006,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-1348.9212340848737,-1260.6204164596172,-236.48083019003002,16.711983116557576,-652.0591855344139,85.10572107311714,719.5836967127896,2200.0,19.449392194844904,-2200.0,211.25569500490747,-1175.7596728594217,-2200.0,-2200.0,-1031.4841713484884,-2200.0,-175.9919091909387,239.65843091486772,-2200.0,-2200.0,-1352.781071591778,-2200.0,-2200.0,-2200.0,-138.0193708600773,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-2200.0,-2200.0,-2200.0,2200.0,2200.0,2200.0,-2200.0,-2200.0,-841.8267048449618,2200.0,-2200.0,-2200.0,2200.0,-2200.0,2200.0,2200.0,2200.0,-2200.0,-2200.0,-2200.0,458.681538745886,-809.8817671577781,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-572.1638676681955,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-2200.0,-2200.0,-2200.0,-1372.9296510630863,-2200.0,-2109.9573914778002,-1886.889518841554,-2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
AEP_WV,AEP_IN,Existing,0,156645.3599602343,2200.0,2200.0,2200.0,2200.0,1919.599636794501,1704.1350066871673,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1432.7926192543798,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1584.421026145378,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1251.1678413766665,2200.0,2200.0,2200.0,538.4391588909866,2200.0,2200.0,1426.9314645937197,2200.0,2200.0,2200.0,2200.0,127.68348300778973,-530.3335244570892,147.6478931491299,827.1559286427528,1116.953410520639,2200.0,2200.0,1822.846862297034,2200.0,2200.0,1221.7884241762354,1731.8457001937875,1505.2078598364255,994.1162982893993,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,689.5966375250719,2106.5056805496915,1452.6424158625684,2200.0,2200.0,1801.0913190105225,2200.0,2200.0,2200.0,480.83755945998496,2200.0,313.70328979698365,1078.7998490610041,408.78321551777753,-497.7643258381421,-491.87362479666024,1184.3695309966174,2080.4911734414854,2200.0,2200.0,2200.0,2150.322437785998,2200.0,2200.0,2200.0,2200.0,-1737.4677698269224,-2200.0,-66.29134871591644,-480.02721529913356,1226.1489604723301,-683.4955402832575,-793.4113738846522
AEP_WV,AEP_KY,Existing,0,189443.38265074728,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1958.8605853710765,2200.0,1239.9722661724452,967.6057814633125,2200.0,866.3459586338515,2200.0,1236.1575709446563,1570.1248643407723,2010.3959128117367,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-620.5923181683739,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1962.3490431731045,1560.9739888298307,1340.6532453893637,1209.7727270001647,1194.4222410019725,1252.8695228098609,1413.6886149864372,1646.4546257200209,2020.3340557222662,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1905.1189705033894,1502.6900973180109,1252.823834527427,2200.0,2200.0,2200.0,1570.046501844843,1969.2245853198283,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1850.8888114672693,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1953.4842329604971,1614.5916921710868,1368.1140465589508,1336.1506787931303,1455.2392010637614,1641.4085156255844,1993.212796390993,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
