Zone,Inv_cost ($),Opr_cost ($),LoL_plt ($),Total_cost ($)
AE_NJ,1.6732450205300238e7,7.93764405e6,0.0,2.467009425530024e7
AEP_VA,2.358381079837155e8,1.582066704135874e6,0.0,2.3742017468785137e8
AEP_WV,2.981733555450006e8,24441.63794117647,0.0,2.981977971829418e8
AEP_KY,0.0,7.715006880000001e6,0.0,7.715006880000001e6
AEP_TN,461116.99368492846,1.689391960662319e8,0.0,1.6940031305991682e8
AEP_OH,0.0,5.961430480326481e8,0.0,5.961430480326481e8
AEP_IN,3.1e7,2.0994680356032455e8,0.0,2.4094680356032455e8
AEP_MI,2.963442549377735e6,6.1913036585693896e7,0.0,6.487647913507163e7
AP_MD,1.1173269291707912e7,53340.561089177085,0.0,1.122660985279709e7
AP_PA,0.0,2.5694127525997585e8,0.0,2.5694127525997585e8
AP_VA,0.0,709560.0000000002,0.0,709560.0000000002
AP_WV,3.9028084113196427e8,9.246250320937927e7,0.0,4.827433443413435e8
ATSI_PA,0.0,3.5136826794125184e7,0.0,3.5136826794125184e7
ATSI_OH,0.0,2.0155770391957122e8,0.0,2.0155770391957122e8
BC_MD,7.545639700248293e6,1.8053465787521757e7,0.0,2.559910548777005e7
CE_IL,3.1e7,6.04143940305345e8,0.0,6.35143940305345e8
DAY_OH,0.0,0.0,0.0,0.0
DPL_DE,0.0,7.627919668206795e7,0.0,7.627919668206795e7
DPL_MD,529121.0915376382,5.11845485215959e7,0.0,5.171366961313354e7
DOM_NC,3.4626628278644603e8,2.2031132580067188e8,0.0,5.665776085871179e8
DOM_VA,8.032836786644498e8,3.890994814500935e8,0.0,1.1923831601145434e9
DEOK_OH,0.0,1.0854954788875267e8,0.0,1.0854954788875267e8
DUQ_PA,0.0,1.3173135577134246e8,0.0,1.3173135577134246e8
EKPC_KY,0.0,8.759706124462576e7,0.0,8.759706124462576e7
JC_NJ,1.228965756709242e7,7.546263255396163e8,0.0,7.669159831067088e8
ME_PA,0.0,3.058848710347275e7,0.0,3.058848710347275e7
OVEC_OH,0.0,0.0,0.0,0.0
PL_PA,0.0,8.88608115871578e8,0.0,8.88608115871578e8
PE_PA,0.0,981459.4499999996,0.0,981459.4499999996
PN_PA,0.0,9.438750848237809e8,0.0,9.438750848237809e8
PEP_MD,23840.84334011283,3.732964320128542e8,0.0,3.733202728561943e8
PS_NJ,1.6490736444117645e7,4.2226874555999994e7,0.0,5.871761100011764e7
RECO_NJ,9.440560544585126e6,2.124553840996462e7,0.0,3.0686098954549745e7
