Pmax (MW),Pmin (MW),Type,Zone,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,Flag_RPS
149.0,0,NGCT,EKPC_KY,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
98.0,0,NGCT,EKPC_KY,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
149.0,0,NGCT,EKPC_KY,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
149.0,0,NGCT,EKPC_KY,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
108.0,0,NGCT,EKPC_KY,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
108.0,0,NGCT,EKPC_KY,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
98.0,0,NGCT,EKPC_KY,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
98.0,0,NGCT,EKPC_KY,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
98.0,0,NGCT,EKPC_KY,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
660.0,0,NGCT,CE_IL,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
660.0,0,NGCT,CE_IL,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
26.0,0,Oil,DPL_DE,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
26.0,0,Oil,DPL_DE,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
18.5,0,Oil,DPL_DE,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
12.5,0,Oil,DPL_DE,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
75.0,0,NGCT,DPL_DE,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
176.8,0,NGCT,DPL_DE,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
446.0,0,NGCT,DPL_DE,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
18.6,0,Oil,DPL_DE,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
445.5,0,Coal,DPL_DE,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
20.0,0,Oil,DPL_DE,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
685.1,0,Coal,DPL_MD,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
685.1,0,Coal,DPL_MD,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
360.4,0,NGCT,CE_IL,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
28.0,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
28.0,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
28.0,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
28.0,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
326.4,0,Coal,CE_IL,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
355.3,0,Coal,CE_IL,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
598.4,0,Coal,CE_IL,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
32.5,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
32.5,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
32.5,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
32.5,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
32.5,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
32.5,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
32.5,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
32.5,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
0.6,0,Hydro,CE_IL,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.5,0,Hydro,CE_IL,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.3,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
2.5,0,NGCT,CE_IL,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
2.5,0,NGCT,CE_IL,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
1.0,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
2.5,0,NGCT,CE_IL,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
3.8,0,NGCT,CE_IL,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
1.0,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
3.5,0,NGCT,CE_IL,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
0.3,0,SolarPV,CE_IL,0,0,1,0,0.0,0.0,0.35,1.0,0,1
2.5,0,NGCT,CE_IL,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
1.8,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
1.8,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
1.8,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
1.8,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
1.8,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
1.8,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
2.5,0,NGCT,CE_IL,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
9.4,0,NGCT,CE_IL,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
6.3,0,NGCT,CE_IL,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
12.5,0,NGCT,CE_IL,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
2.6,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
2.6,0,Oil,CE_IL,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
0.6,0,Hydro,AEP_IN,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_IN,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_IN,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_IN,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_IN,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_IN,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_IN,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.6,0,Hydro,AEP_IN,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
33.0,0,Coal,AEP_IN,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
60.9,0,Coal,AEP_IN,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
280.5,0,NGCT,AEP_KY,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
9.4,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
9.4,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
9.4,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
