Zone,Pmax (MW),Pmin (MW),Cost ($/MW/yr),Cost ($/MWh),Type,Flag_thermal,Flag_VRE,Flag_mustrun,EF,CC,AF,Flag_RPS
AP_PA,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
AP_PA,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
DPL_MD,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
DPL_MD,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
DPL_MD,10000.0,0,260766.0,0.0,WindOff,0,1,0,0,0.28,1.0,1
DPL_VA,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
DPL_VA,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
DPL_VA,10000.0,0,260766.0,0.0,WindOff,0,1,0,0,0.28,1.0,1
BC_MD,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
BC_MD,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
PEP_MD,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
PEP_MD,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
ATSI_OH,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
AE_NJ,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
AE_NJ,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
AEP_VA,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
AEP_VA,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
AEP_WV,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
AEP_WV,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
AEP_KY,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
AEP_KY,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
AEP_TN,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
AEP_TN,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
AEP_OH,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
AEP_OH,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
AEP_MI,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
AEP_MI,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
AEP_IN,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
AEP_IN,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
AP_WV,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
AP_WV,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
ATSI_PA,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
ATSI_PA,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
ATSI_OH,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
ATSI_OH,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
CE_IL,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
CE_IL,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
DAY_OH,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
DAY_OH,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
DOM_NC,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
DOM_NC,10000.0,0,69463.85408,0.0,SolarPV,0,1,0,0,0.35,1.0,1
DOM_VA,10000.0,0,97201.13324,0.0,WindOn,0,1,0,0,0.28,1.0,1
