Month,Day,Period,EKPC_KY,AP_MD,AP_PA,AP_VA,AP_WV,AEP_VA,AEP_WV,AEP_KY,AEP_TN,AEP_OH,AEP_IN,AEP_MI,DPL_MD,DPL_DE,DOM_NC,DOM_VA,DAY_OH,JC_NJ,RECO_NJ,BC_MD,ME_PA,PS_NJ,CE_IL,AE_NJ,OVEC_OH,PE_PA,PL_PA,DEOK_OH,DUQ_PA,PN_PA,PEP_MD,ATSI_PA,ATSI_OH,NI
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,8,0.00093725,0,0,0,0,0,0,0.00093725,0,0,0,0,0,0.00705925,0,0,0,0.00412075,0.00412075,0,0,0.00412075,0.00394025,0.00412075,0,0,0,0,0,0,0,0,0,0
1,1,9,0.00708725,0.34104475,0.006407,0.5528035,0.696253,0.5528035,0.696253,0.00708725,0.544601,0.07790075,0.07100925,0.003373,0.34104475,0.107227,0.31470775,0.5528035,0.07790075,0.22868325,0.22868325,0.34104475,0.006407,0.22868325,0.028303,0.22868325,0.07790075,0.006407,0.006407,0.07790075,0.006407,0.006407,0.34104475,0.006407,0.07790075,0
1,1,10,0.053117,0.57927025,0.02029475,0.8190175,0.91204075,0.8190175,0.91204075,0.053117,0.47353125,0.44104575,0.46702725,0.29853125,0.57927025,0.109365,0.518714,0.8190175,0.44104575,0.420065,0.420065,0.57927025,0.02029475,0.420065,0.070099,0.420065,0.44104575,0.02029475,0.02029475,0.44104575,0.02029475,0.02029475,0.57927025,0.02029475,0.44104575,0
1,1,11,0.04491475,0.56132425,0.0423375,0.35552175,0.502783,0.35552175,0.502783,0.04491475,0.87180375,0.4873005,0.0535835,0.8592505,0.56132425,0.18265125,0.51579625,0.35552175,0.4873005,0.55744175,0.55744175,0.56132425,0.0423375,0.55744175,0.254615,0.55744175,0.4873005,0.0423375,0.0423375,0.4873005,0.0423375,0.0423375,0.56132425,0.0423375,0.4873005,0
1,1,12,0.018807,0.50665,0.03288875,0.1050655,0.58322475,0.1050655,0.58322475,0.018807,0.09857275,0.19839575,0.07672325,0.91904725,0.50665,0.2064535,0.479947,0.1050655,0.19839575,0.63497025,0.63497025,0.50665,0.03288875,0.63497025,0.13273375,0.63497025,0.19839575,0.03288875,0.03288875,0.19839575,0.03288875,0.03288875,0.50665,0.03288875,0.19839575,0
1,1,13,0.0553025,0.4934275,0.05811625,0.31294975,0.19149525,0.31294975,0.19149525,0.0553025,0.09994475,0.1651835,0.0639125,0.57715025,0.4934275,0.293656,0.47279525,0.31294975,0.1651835,0.65280025,0.65280025,0.4934275,0.05811625,0.65280025,0.241188,0.65280025,0.1651835,0.05811625,0.05811625,0.1651835,0.05811625,0.05811625,0.4934275,0.05811625,0.1651835,0
1,1,14,0.082887,0.53775625,0.04282775,0.2530225,0.13916925,0.2530225,0.13916925,0.082887,0.11234,0.17712675,0.092924,0.6781675,0.53775625,0.285335,0.515074,0.2530225,0.17712675,0.6077795,0.6077795,0.53775625,0.04282775,0.6077795,0.0763185,0.6077795,0.17712675,0.04282775,0.04282775,0.17712675,0.04282775,0.04282775,0.53775625,0.04282775,0.17712675,0
1,1,15,0.05579075,0.51237975,0.0592865,0.383693,0.3260375,0.383693,0.3260375,0.05579075,0.08083025,0.17296025,0.06808825,0.866191,0.51237975,0.24040675,0.55976875,0.383693,0.17296025,0.49181975,0.49181975,0.51237975,0.0592865,0.49181975,0.26170325,0.49181975,0.17296025,0.0592865,0.0592865,0.17296025,0.0592865,0.0592865,0.51237975,0.0592865,0.17296025,0
1,1,16,0.0232355,0.15186575,0.067279,0.021656,0.03930875,0.021656,0.03930875,0.0232355,0.1589595,0.043175,0.044503,0.0511085,0.15186575,0.10496175,0.4935195,0.021656,0.043175,0.294598,0.294598,0.15186575,0.067279,0.294598,0.0271195,0.294598,0.043175,0.067279,0.067279,0.043175,0.067279,0.067279,0.15186575,0.067279,0.043175,0
1,1,17,0.001947,0.06073575,0.01559525,0.257082,0.58967225,0.257082,0.58967225,0.001947,0.03692475,0.03153,0.015828,0.11717,0.06073575,0.01292175,0.1306685,0.257082,0.03153,0.0313315,0.0313315,0.06073575,0.01559525,0.0313315,0.0017465,0.0313315,0.03153,0.01559525,0.01559525,0.03153,0.01559525,0.01559525,0.06073575,0.01559525,0.03153,0
1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,8,0.0079,0,0,0,0,0,0,0.0079,0,0,0,0,0,0.004432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9,0.344339,0.117345,0.027658,0.06593025,0.02736325,0.06593025,0.02736325,0.344339,0.0092535,0.473949,0.05867975,0.001044,0.117345,0.1958855,0.33683625,0.06593025,0.473949,0.013822,0.013822,0.117345,0.027658,0.013822,0.01410475,0.013822,0.473949,0.027658,0.027658,0.473949,0.027658,0.027658,0.117345,0.027658,0.473949,0
1,2,10,0.45814925,0.08598225,0.1769005,0.80819725,0.0901915,0.80819725,0.0901915,0.45814925,0.07162275,0.8897475,0.426944,0.0177645,0.08598225,0.14750675,0.422227,0.80819725,0.8897475,0.19282375,0.19282375,0.08598225,0.1769005,0.19282375,0.0481155,0.19282375,0.8897475,0.1769005,0.1769005,0.8897475,0.1769005,0.1769005,0.08598225,0.1769005,0.8897475,0
1,2,11,0.48161975,0.29248475,0.13700725,0.95358225,0.140099,0.95358225,0.140099,0.48161975,0.1065435,1.007179,0.36699075,0.1953665,0.29248475,0.157066,0.38450075,0.95358225,1.007179,0.14205975,0.14205975,0.29248475,0.13700725,0.14205975,0.330304,0.14205975,1.007179,0.13700725,0.13700725,1.007179,0.13700725,0.13700725,0.29248475,0.13700725,1.007179,0
1,2,12,0.583263,0.1011365,0.3631545,0.5793055,0.114104,0.5793055,0.114104,0.583263,0.128579,0.88259125,0.3064995,0.4202465,0.1011365,0.200877,0.36427225,0.5793055,0.88259125,0.13174875,0.13174875,0.1011365,0.3631545,0.13174875,0.04973525,0.13174875,0.88259125,0.3631545,0.3631545,0.88259125,0.3631545,0.3631545,0.1011365,0.3631545,0.88259125,0
1,2,13,0.61391425,0.36962925,0.50723975,0.74577825,0.07438925,0.74577825,0.07438925,0.61391425,0.0709,0.9618815,0.493701,0.5639245,0.36962925,0.23985,0.23036325,0.74577825,0.9618815,0.129705,0.129705,0.36962925,0.50723975,0.129705,0.08676825,0.129705,0.9618815,0.50723975,0.50723975,0.9618815,0.50723975,0.50723975,0.36962925,0.50723975,0.9618815,0
1,2,14,0.4351145,0.263924,0.40944725,0.69881875,0.1021055,0.69881875,0.1021055,0.4351145,0.079374,1.059682,0.52034875,0.47545,0.263924,0.12846225,0.4114805,0.69881875,1.059682,0.295097,0.295097,0.263924,0.40944725,0.295097,0.00381075,0.295097,1.059682,0.40944725,0.40944725,1.059682,0.40944725,0.40944725,0.263924,0.40944725,1.059682,0
1,2,15,0.464775,0.041659,0.60788425,0.6732665,0.086475,0.6732665,0.086475,0.464775,0.063127,1.02053575,0.5893915,0.52052775,0.041659,0.0989645,0.56555975,0.6732665,1.02053575,0.48124075,0.48124075,0.041659,0.60788425,0.48124075,0.0112625,0.48124075,1.02053575,0.60788425,0.60788425,1.02053575,0.60788425,0.60788425,0.041659,0.60788425,1.02053575,0
1,2,16,0.21865525,0.050252,0.548493,0.20270875,0.02672,0.20270875,0.02672,0.21865525,0.1075845,0.91794225,0.59186275,0.4606025,0.050252,0.05247875,0.491973,0.20270875,0.91794225,0.29569125,0.29569125,0.050252,0.548493,0.29569125,0.044624,0.29569125,0.91794225,0.548493,0.548493,0.91794225,0.548493,0.548493,0.050252,0.548493,0.91794225,0
1,2,17,0.0305465,0.005477,0.1768825,0.1181315,0.01317125,0.1181315,0.01317125,0.0305465,0.0104775,0.66397375,0.2549845,0.2548015,0.005477,0.00682475,0.130349,0.1181315,0.66397375,0.0361535,0.0361535,0.005477,0.1768825,0.0361535,0.0022835,0.0361535,0.66397375,0.1768825,0.1768825,0.66397375,0.1768825,0.1768825,0.005477,0.1768825,0.66397375,0
1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,8,0.03429025,0,0,0,0,0,0,0.03429025,0,0,0,0,0,0.002923,0,0,0,0.006887,0.006887,0,0,0.006887,0,0.006887,0,0,0,0,0,0,0,0,0,0
1,3,9,0.334361,0.01811525,0.21721725,0.58517325,0.0023215,0.58517325,0.0023215,0.334361,0.32516075,0.28207125,0.0018235,0,0.01811525,0.022419,0.378546,0.58517325,0.28207125,0.2819635,0.2819635,0.01811525,0.21721725,0.2819635,0.00354575,0.2819635,0.28207125,0.21721725,0.21721725,0.28207125,0.21721725,0.21721725,0.01811525,0.21721725,0.28207125,0
