Zone_id,Demand (MW),State
AE_NJ,3072.6,NJ
AEP_VA,1864.75,VA
AEP_WV,1864.75,WV
AEP_KY,1864.75,KY
AEP_TN,1864.75,TN
AEP_OH,1864.75,OH
AEP_IN,1864.75,IN
AEP_MI,1864.75,MI
AP_MD,2908.4375,MD
AP_PA,2908.4375,PA
AP_VA,2908.4375,VA
AP_WV,2908.4375,WV
ATSI_PA,7422.96875,PA
ATSI_OH,7422.96875,OH
BC_MD,8150,MD
CE_IL,12015.625,IL
DAY_OH,1761.25,OH
DPL_DE,1023.125,DE
DPL_MD,1023.125,MD
DOM_NC,6174.7125,NC
DOM_VA,6174.7125,VA
DEOK_OH,2704.895,OH
DUQ_PA,3393.3725,PA
EKPC_KY,4693.56,KY
JC_NJ,2525.245,NJ
ME_PA,3776.5975,PA
OVEC_OH,151.25,OH
PL_PA,9387.1825,PA
PE_PA,10728.20125,PA
PN_PA,3537.89,PA
PEP_MD,12622.375,MD
PS_NJ,12683.75,NJ
RECO_NJ,509.29625,NJ
