From_zone,To_zone,EC_Category,New_Build,AnnSum,t1h1,t1h2,t1h3,t1h4,t1h5,t1h6,t1h7,t1h8,t1h9,t1h10,t1h11,t1h12,t1h13,t1h14,t1h15,t1h16,t1h17,t1h18,t1h19,t1h20,t1h21,t1h22,t1h23,t1h24
CE_IL,AEP_IN,Existing,0,52063.215460575004,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1815.2615627000005,1866.3769333750001,2181.5769645000005,2200.0,2200.0,2200.0,2200.0
AEP_WV,AP_WV,Existing,0,-11110.532735022009,-2094.3813794866,605.5286585122003,1516.606410384625,211.99836893400004,1432.413732462625,-2200.0,-2200.0,1086.42655183928,-2200.0,23.294345908999958,-1608.8376896197692,724.2824436850001,-2200.0,-2200.0,2200.0,746.0240005394999,-697.7037462981251,-2140.0877761154998,2200.0,2200.0,-2194.9936222135,-2200.0,-1950.842879407,-170.26015414774474
AEP_IN,DAY_OH,Existing,0,26222.520918431284,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1542.8521471793993,-1375.965576926274,-126.2574234662303,2200.0,1030.3855983125807,367.80311645414986,-1320.3076394854243,2200.0,787.2813544799249,706.5802053956829,414.3579865727038,-2200.0,1370.4120589262557,305.5390827855723,2200.0,519.8400082029452
DAY_OH,AEP_OH,Existing,0,4061.8827882615888,427.79916437074803,1305.672170261932,714.352873654132,797.8436388850082,935.924826058,924.1559168459999,730.4691906261721,1328.8692249111682,97.45681359712353,-1754.6891409064663,-1088.8935890200623,1185.1709219625877,383.53067257024486,-733.3225404892539,1186.7203460047356,1392.2996261619278,-273.56414504858265,-832.7566858073171,-1128.2480452952962,192.28671887175233,47.467769266639834,-969.1142038698114,109.2971039982599,-916.8458393480548
AEP_IN,AEP_WV,Existing,0,-35200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,2200.0,2200.0,-2200.0,-2200.0,-2200.0,2200.0,-2200.0,-2200.0,-2200.0,-2200.0,2200.0,-2200.0,-2200.0,-2200.0,-2200.0
AEP_IN,AEP_WV,Existing,0,-35200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,2200.0,2200.0,-2200.0,-2200.0,-2200.0,2200.0,-2200.0,-2200.0,-2200.0,-2200.0,2200.0,-2200.0,-2200.0,-2200.0,-2200.0
AEP_WV,AEP_IN,Existing,0,-18352.72540892473,-2200.0,-941.4669636746004,-724.6771420171001,-496.4834397737998,-327.9950822493997,-166.02710888850007,-36.37521306509991,48.26060167169979,-624.4616427013002,840.448272039027,2123.6092392049695,57.385557159399966,-2200.0,-2200.0,978.8942085199755,183.73182979920017,-2200.0,-2200.0,-2200.0,322.1616490417996,-2200.0,-2200.0,210.2698260090001,-2200.0
AEP_WV,AEP_IN,Existing,0,-34513.08728118506,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,2200.0,2200.0,-2200.0,-2200.0,-2200.0,2200.0,-2200.0,-2200.0,-2200.0,-2200.0,2200.0,-2200.0,-2200.0,-2200.0,-1513.0872811850554
AEP_WV,AEP_IN,Existing,0,-44343.90908094573,-1080.9212178241999,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-1053.1036649080186,-1709.1852203470503,-2200.0,-2200.0,-1158.2923673894747,-795.892615243117,-1149.6547975758967,-2200.0,-562.7021822333445,-1634.1570154246278,-2200.0,-2200.0
AEP_WV,AEP_KY,Existing,0,52800.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
AEP_KY,AEP_VA,Existing,0,46653.49163684721,2001.4552911052,2038.7129319578,2066.5577414652,2079.8386326862,2079.6112226942,2068.6497448182,2042.5014117626001,2015.144094151,1972.583638699,1925.6028082638,1883.0843855604,1865.6680367334,1859.1174869046001,1865.036343928,1889.4570019248001,1881.7777757604001,1851.2240383124001,1808.2193893578,1823.6979511094,1842.4290127946,1882.0990851976,1920.5441003914,1966.626946602,2023.8525646672
AEP_VA,AEP_WV,Existing,0,25150.695997062227,551.6105822104,378.82586391559994,1515.2757991420249,461.0772653724,1877.7066366270255,438.6994896363999,1136.9861640828503,1844.7465950092796,274.8040045979999,438.5768002335272,133.26857672080018,1818.5531273117997,142.5422187701315,83.31001185599985,134.4178998496002,1955.5247418533,2200.0,1163.0002192835834,2133.8472513147035,832.7294381364495,1092.705110355555,142.48820078280005,2200.0,2200.0
DOM_VA,AEP_VA,Existing,0,-16494.181950232167,-1500.0,-1500.0,-419.2396837883748,-1500.0,-82.91580876137459,-1500.0,-749.4166594423498,13.058406707279573,-1500.0,-1265.2404866940728,-1500.0,213.12932664499976,-1450.5937078390687,-1500.0,-1500.0,357.28721193249976,694.2173313751998,-254.8385594320166,685.0513490959033,-653.5285874527506,-472.8930600396452,-1500.0,465.34610679599996,-73.60512933440009
AP_WV,AEP_WV,Existing,0,-5150.878894527353,-1500.0,1500.0,1500.0,1500.0,1500.0,-499.9562713824001,-1024.17043496625,1500.0,-671.651617774,-1500.0,-1500.0,1500.0,-846.7977356577501,-1455.1956046302503,982.6788883713753,1500.0,-1500.0,-1500.0,1500.0,-145.79680188924976,-1500.0,-1489.9893165988278,-1500.0,-1500.0
AP_WV,DOM_VA,Existing,0,22578.649624149897,78.64962414989782,1500.0,1500.0,-1500.0,1500.0,-1500.0,1500.0,1500.0,-1500.0,1500.0,1500.0,1500.0,-1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
AP_VA,DOM_VA,Existing,0,4307.645941668249,1294.24237216525,1332.97423678,-1500.0,1372.93140982625,-1500.0,1347.5638015635,-1500.0,1283.6088477819999,1263.1616397260002,1235.4511440909998,1187.1475044017498,-1500.0,1135.16575684225,1104.20160786975,1121.05772143,-1500.0,1016.76140518275,945.4877761155,-1500.0,-1500.0,1079.1936222135,-1500.0,1088.69709567875,-1500.0
AP_VA,DOM_VA,Existing,0,-11852.151729743498,-1500.0,-1500.0,1366.593922187,-1500.0,1374.07663152275,-1500.0,1393.9295650337501,-1500.0,-1500.0,-1500.0,-1500.0,1235.633938815,-1500.0,-1500.0,-1500.0,1172.8447269604999,-1500.0,-1500.0,945.0582254909999,959.60319811075,-1500.0,1027.34801348075,-1500.0,1172.760048655
AP_MD,DOM_VA,Existing,0,-36000.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0
AP_PA,PN_PA,Existing,0,-14770.904463265817,-1500.0,-365.9263590222704,482.67354609392794,-1500.0,-1173.66976468276,-1231.9759301931065,-1500.0,65.73452681762194,-887.2296328181601,-1500.0,969.0161413895692,53.93062012839187,-1500.0,-426.7070663328062,-695.0608144512557,-1191.585107706296,1500.0,-1409.3470840813748,1305.3212146702162,-347.98409860287757,-116.45385306354865,-1235.2910595803119,-1066.349741830776,-1500.0
PN_PA,AP_PA,Existing,0,-15521.220657948503,-92.11546186298051,1500.0,-1500.0,-142.31174323667426,-1500.0,-1500.0,-1500.0,1500.0,-1500.0,-1500.0,1500.0,1500.0,-378.85591636537515,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,1500.0,-1500.0,-1500.0,-1500.0,-1500.0,92.06246351652794
PN_PA,AP_PA,Existing,0,-20333.96525606248,-1500.0,1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,1500.0,-1500.0,-833.96525606248,1500.0,1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0
PEP_MD,AP_MD,Existing,0,-34404.83146693125,-1288.84237216525,-1327.5742367799999,-1361.193922187,-1387.53140982625,-1368.67663152275,-1362.1638015634999,-1500.0,-1500.0,-1231.343186626,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1077.5059062604998,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0
PEP_MD,BC_MD,Existing,0,28055.409537040247,1500.0,1500.0,1007.2423629033542,1500.0,931.1981861374841,1500.0,1049.9786036168093,676.3919677600002,1500.0,1500.0,1500.0,-151.44042495099052,1379.8826898285577,1317.1333631511002,1409.9964658397696,1500.0,1500.0,-250.5029949886075,753.4175884000001,710.8434937837688,1500.0,1500.0,1221.2682355589998,1500.0
PEP_MD,BC_MD,Existing,0,13229.632067677332,-533.745754944182,1500.0,1500.0,-844.346694095301,1500.0,-749.3162880220207,1500.0,1500.0,-707.1025732552803,-530.4105677155079,1500.0,1500.0,-1500.0,1500.0,1500.0,-424.0720340524109,-576.0728011979634,1500.0,1500.0,1500.0,1500.0,-405.30121904,-1500.0,1500.0
