Zone,Type,Pmax (MW),Pmin (MW),Cost ($/MWh),EF,CC
EKPC_KY,NGCT,2076.9999999999995,0,26.300000000000008,0.59,0.9800000000000002
EKPC_KY,Oil,11.5,0,40.0,0.8200000000000001,0.9800000000000002
EKPC_KY,Coal,2072.5,0,23.57,1.01,0.95
EKPC_KY,Hydro,300.3,0,50.0,0.0,0.5
EKPC_KY,SolarPV,25.9,0,0.0,0.0,0.35
EKPC_KY,Landfill_NG,5.4,0,15.0,0.39000000000000007,0.43
EKPC_KY,Bio,5.0,0,20.0,0.99,0.43
CE_IL,NGCT,8276.999999999993,0,26.300000000000047,0.5900000000000017,0.9800000000000011
CE_IL,NuC,7625.299999999999,0,35.0,0.0,0.9900000000000001
CE_IL,Oil,149.90000000000003,0,40.0,0.8200000000000002,0.9800000000000003
CE_IL,Coal,4719.700000000001,0,23.569999999999997,1.01,0.9499999999999998
CE_IL,Hydro,27.1,0,50.0,0.0,0.5
CE_IL,WindOn,5437.5,0,0.0,0.0,0.2799999999999999
CE_IL,SolarPV,108.9,0,0.0,0.0,0.35000000000000014
CE_IL,NGCC,2713.5000000000005,0,18.75,0.40000000000000013,0.9800000000000002
CE_IL,Landfill_NG,39.5,0,15.0,0.3899999999999999,0.4299999999999999
CE_IL,Bio,3.0,0,20.0,0.9899999999999999,0.43
CE_IL,NG,39.7,0,22.524999999999995,0.49499999999999994,0.98
PEP_DE,NGCT,881.8,0,26.3,0.59,0.9800000000000001
PEP_DE,Oil,103.0,0,40.0,0.82,0.9800000000000001
PEP_DE,SolarPV,4.4,0,0.0,0.0,0.35
PEP_DE,NGCC,1193.0,0,18.75,0.39999999999999997,0.9800000000000002
PEP_DE,Landfill_NG,4.2,0,15.0,0.38999999999999996,0.43
PEP_DE,NG,168.9,0,22.525000000000002,0.49500000000000005,0.9800000000000003
DPL_DE,NGCT,191.1,0,26.3,0.59,0.98
DPL_DE,Oil,18.6,0,40.0,0.82,0.98
DPL_DE,Coal,445.5,0,23.57,1.01,0.95
DPL_DE,WindOn,2.0,0,0.0,0.0,0.28
DPL_DE,SolarPV,33.7,0,0.0,0.0,0.35000000000000003
