Technology,Zone,EC_Category,New_Build,Capacity_INI (MW),Capacity_RET (MW),Capacity_FIN (MW)
NGCT,EKPC_KY,Existing,0,3481.5999999999995,0.0,3481.5999999999995
NGCT,CE_IL,Existing,0,9989.299999999987,0.0,9989.299999999987
Oil,DPL_DE,Existing,0,121.6,0.0,121.6
NGCT,DPL_DE,Existing,0,1241.8,0.0,1241.8
Coal,DPL_DE,Existing,0,445.5,0.0,445.5
Coal,DPL_MD,Existing,0,1958.2,0.0,1958.2
Oil,CE_IL,Existing,0,398.9000000000001,0.0,398.9000000000001
Coal,CE_IL,Existing,0,1280.1,0.0,1280.1
Hydro,CE_IL,Existing,0,21.300000000000004,0.0,21.300000000000004
SolarPV,CE_IL,Existing,0,106.0,0.0,106.0
Hydro,AEP_IN,Existing,0,4.8,0.0,4.8
Coal,AEP_IN,Existing,0,93.9,0.0,93.9
NGCT,AEP_KY,Existing,0,1430.5,0.0,1430.5
Hydro,EKPC_KY,Existing,0,587.4,0.0,587.4
Coal,EKPC_KY,Existing,0,7759.7,0.0,7759.7
SolarPV,EKPC_KY,Existing,0,25.9,0.0,25.9
NGCC,EKPC_KY,Existing,0,807.0,0.0,807.0
Oil,EKPC_KY,Existing,0,11.5,0.0,11.5
Oil,DPL_MD,Existing,0,835.1999999999999,0.0,835.1999999999999
Oil,BC_MD,Existing,0,268.0,0.0,268.0
NGCT,BC_MD,Existing,0,737.3999999999999,0.0,737.3999999999999
Hydro,AP_MD,Existing,0,20.0,0.0,20.0
NGCT,PEP_MD,Existing,0,1895.4,0.0,1895.4
Oil,PEP_MD,Existing,0,347.0,0.0,347.0
Coal,PEP_MD,Existing,0,1252.0,0.0,1252.0
Hydro,BC_MD,Existing,0,530.8,0.0,530.8
NuC,AEP_MI,Existing,0,3097.1,0.0,3097.1
Hydro,AEP_MI,Existing,0,12.9,0.0,12.9
NGCT,AE_NJ,Existing,0,1162.5,0.0,1162.5
NGCT,JC_NJ,Existing,0,922.9000000000001,0.0,922.9000000000001
NGCC,PS_NJ,Existing,0,1238.0,0.0,1238.0
NGCT,PS_NJ,Existing,0,1575.4999999999998,0.0,1575.4999999999998
NGCC,RECO_NJ,Existing,0,1400.8000000000002,0.0,1400.8000000000002
NGCC,JC_NJ,Existing,0,5279.699999999999,0.0,5279.699999999999
NuC,JC_NJ,Existing,0,3630.7,0.0,3630.7
Oil,JC_NJ,Existing,0,51.0,0.0,51.0
Hydro,DOM_NC,Existing,0,209.79999999999998,0.0,209.79999999999998
Coal,AEP_OH,Existing,0,7342.900000000001,0.0,7342.900000000001
NGCT,DEOK_OH,Existing,0,2116.0,0.0,2116.0
Coal,DEOK_OH,Existing,0,2540.4,0.0,2540.4
Oil,DEOK_OH,Existing,0,71.4,0.0,71.4
Oil,ATSI_OH,Existing,0,342.0000000000004,0.0,342.0000000000004
Coal,ATSI_OH,Existing,0,882.5,0.0,882.5
NGCT,DAY_OH,Existing,0,827.9,0.0,827.9
Oil,DAY_OH,Existing,0,39.6,0.0,39.6
SolarPV,DAY_OH,Existing,0,2.7,0.0,2.7
Oil,AEP_OH,Existing,0,112.39999999999995,0.0,112.39999999999995
NGCT,ATSI_OH,Existing,0,1123.9000000000003,0.0,1123.9000000000003
NGCT,AEP_OH,Existing,0,2903.3,0.0,2903.3
Oil,DUQ_PA,Existing,0,73.19999999999999,0.0,73.19999999999999
NGCC,DUQ_PA,Existing,0,1793.9,0.0,1793.9
NGCT,DUQ_PA,Existing,0,258.70000000000005,0.0,258.70000000000005
Oil,ME_PA,Existing,0,402.79999999999995,0.0,402.79999999999995
Oil,PL_PA,Existing,0,1024.3999999999987,0.0,1024.3999999999987
Hydro,ME_PA,Existing,0,735.5999999999999,0.0,735.5999999999999
Coal,PN_PA,Existing,0,4723.6,0.0,4723.6
Oil,PN_PA,Existing,0,62.5,0.0,62.5
NGCT,AP_PA,Existing,0,1720.1,0.0,1720.1
Hydro,AP_PA,Existing,0,113.0,0.0,113.0
Oil,AP_PA,Existing,0,17.2,0.0,17.2
NGCT,PN_PA,Existing,0,277.8,0.0,277.8
Coal,AP_PA,Existing,0,1966.7,0.0,1966.7
NGCT,ME_PA,Existing,0,2262.900000000001,0.0,2262.900000000001
Coal,ME_PA,Existing,0,1796.1,0.0,1796.1
Coal,PL_PA,Existing,0,2122.8,0.0,2122.8
Hydro,PN_PA,Existing,0,90.60000000000002,0.0,90.60000000000002
Oil,PE_PA,Existing,0,322.80000000000007,0.0,322.80000000000007
Oil,ATSI_PA,Existing,0,79.60000000000001,0.0,79.60000000000001
NGCT,ATSI_PA,Existing,0,782.0,0.0,782.0
NuC,ME_PA,Existing,0,2876.4,0.0,2876.4
NGCC,PL_PA,Existing,0,6082.600000000001,0.0,6082.600000000001
Hydro,AEP_TN,Existing,0,203.79999999999998,0.0,203.79999999999998
NGCC,AEP_TN,Existing,0,614.3,0.0,614.3
Hydro,AEP_VA,Existing,0,438.79999999999995,0.0,438.79999999999995
Hydro,AP_VA,Existing,0,78.8,0.0,78.8
NGCT,AEP_VA,Existing,0,614.5,0.0,614.5
Oil,DPL_VA,Existing,0,12.0,0.0,12.0
Oil,AP_VA,Existing,0,501.30000000000024,0.0,501.30000000000024
Coal,DOM_VA,Existing,0,1945.4,0.0,1945.4
NGCC,DOM_VA,Existing,0,7483.9,0.0,7483.9
Oil,DOM_VA,Existing,0,1341.2999999999945,0.0,1341.2999999999945
NuC,DOM_VA,Existing,0,3654.3999999999996,0.0,3654.3999999999996
Hydro,DOM_VA,Existing,0,304.8,0.0,304.8
Coal,AEP_WV,Existing,0,5865.2,0.0,5865.2
Coal,AP_WV,Existing,0,7206.499999999999,0.0,7206.499999999999
Oil,AP_WV,Existing,0,18.5,0.0,18.5
Hydro,AEP_OH,Existing,0,117.6,0.0,117.6
NuC,PEP_MD,Existing,0,1850.4,0.0,1850.4
Coal,AEP_KY,Existing,0,772.0,0.0,772.0
NuC,ATSI_OH,Existing,0,2236.8,0.0,2236.8
NuC,CE_IL,Existing,0,4899.6,0.0,4899.6
NuC,PL_PA,Existing,0,6655.8,0.0,6655.8
Oil,DOM_NC,Existing,0,131.4,0.0,131.4
Hydro,AP_WV,Existing,0,167.1,0.0,167.1
