Technology,Zone,EC_Category,New_Build,EnergyCapacity (MWh),Capacity (MW)
BES,AEP_IN,Existing,0,80.0,20.0
BES,DEOK_OH,Existing,0,8.0,2.0
BES,DEOK_OH,Existing,0,8.0,2.0
HPS,ME_PA,Existing,0,536.0,134.0
HPS,ME_PA,Existing,0,536.0,134.0
HPS,ME_PA,Existing,0,536.0,134.0
HPS,ME_PA,Existing,0,536.0,134.0
HPS,ME_PA,Existing,0,536.0,134.0
HPS,ME_PA,Existing,0,536.0,134.0
HPS,ME_PA,Existing,0,536.0,134.0
HPS,ME_PA,Existing,0,536.0,134.0
HPS,AEP_VA,Existing,0,264.0,66.0
HPS,AEP_VA,Existing,0,461.2,115.3
HPS,AEP_VA,Existing,0,264.0,66.0
HPS,AP_VA,Existing,0,1908.0,477.0
HPS,AP_VA,Existing,0,1908.0,477.0
HPS,AP_VA,Existing,0,1908.0,477.0
HPS,AP_VA,Existing,0,1908.0,477.0
HPS,AP_VA,Existing,0,1908.0,477.0
HPS,AP_VA,Existing,0,1908.0,477.0
BES,DOM_NC,Existing,0,4.0,1.0
HPS,JC_NJ,Existing,0,604.0,151.0
HPS,JC_NJ,Existing,0,604.0,151.0
HPS,JC_NJ,Existing,0,604.0,151.0
HPS,PN_PA,Existing,0,823.6,205.9
HPS,PN_PA,Existing,0,823.6,205.9
BES,AP_PA,Existing,0,41.6,10.4
BES,CE_IL,Existing,0,80.0,20.0
BES,AEP_WV,Existing,0,64.0,16.0
BES,ATSI_OH,Existing,0,16.0,4.0
BES,AEP_OH,Existing,0,3.2,0.8
BES,DPL_MD,Existing,0,44.0,11.0
BES,CE_IL,Existing,0,18.0,4.5
BES,CE_IL,Existing,0,126.0,31.5
BES,CE_IL,Existing,0,79.2,19.8
BES,CE_IL,Existing,0,79.2,19.8
BES,DEOK_OH,Existing,0,40.0,10.0
BES,AEP_OH,Existing,0,28.0,7.0
BES,AEP_WV,Existing,0,126.0,31.5
BES,CE_IL,Existing,0,79.2,19.8
BES,DEOK_OH,Existing,0,24.0,6.0
BES,AEP_IN,Existing,0,4.0,1.0
BES,JC_NJ,Existing,0,4.0,1.0
BES,PE_PA,Existing,0,24.8,6.2
BES,JC_NJ,Existing,0,79.2,19.8
BES,AE_NJ,Existing,0,79.2,19.8
BES,PS_NJ,Existing,0,4.0,1.0
BES,CE_IL,Existing,0,1.2,0.3
BES,PS_NJ,Existing,0,4.0,1.0
BES,AP_PA,Existing,0,72.0,18.0
BES,CE_IL,Existing,0,80.0,20.0
BES,AEP_IN,Existing,0,20.0,5.0
BES,AEP_IN,Existing,0,20.0,5.0
BES,AEP_IN,Existing,0,20.0,5.0
BES,DOM_NC,Existing,0,40.0,10.0
BES,JC_NJ,Existing,0,2.4,0.6
Battery,DEOK_OH,Candidate,0,0.0,0.0
Battery,AEP_VA,Candidate,0,0.0,0.0
Battery,ME_PA,Candidate,0,0.0,0.0
Battery,DOM_NC,Candidate,1,2254.7179626621073,563.6794906655268
Battery,JC_NJ,Candidate,0,0.0,0.0
Battery,PN_PA,Candidate,0,0.0,0.0
Battery,AP_MD,Candidate,0,0.0,0.0
Battery,CE_IL,Candidate,0,0.0,0.0
Battery,ATSI_PA,Candidate,0,0.0,0.0
Battery,DPL_DE,Candidate,0,0.0,0.0
Battery,PE_PA,Candidate,0,0.0,0.0
Battery,PS_NJ,Candidate,0,0.0,0.0
Battery,BC_MD,Candidate,0,0.0,0.0
Battery,DAY_OH,Candidate,0,0.0,0.0
Battery,DPL_MD,Candidate,0,0.0,0.0
Battery,DUQ_PA,Candidate,0,0.0,0.0
Battery,EKPC_KY,Candidate,0,0.0,0.0
Battery,OVEC_OH,Candidate,0,0.0,0.0
Battery,PN_PA,Candidate,0,0.0,0.0
Battery,PL_PA,Candidate,0,0.0,0.0
Battery,PEP_MD,Candidate,0,0.0,0.0
Battery,RECO_NJ,Candidate,0,0.0,0.0
