From_zone,To_zone,EC_Category,New_Build,AnnSum,t1h1,t1h2,t1h3,t1h4,t1h5,t1h6,t1h7,t1h8,t1h9,t1h10,t1h11,t1h12,t1h13,t1h14,t1h15,t1h16,t1h17,t1h18,t1h19,t1h20,t1h21,t1h22,t1h23,t1h24,t2h1,t2h2,t2h3,t2h4,t2h5,t2h6,t2h7,t2h8,t2h9,t2h10,t2h11,t2h12,t2h13,t2h14,t2h15,t2h16,t2h17,t2h18,t2h19,t2h20,t2h21,t2h22,t2h23,t2h24,t3h1,t3h2,t3h3,t3h4,t3h5,t3h6,t3h7,t3h8,t3h9,t3h10,t3h11,t3h12,t3h13,t3h14,t3h15,t3h16,t3h17,t3h18,t3h19,t3h20,t3h21,t3h22,t3h23,t3h24,t4h1,t4h2,t4h3,t4h4,t4h5,t4h6,t4h7,t4h8,t4h9,t4h10,t4h11,t4h12,t4h13,t4h14,t4h15,t4h16,t4h17,t4h18,t4h19,t4h20,t4h21,t4h22,t4h23,t4h24
CE_IL,AEP_IN,Existing,0,133638.14617306166,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,584.7229208674091,2200.0,2200.0,550.2446821196945,76.10382805262316,397.18479959748225,65.45607296613139,346.9658787005061,423.3064538634628,1415.0878838877295,1281.8233486687454,2200.0,1545.9657341111524,2200.0,2200.0,2200.0,2200.0,769.654077250769,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-445.3459131376261,-1899.1746364898017,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-1577.3457349993969,-2115.20269899895,-1599.9592489776473,-158.21775940945247,-1552.649744649935,-1036.537535881626,-509.8703511341422,288.6798612600719,927.2863009501998,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1659.9679544442724,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
AEP_WV,AP_WV,Existing,0,192554.27281119357,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1385.9909278826215,2200.0,1328.8466440684879,1306.8893446678678,399.31511003769674,-765.6084067675599,413.4447525370317,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,345.9959750400012,837.0645460121289,1375.0944286902802,2200.0,1727.8027072382333,2200.0,-457.7096310543377,1196.5467773512748,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,860.5996354898396,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
AEP_IN,DAY_OH,Existing,0,41636.97572538807,271.90034417742277,79.47644887452952,-303.48347481496745,81.46254033360219,-550.4440403646871,171.85958947417333,363.48729751113643,-847.4556655217519,52.29105991957067,-183.31119896009,372.5404150968136,-603.6872216306833,-2085.220581716106,1156.3258996118416,488.05309729571627,-68.6095392876939,177.8847363064208,1197.7435247183557,-2200.0,-754.6462357906439,-59.2379023823778,327.0611917559272,1001.2814537192567,1266.896560131654,1418.1437724117607,223.90903119557845,-280.92279941913,1998.6864458637074,2200.0,446.4798203656152,370.63140666576885,974.0489318949955,509.70036159145184,467.5724480906972,1156.563958874698,1082.7030214487859,562.3688255225193,368.96621988554693,-26.25885673428411,1566.2660492774005,-46.24858313661525,-1291.4880632550094,-2200.0,-1490.860620228247,-881.0024197401608,-208.29476320210995,615.2606393849624,1508.9145796684243,192.3739321275313,-357.3418680303578,215.60317806046783,196.0115182204463,-557.6014483000713,-621.7593164089376,-42.13196979168913,257.9473537361812,-215.4308072964434,1854.3175683769273,288.6788683926927,2200.0,2200.0,482.543577631435,-294.0923286123357,581.918136260817,217.98864599827104,-407.6981554687898,1617.0980482410835,1925.7491401908928,-25.660865634823722,1713.5445749870673,229.66140993997215,173.11161809006944,-66.8429105709572,-1491.319715549135,1571.0560577615029,1576.7164568920646,1608.1227138702814,-2200.0,1780.0250354582572,1661.053882349643,426.24860529844545,940.1932592967146,1284.3309016053554,1659.041332585655,2200.0,1551.3405307856,1317.1599718554553,429.35549491323854,49.8867606972658,2200.0,-1019.8335730616461,234.31547979854008,609.3207347580196,1761.4514115821207,1695.5339202433145,1637.680859224157
DAY_OH,AEP_OH,Existing,0,192645.81587102034,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,857.9431996270762,233.31088044693274,2200.0,-62.22800965487477,1009.6266230274191,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,878.4790182888447,2200.0,130.13545534423167,2200.0,2200.0,2200.0,1108.3402576721644,632.0180382133171,863.676196835861,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-327.2475376596269,1684.460375545421,837.3013733335902,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
AEP_IN,AEP_WV,Existing,0,176000.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
AEP_IN,AEP_WV,Existing,0,211200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
AEP_WV,AEP_IN,Existing,0,136400.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-2200.0,-2200.0,2200.0,-2200.0,-2200.0,-2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-2200.0,-2200.0,-2200.0,2200.0,-2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
AEP_WV,AEP_IN,Existing,0,-94739.32615807651,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-380.3250893541591,-1088.5336319410019,-1321.7881068586225,886.5405668588669,401.76121259975025,-1387.1427968621288,2200.0,2200.0,673.9703648587097,-896.1652961543634,-343.06190493456074,-2200.0,-2200.0,-2200.0,-1644.7816717021449,-263.6359742181321,-1184.3196757223327,522.1768261142774,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,584.8886797977057,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-308.85713164615686,-934.0113467389019,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,2200.0,2200.0,-2200.0,1542.4229454624492,2200.0,2200.0,-2200.0,-618.8357840157682,-836.4448020848245,-605.5855154693434,1024.1254448997474,-2200.0,-2166.116834394,-2200.0,-2200.0,2200.0,2200.0,2200.0,-2200.0,2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-595.6066365715792,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0,-2200.0
AEP_WV,AEP_IN,Existing,0,174697.1869841477,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1271.8107342052308,2200.0,2200.0,2200.0,539.5933195497528,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1228.0005035063468,1474.96346547772,-245.5273224714178,2200.0,2200.0,2200.0,2200.0,1693.4278535345727,2200.0,2200.0,2200.0,983.7138160961283,2200.0,2200.0,2200.0,105.89322758159051,2200.0,2200.0,2200.0,2069.567758076678,2200.0,2200.0,1631.5721404222797,2200.0,2200.0,1501.26351397702,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,566.3062364027048,1178.4049336425974,1479.160265226041,2200.0,1162.3153754819452,1029.724855825462,1511.5326923500163,2200.0,725.3177619581684,1081.2364402712542,1111.8687937402638,1196.0371625349721,185.0720094527877,1570.1720572538534,1355.167670761105,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1876.4763771605217,-1234.9809597867484,255.5989371962305,383.35006954528217,1478.0426341659086,1333.5279072716621,1198.5767537377974
AEP_WV,AEP_KY,Existing,0,189003.44954467288,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,862.4371332943178,1473.145265882922,1490.91168165056,2012.757590461626,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,-89.98173266200752,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1951.2281472449677,1480.7604611115603,1225.4502350284358,1075.8493920401,1062.8860028806412,518.1631223796887,1329.7068370808106,1607.4000184485383,2051.8573578820224,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1886.1897781152998,1408.5757432669884,1498.0061293290917,1093.3201847150638,1080.2799179460317,2200.0,1482.7531060009132,1955.6404246926281,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1961.6379894542279,1557.9325583337995,1263.2902611387042,1223.2276935119519,1362.3210833732533,1580.9204874799536,1996.782674590855,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
AEP_KY,AEP_VA,Existing,0,173503.55039669518,1914.903558610363,1945.70333632118,1954.2049616572688,1935.1517727227447,1868.295442758285,1813.7801975984898,2000.9188573836327,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1868.9844392864438,1564.0638942694407,1515.0947567230137,1555.903372911172,1662.2201518135107,1778.5078221723252,1864.6593832753333,-514.6115338067737,1844.4131422288601,1878.9371059636076,1880.4335011687822,1834.7840933337015,1801.521998196424,1989.7736311814092,2200.0,2200.0,2200.0,2200.0,2200.0,1581.742229271682,2200.0,2200.0,2200.0,1904.5765363048995,1415.8511183040082,1161.6602277557847,1171.5366832331101,1265.2826749528872,1411.3231467434541,1566.7605788596343,1690.9956364869947,1835.0244429443417,1854.8114512042666,1859.7301039161027,1840.2791204982611,1784.4979233830472,1680.2560881235527,1600.6740594911014,1896.612263523783,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1821.210183783749,1576.434704162755,1537.055105434542,1546.66407087395,1586.8415257979782,1652.1938758844753,1731.3767385382002,1795.3330425633835,1467.660599300076,1493.1065990975812,1493.7991761732383,1478.6464318471094,1432.2618495673962,1346.2271943284327,1231.657828081732,1317.2276363499416,1918.3625485465905,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1794.264585838138,1356.2214019722035,1249.920787652087,1234.9880035578992,1252.843181319026,1301.02051011175,1370.8255532518037,1438.1490918949976
AEP_VA,AEP_WV,Existing,0,136768.30339248417,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1559.3682907159362,2052.2380971172206,-322.14684203607476,520.1509115506218,457.2985759404843,-1.5695434243051807,98.2156443446504,270.51876655066667,2200.0,2200.0,2200.0,54.76700233756446,1936.1450615067565,-96.91102115877925,2200.0,1077.289609899187,2200.0,2200.0,2200.0,2200.0,2200.0,557.4951968717653,1568.904434999491,2200.0,2200.0,1462.0849364537735,2200.0,2200.0,1641.917325047113,2200.0,2200.0,2200.0,2200.0,475.85559286907755,2200.0,1058.8986408176254,2200.0,561.370714660832,2200.0,974.0444362149523,694.0172542030859,1476.3824285856708,138.81065875499758,-53.66473736722878,2200.0,802.9448140765753,-300.71802420324184,824.7797844236991,1444.2366629646294,-305.14101444599373,346.8097296828224,638.2179313037946,-20.33259651907838,215.97917914403195,3.9534770764005316,422.00554001079854,2200.0,2200.0,2200.0,2200.0,2200.0,986.3543886568655,2200.0,1954.8070817502396,1068.7901900635306,106.71958120906504,405.6890042286075,-311.9247007918684,358.72759319496345,-439.550516077604,762.410081823892,200.81639873863833,1613.731298933203,2200.0,903.9615753041738,1945.1760071157983,1914.8863626380517,1961.9410202235,2101.551106503607,2200.0
DOM_VA,AEP_VA,Existing,0,-27258.09543836172,570.1928827792742,508.5933273576402,491.59007668546224,529.6964545545106,453.7308091473583,-1234.5362591002618,239.051794993224,-139.0206130173243,1500.0,-1082.363511659149,1500.0,1500.0,-1500.0,-1500.0,1500.0,450.49918128029924,-724.6626839680814,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,1139.2413349515398,-923.7687470909937,648.225788072785,-1500.0,472.67687483935333,-1500.0,378.87941150379993,-1500.0,1061.7546317835902,-1251.728495519583,-521.9509005189439,-114.01471176828159,-782.4380963403651,-827.5094712396913,-1500.0,-358.16315222379785,451.21351780557325,-469.5134826975854,1017.0625666702826,1208.7784541489414,1108.721425486849,1500.0,1272.5788422807314,1024.1087270260107,729.9511141113169,-967.7673095394557,47.39833058152101,-421.6596001788969,946.3041532339057,-1500.0,-704.5418562447674,-563.321532181676,-606.7600647165584,-1500.0,-1178.4726409877271,-254.3567631208964,1500.0,-1500.0,-1173.9154225555474,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1209.8605451159683,-535.3211986001518,979.233132849649,454.2024613122155,1201.507136305781,1500.0,-1500.0,1500.0,1500.0,-684.9708968015827,-1500.0,-1500.0,-1500.0,-869.0965218275555,-1500.0,-1500.0,-1500.0,-1500.0,1500.0,-1500.0,1500.0,1500.0,1500.0,1500.0,1456.426608891503
AP_WV,AEP_WV,Existing,0,85872.0989303677,284.0809616279641,253.33573332068784,244.60841287634867,263.8279271059553,330.86010457704407,381.8141119364222,174.37005691337157,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,856.7346877123447,362.71908400469886,328.2047865027989,1500.0,-88.76568936273816,254.18547746575422,195.11237207996544,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,-1053.6576402072503,1035.6633167668897,1500.0,795.8768532565459,510.00717921704324,516.1462559794118,363.90617229393587,1500.0,339.4261573011237,1500.0,-284.1949192818438,1500.0,596.3114261663837,1500.0,801.7969927994495,1500.0,1500.0,1500.0,1500.0,1358.8501149507272,1500.0,822.5549534981765,1124.7221698668054,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,714.741509212731,-777.5844772170153,-421.52765112084376,-374.24184708967346,-242.714194554105,45.98913631532912,332.0715139735762,263.0652275037012,1343.4347269167451,1500.0,364.93202678704574,474.15605451754504,1328.3437975982583,814.3872661791083,70.89627454798654,1500.0,954.6484777263577,512.9805602276176,-1193.1219009929114,-728.843321915231,-589.8455741533154,408.199644259008,52.92604461192923,-249.29142233415087
AP_WV,DOM_VA,Existing,0,87152.51522942093,-27.22615330806815,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,-1466.638615386951,1179.2190675895574,1500.0,-885.477239984825,-1391.8654532194773,-1500.0,-1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,-145.73088764668478,1500.0,505.8069327649014,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,-240.53590597895663,-461.76786535409855,1500.0,1500.0,1500.0,635.3927596117189,546.4832131941433,707.10340291083,928.2912316808629,1500.0,1500.0,1500.0,1500.0,1206.9145742185774,353.5409156648783,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,-456.5798774961049,-609.0344869935324,-1500.0,-633.4106781114972,-839.9617854137483,-486.0329544224337,-1500.0,-1500.0,1041.5779889982618,1500.0,1500.0,1072.8876080100104,874.585068161749,-540.9450662101749,1500.0,156.4501031752095,1500.0,334.02638682423867,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,855.5604625413155,1500.0,1500.0,1032.4795303766848,1500.0,21.347271035890117,491.26965886542007,894.7860233232416
AP_VA,DOM_VA,Existing,0,-137011.32210195955,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,925.1983039212708,897.6868319248576,-1500.0,665.792762194323,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0
AP_VA,DOM_VA,Existing,0,38976.40140556584,1056.854808319896,1092.029842207547,1099.8398880340421,1069.3416265563342,980.1485374040019,835.7017282026546,731.9811231815763,688.3069210744824,662.3711842458201,641.2211929296064,627.2310068167031,614.2896803830711,535.1790446268013,531.3638189864382,572.3264247093848,531.208515471153,486.28493026221474,473.0054376390026,474.09204165575255,476.5533559315121,555.6849351002418,722.2579339833301,879.6940877811827,995.8213338945967,948.3496834720194,1034.338767612389,1078.3331642998455,1076.776622965773,1016.6343106372617,909.6522505228261,806.7088093990221,682.3750402278024,554.1384092676949,414.9667029060041,280.17917327322954,156.9795172105076,48.929006272638745,-25.826165260326924,-90.2179353839711,-147.59385315684136,-174.91911985504353,-130.32167980196874,-25.856287881186336,84.40849419330652,231.26223585055413,447.4686164073448,661.8903924111866,828.6496588902418,892.1974039747987,923.1691965640347,-1500.0,-1500.0,815.8050807181563,-1500.0,519.4638892479724,458.54331228198583,486.01417470303494,531.9074183127083,579.418340006028,614.0265262828717,648.6647026215696,675.515405098146,687.4455088796634,653.5314164507466,577.9328446680765,467.3823752128962,428.51874043553494,453.7055773830664,518.2486100529201,619.3670455775662,735.5736062024653,827.9597773505346,295.3579219967419,327.8155227829848,327.05052499659723,304.045760920337,237.27087360764403,109.65768657692047,-64.62488067832493,-163.81385026600134,-142.59590081018877,-72.60849162003115,8.232952659121906,82.0376169558105,143.93584117850432,193.66888018675903,227.60257033134118,208.85960477315672,138.08630956419992,-2.834160114273234,-87.72190099291129,-90.96379153854605,-51.98107060779421,34.94691529489819,149.5957034773494,250.8946009890908
