Zone,Inv_cost ($),Opr_cost ($),LoL_plt ($),Total_cost ($)
AE_NJ,0.0,2.452269747167646e8,0.0,2.452269747167646e8
AEP_VA,9.773216057484185e8,6.4304867072372116e7,0.0,1.0416264728207905e9
AEP_WV,6.317705269499673e8,1.6172967321188635e8,0.0,7.935002001618536e8
AEP_KY,4.91403364832301e6,1.4484984920337588e7,0.0,1.93990185686606e7
AEP_TN,0.0,1.3644982843275676e7,0.0,1.3644982843275676e7
AEP_OH,0.0,9.427065536649908e8,0.0,9.427065536649908e8
AEP_IN,0.0,5.451199956776471e7,0.0,5.451199956776471e7
AEP_MI,2.992283014516956e6,6.218508966996846e7,0.0,6.517737268448542e7
AP_MD,0.0,0.0,0.0,0.0
AP_PA,0.0,3.053227589964706e8,0.0,3.053227589964706e8
AP_VA,0.0,2.288864676808523e8,0.0,2.288864676808523e8
AP_WV,2.819368361450788e8,4.788600284798028e7,0.0,3.2982283899305904e8
ATSI_PA,0.0,2.3646558064496052e8,0.0,2.3646558064496052e8
ATSI_OH,0.0,8.700609224091179e8,0.0,8.700609224091179e8
BC_MD,0.0,2.1024406875000007e7,0.0,2.1024406875000007e7
CE_IL,2.981995956240106e8,7.929347964311984e8,0.0,1.091134392055209e9
DAY_OH,0.0,0.0,0.0,0.0
DPL_DE,0.0,8.446329748899245e7,0.0,8.446329748899245e7
DPL_MD,0.0,1.5573279818418112e8,0.0,1.5573279818418112e8
DPL_VA,1.4046835411885645e7,3.0828656934268203e7,0.0,4.487549234615385e7
DOM_NC,4.7221364855125934e8,1.579536889966422e8,0.0,6.301673375479015e8
DOM_VA,4.85768526912764e8,1.3853770947660291e9,0.0,1.8711456216787932e9
DEOK_OH,0.0,2.0882572642058823e8,0.0,2.0882572642058823e8
DEOK_KY,4.217854544739056e7,4.8430495444520526e7,0.0,9.060904089191109e7
DUQ_PA,5.694170208089663e6,3.218266101805942e8,0.0,3.2752078038868386e8
EKPC_KY,0.0,4.4375846956702673e8,0.0,4.4375846956702673e8
JC_NJ,0.0,1.1478967900098596e9,0.0,1.1478967900098596e9
ME_PA,0.0,5.589598731194423e8,0.0,5.589598731194423e8
OVEC_OH,0.0,0.0,0.0,0.0
PL_PA,0.0,1.414042325956654e9,0.0,1.414042325956654e9
PE_PA,0.0,982212.4217647056,0.0,982212.4217647056
PN_PA,0.0,2.9854311639566666e8,0.0,2.9854311639566666e8
PEP_MD,0.0,4.4647473796212745e8,0.0,4.4647473796212745e8
PS_NJ,0.0,6.2002945037142254e7,0.0,6.2002945037142254e7
RECO_NJ,0.0,1.0988401905188398e8,0.0,1.0988401905188398e8
