Pmax (MW),Pmin (MW),Zone,Type,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW)
149,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
98,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
149,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
149,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
108,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
108,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
98,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
98,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
98,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
1138.3,0,CE_IL,NuC,1,0,0,0,9,0,0.99,1,0.018,0,1,1,1,0,0,248
660,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
660,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
26,0,PEP_DE,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
26,0,PEP_DE,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
18.5,0,PEP_DE,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
12.5,0,PEP_DE,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
75,0,PEP_DE,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
176.8,0,PEP_DE,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
446,0,PEP_DE,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
18.6,0,DPL_DE,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
445.5,0,DPL_DE,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
20,0,PEP_DE,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
685.1,0,PL_MD,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
685.1,0,PL_MD,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
1009.3,0,CE_IL,NuC,1,0,0,0,9,0,0.99,1,0.018,0,1,1,1,0,0,248
1009.3,0,CE_IL,NuC,1,0,0,0,9,0,0.99,1,0.018,0,1,1,1,0,0,248
360.4,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
659.5,0,CE_IL,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
659.5,0,CE_IL,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
892.8,0,CE_IL,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
892.8,0,CE_IL,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
1009.3,0,CE_IL,NuC,1,0,0,0,9,0,0.99,1,0.018,0,1,1,1,0,0,248
1009.3,0,CE_IL,NuC,1,0,0,0,9,0,0.99,1,0.018,0,1,1,1,0,0,248
28,0,CE_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
28,0,CE_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
28,0,CE_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
28,0,CE_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
326.4,0,CE_IL,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
355.3,0,CE_IL,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
598.4,0,CE_IL,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
32.5,0,PS_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
32.5,0,PS_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
32.5,0,PS_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
32.5,0,PS_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
32.5,0,PS_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
32.5,0,PS_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
32.5,0,PS_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
32.5,0,PS_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
625.1,0,AEP_IL,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
634.5,0,AEP_IL,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
18,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
