Month,Day,Period,EKPC_KY,AP_MD,AP_PA,AP_VA,AP_WV,AEP_VA,AEP_WV,AEP_KY,AEP_TN,AEP_OH,AEP_IN,AEP_MI,DPL_MD,DPL_DE,DOM_NC,DOM_VA,DAY_OH,JC_NJ,RECO_NJ,BC_MD,ME_PA,PS_NJ,CE_IL,AE_NJ,OVEC_OH,PE_PA,PL_PA,DEOK_OH,DUQ_PA,PN_PA,PEP_MD,ATSI_PA,ATSI_OH
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,9,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325,0.26739325
1,1,10,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959,0.484959
1,1,11,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725,0.62215725
1,1,12,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075,0.68833075
1,1,13,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175,0.69603175
1,1,14,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375,0.49088375
1,1,15,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475,0.5123475
1,1,16,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025,0.31517025
1,1,17,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832
1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
