Pmax (MW),Pmin (MW),Type,Flag_thermal,Flag_VRE,Cost ($/MWh),EF,CC,Zone,FOR,RU,RD,RM_SPIN
149,0,NGCT,1,0,26.3,0.59,0.98,EKPC_KY,0.068,1,1,0.16
98,0,NGCT,1,0,26.3,0.59,0.98,EKPC_KY,0.068,1,1,0.16
149,0,NGCT,1,0,26.3,0.59,0.98,EKPC_KY,0.068,1,1,0.16
149,0,NGCT,1,0,26.3,0.59,0.98,EKPC_KY,0.068,1,1,0.16
108,0,NGCT,1,0,26.3,0.59,0.98,EKPC_KY,0.068,1,1,0.16
108,0,NGCT,1,0,26.3,0.59,0.98,EKPC_KY,0.068,1,1,0.16
98,0,NGCT,1,0,26.3,0.59,0.98,EKPC_KY,0.068,1,1,0.16
98,0,NGCT,1,0,26.3,0.59,0.98,EKPC_KY,0.068,1,1,0.16
98,0,NGCT,1,0,26.3,0.59,0.98,EKPC_KY,0.068,1,1,0.16
1138.3,0,NuC,1,0,35,0,0.99,CE_IL,0.018,1,1,0
660,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
660,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
26,0,Oil,1,0,40,0.82,0.98,PEP_DE,0.07,1,1,0
26,0,Oil,1,0,40,0.82,0.98,PEP_DE,0.07,1,1,0
18.5,0,Oil,1,0,40,0.82,0.98,PEP_DE,0.07,1,1,0
12.5,0,Oil,1,0,40,0.82,0.98,PEP_DE,0.07,1,1,0
75,0,NGCT,1,0,26.3,0.59,0.98,PEP_DE,0.068,1,1,0.16
176.8,0,NGCT,1,0,26.3,0.59,0.98,PEP_DE,0.068,1,1,0.16
446,0,NGCT,1,0,26.3,0.59,0.98,PEP_DE,0.068,1,1,0.16
18.6,0,Oil,1,0,40,0.82,0.98,DPL_DE,0.07,1,1,0
445.5,0,Coal,1,0,23.57,1.01,0.95,DPL_DE,0.07,0.36,0.36,0.06
20,0,Oil,1,0,40,0.82,0.98,PEP_DE,0.07,1,1,0
685.1,0,Coal,1,0,23.57,1.01,0.95,PL_MD,0.07,0.36,0.36,0.06
685.1,0,Coal,1,0,23.57,1.01,0.95,PL_MD,0.07,0.36,0.36,0.06
1009.3,0,NuC,1,0,35,0,0.99,CE_IL,0.018,1,1,0
1009.3,0,NuC,1,0,35,0,0.99,CE_IL,0.018,1,1,0
360.4,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
659.5,0,Coal,1,0,23.57,1.01,0.95,CE_IL,0.07,0.36,0.36,0.06
659.5,0,Coal,1,0,23.57,1.01,0.95,CE_IL,0.07,0.36,0.36,0.06
892.8,0,Coal,1,0,23.57,1.01,0.95,CE_IL,0.07,0.36,0.36,0.06
892.8,0,Coal,1,0,23.57,1.01,0.95,CE_IL,0.07,0.36,0.36,0.06
1009.3,0,NuC,1,0,35,0,0.99,CE_IL,0.018,1,1,0
1009.3,0,NuC,1,0,35,0,0.99,CE_IL,0.018,1,1,0
28,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
