From_zone,To_zone,from_bus,to_bus,KV,Capacity (MW)
CE_IL,AEP_IN,Collins,Planos,765,2200
AEP_WV,AP_WV,Kammer,Belmont,765,2200
AEP_IN,DAY_OH,Sorenson,Marysville,765,2200
DAY_OH,AEP_OH,Marysville,Flatlick,765,2200
AEP_IN,AEP_WV,Vassell,Kammer,765,2200
AEP_IN,AEP_WV,Guernsey,Kammer,765,2200
AEP_WV,AEP_IN,Mountaineer,Gavin,765,2200
AEP_WV,AEP_IN,Culloden,Gavin,765,2200
AEP_WV,AEP_IN,John Amos,North Proctorville,765,2200
AEP_WV,AEP_KY,Culloden,Baker,765,2200
AEP_KY,AEP_VA,Baker,Broadford,765,2200
AEP_VA,AEP_WV,Jacksons Ferry,Wyoming,765,2200
DOM_VA,AEP_VA,Lexington,Cloverdale,500,1500
AP_WV,AEP_WV,502 Junction,Kammer,500,1500
AP_WV,DOM_VA,Mt.Storm,Valley,500,1500
AP_VA,DOM_VA,Meadow Brook,Loudoun,500,1500
AP_VA,DOM_VA,Front Roya;,Mornsville,500,1500
AP_MD,DOM_VA,Doubs,Goose Creek,500,1500
AP_PA,PN_PA,Keystone,South Bend,500,1500
PN_PA,AP_PA,South Bend,Yukon,500,1500
PN_PA,AP_PA,Conemaugh,Keystone,500,1500
PEP_MD,AP_MD,Brighton,Doubs,500,1500
PEP_MD,BC_MD,Brighton,Conastone,500,1500
PEP_MD,BC_MD,Brighton,Waugh Chapel,500,1500
PEP_MD,BC_MD,Calvert Cliffs,Waugh Chapel,500,1500
PEP_MD,BC_MD,Calvert Cliffs,Waugh Chapel,500,1500
PEP_MD,DOM_VA,Possum Point,Possum Meter,500,1500
ATSI_PA,AP_PA,Cranberry,Cabot,500,1500
ATSI_PA,AP_WV,Cranberry,Wylie Ridge,500,1500
BC_MD,ME_PA,Conastone,Hunterstown,500,1500
BC_MD,PE_PA,Conastone,Peach Bottom,500,1500
PE_PA,ME_PA,Peach Bottom,Three Mile Island,500,1500
PE_PA,PL_PA,Peach Bottom,Rock Springs,500,1500
PE_PA,PL_PA,Elroy,Hosensack,500,1500
AE_NJ,DPL_DE,Hope Creek,Red Lion,500,1500
JC_NJ,AE_NJ,East Windsor,New Freedom,500,1500
JC_NJ,PS_NJ,Branchburg,Deans,500,1500
JC_NJ,PE_PA,Branchburg,Elroy,500,1500
JC_NJ,PL_PA,Hopatcong,Lackawanna,500,1500
JC_NJ,PS_NJ,Hopatcong,Roseland,500,1500
PS_NJ,JC_NJ,Deans,Smithburg,500,1500
PS_NJ,JC_NJ,Deans,East Windsor,500,1500
PL_PA,JC_NJ,Alburtis,Branchburg,500,1500
PL_PA,AP_PA,Juniata,Keystone,500,1500
PL_PA,ME_PA,Lauschtown,Three Mile Island,500,1500
ME_PA,PN_PA,Hunterstown,Vinco,500,1500
AEP_OH,ATSI_OH,Fostoria Ctl,Lemoyne,345,600
AEP_OH,ATSI_OH,Fostoria Ctl,Lallendorf,345,600
AEP_OH,ATSI_OH,Ohio Central,Galion,345,600
AEP_OH,ATSI_OH,Sammis,Star,345,600
AEP_OH,ATSI_OH,Caton Central,Hanna,345,600
AEP_OH,DAY_OH,Gunn Road,Marysville,345,600
AEP_OH,DAY_OH,Gristmill,Shelby,345,600
AEP_OH,DAY_OH,S.W. Lima,Shelby,345,600
